search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Dental practice management software in australia or newzealand,Healthygums,https://www.healthygums.net.au/,Newcastle  NSW  Australia. 0406 239 903. peter@healthygums.net.au · Facebook. LinkedIn. Systema Lion. Copyright 2019 | Healthygums Pty Ltd - ABN 83 151 ...,healthygums.net.au,"['Se 11.02 L 11 1 City View Rd Pennant Hills, NEW SOUTH WALES, 2120 Australia', 'https://www.dnb.com/business-directory/company-profiles.customtec_pty_ltd.e00346e634c4ffae.html']","['peter@healthygums.net.au', 'https://www.healthygums.net.au/']","['+61406 239 903', 'https://www.healthygums.net.au/']","['interdental brush', 'interdental cleaners', 'toothbrushes', 'floss', 'interdental', 'dental professionals', 'touch pages', 'the 3d expandable floss', 'systema', 'japans no. 1 oral care brand']","[['Peter Beard', 'founder'], 'https://healthygums.net.au/about-us/']","['Services - professional, scientific, and technical, Healthcare', 'from_classification_model']",None,"['$11.86 million USD', 'https://www.dnb.com/business-directory/company-profiles.customtec_pty_ltd.e00346e634c4ffae.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.customtec_pty_ltd.e00346e634c4ffae.html']",0.0,0.25,0.0,0.0,0.0625
Dental practice management software in australia or newzealand,Acclaim Australian Dental Practice Management Software for ...,http://acclaim-soft.com/,Low cost Australian Dental Practice Management Software for Patient Billing  Appointments  Charting and much more.,acclaim-soft,"['U 1 18 SALVATOR DR CAMPBELLFIELD, VICTORIA, 3061 Australia', 'https://www.dnb.com/business-directory/company-profiles.acclaim_windows_and_doors_pty_ltd.c6ae45c61d9b4492105041854b1fc5c7.html']",None,"['+612 98733300', 'http://www.acclaim-soft.com/features.html']",None,"[['Sally Ann Chacko', 'CEO'], 'https://au.linkedin.com/in/sally-ann-chacko-08a45740']","['Finance and insurance, Education', 'from_classification_model']",None,"['$859,000 USD', 'https://www.dnb.com/business-directory/company-profiles.acclaim_windows_and_doors_pty_ltd.c6ae45c61d9b4492105041854b1fc5c7.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.acclaim_windows_and_doors_pty_ltd.c6ae45c61d9b4492105041854b1fc5c7.html']",0.0,0.25,0.0,0.0,0.0625
Software for dentists in australia or newzealand,Special needs dentist - Mind Body Teeth | Sydney Australia,https://www.mindbodyteeth.com.au/,At Mind Body Teeth we believe excellent oral health  a nice smile and pain-free chewing function should belong to everyone. Special needs dentist Sydney.,mindbodyteeth,"['187 Fox Valley Rd, Wahroonga NSW 2076', 'https://www.mindbodyteeth.com.au']","['mindbodyteeth@gmail.com', 'https://www.mindbodyteeth.com.au']","['1300339143', 'https://www.mindbodyteeth.com.au']","['body teeth website', 'body teeth records', 'information', 'body teeth web site', 'personal information', 'general information', 'sensitive information', 'further information', 'statistical information', 'mind body teeth']",None,"['Healthcare, IT - Software', 'from_classification_model']","['31 October 2018', 'https://opencorporates.com/companies/au/629740932']",None,None,"['Australia', 'https://opencorporates.com/companies/au/629740932']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/629740932']",0.25,0.25,0.0,0.0,0.125
Dental management software in australia or newzealand,The River Tree | Danny Chan,http://www.therivertree.com.au/,THE RIVER TREE is a Melbourne-based creative outfit that provides Digital ... and Marketing outfit serving Australia's thriving Dental Profession and Industry.,therivertree,None,"['equipment@henryschein.com.au', 'http://www.therivertree.com.au/blogs/category/dental-fitouts/2']","['1300 073 427', 'http://www.therivertree.com.au/blogs']","['dental laboratory august', 'dental professionals', 'tindale dental', 'dental workflow', 'dental technology', 'dental business', 'city dental care promo video', 'danks national trade show', 'june', 'november']","[['Danny Chan ', 'Dental Journalist/ Content and ..._LinkedIn'], 'from linkedin search google']","['Manufacturing, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Dental management software in australia or newzealand,Europe PMC,https://europepmc.org/,https://orcid.org https://plus.europepmc.org. Europe PMC. Menu. About · About Europe PMC · Preprints in Europe PMC · Funders · Joining Europe PMC ...,europepmc,None,"['annotations@europepmc.org', 'http://blog.europepmc.org']",None,"['europe pmc articles europe pmc', 'europe pmc europe pmc', 'europe pmc search api', 'europe pmc text mines full text articles', 'europe pmc citation', 'europe pmc services', 'europe pmc content', 'orcid europe pmc', 'europe pmc results', 'europe pmc search']","[['Surgeon John Thomson', 'founder'], 'https://europepmc.org/article/med/1454006']","['Agriculture, Education', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Software for dental laboratory in australia or newzealand,Giorgio Dental Laboratory - GIO.BRUX Monolithic Zirconia ...,http://giorgio.com.au/,Welcome to Giorgio Dental: Australia\'s Premier Full Service Dental Laboratory. Free Express Delivery Australia-wide.,giorgio,"['205 -209 Moreland Road Coburg Victoria 3058', 'http://giorgio.com.au/contact/']","['photo@giorgio.com.au', 'http://giorgio.com.au/patients/shade-matching/']","['+613 9386 7966', 'http://giorgio.com.au/']","['giorgio dental laboratory', 'call giorgio dental', 'giorgio dental lab', 'giorgio dental ceramics', 'giorgio dental pride', 'comments giorgio dental', 'dental laboratory', 'implant professional giorgio dental', 'imes giorgio dental ceramics', 'successful intraoral scanning giorgio dental']","[['GEORGE THALASSINOS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.giorgio_properties_pty_ltd.202c462f681809c40dbe4ac968d13f08.html']","['Services - professional, scientific, and technical, Agriculture', 'from_classification_model']",None,"['$6.93 million USD', 'https://www.dnb.com/business-directory/company-profiles.giorgio_properties_pty_ltd.202c462f681809c40dbe4ac968d13f08.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.giorgio_properties_pty_ltd.202c462f681809c40dbe4ac968d13f08.html']",1.0,0.25,0.75,0.0,0.5
Dental practice management software in australia or newzealand,Financial Review - Business_ Finance and Investment News ...,https://www.afr.com/,Skip to navigationSkip to contentSkip to footerHelp using this website - Accessibility statementExperience the AFR for half the priceSave 50% Now. Today's ...,afr,"['506 Sydney NSW 2001', 'https://www.afr.com/privacy-policy?Embed=Y']","['nila.sweeney@afr.com.au', 'https://www.afr.com/property/residential/work-from-anywhere-fuels-demand-for-airbnb-rentals-20200923-p55y9o']","['+61 2 7966 6900', 'https://www.afr.com/conditions-of-use']","['government bond rates', 'more australian state government bonds', 'government bonds', 'us government bonds', 'australian governments', 'australian government debt', 'government bond record', 'commonwealth government bonds', 'state governments', 'cent interest rate']","[['Nick Hawkins', 'CEO'], 'https://www.afr.com/companies/financial-services/iag-names-nick-hawkins-new-ceo-20200921-p55xjj']","['Finance and insurance, Real estate', 'from_classification_model']","['30 June 2020', 'https://opencorporates.com/companies/au/642201821']","['$2.11 million USD', 'https://www.dnb.com/business-directory/company-profiles.afr_group_pty_ltd.f8fe5abd2933c55d.html']",None,"['Australia', 'https://opencorporates.com/companies/au/642201821']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.afr_group_pty_ltd.f8fe5abd2933c55d.html']",0.25,0.25,0.0,0.0,0.125
Software for dental laboratory in australia or newzealand,Modern Dental Pacific - network of dental laboratories,https://www.moderndentalpacific.com/,The Modern Dental Pacific Group's unique combination creates the largest and most comprehensive laboratory offering and digital workflow solution available in ...,moderndentalpacific,"['Building 6 190 Bourke Rd Sydney Corporate Park Alexandria, NEW SOUTH WALES, 2015 Australia', 'https://www.dnb.com/business-directory/company-profiles.modern_dental_pacific_pty_ltd.0d1de3a4a40f7ed0b7e0bd2dc85b0cce.html']","['info@camaro.com', 'https://www.moderndentalpacific.com/contact']","['+61 3 9650 6766', 'https://www.moderndentalpacific.com/contact']","['a. et al.', 's. et al.', 'et al.', 'r. et al.', 'g. et al.', 'b. et al.', 'tooth surface', 'implant surface material', 'successful implant restorations', 'dental implant placement']","[['James Squirrell', 'Managing_Director'], 'https://www.moderndentalpacific.com/mdp-group-executives/chief-executive-officer--james-squirell']","['Healthcare, Manufacturing', 'from_classification_model']",None,"['$32.05 million USD', 'https://www.dnb.com/business-directory/company-profiles.modern_dental_pacific_pty_ltd.0d1de3a4a40f7ed0b7e0bd2dc85b0cce.html']",None,None,None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.modern_dental_pacific_pty_ltd.0d1de3a4a40f7ed0b7e0bd2dc85b0cce.html']",0.0,0.25,0.0,0.0,0.0625
Dental clinic software in australia or newzealand,Private Hospitals_ North Shore_ Hills Sydney NSW,https://www.sah.org.au/,View the full SAH video gallery here. Quick Links. COVID-19 update »; contact »; find a specialist »; donate »; news & community »; events ». Mandatory mask ...,sah,"['10 185 Fox Valley Road WAHROONGA NSW 2076', 'https://www.sah.org.au/research']","['marleta.fong@sah.org.au', 'https://www.sah.org.au/event-detail?id=339']","['+61 2 9480 9266', 'https://www.sah.org.au/index']","['sydney adventist hospital sydney adventist hospital', 'sydney adventist hospital san ultrasound', 'sydney adventist hospital patients', 'sydney adventist hospital facilities san clinic tulloch clinical specialties', 'san patients', 'hospital facilities san clinic', 'sydney adventist hospital neonatology dr dennis', 'sydney adventist hospital maternity', 'sydney adventist hospital neonatology', 'sydney adventist hospital clinical specialties']","[['SHANE HARRIS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.sah_pty_ltd.cd6a411c97a355d8535df90d22e49bb6.html']","['Healthcare, IT - Software', 'from_classification_model']","[' 9 June 2020', 'https://opencorporates.com/companies/au/641575108']","['$117,214 USD', 'https://www.dnb.com/business-directory/company-profiles.sah_pty_ltd.cd6a411c97a355d8535df90d22e49bb6.html']",None,"['Australia', 'https://opencorporates.com/companies/au/641575108']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.sah_pty_ltd.cd6a411c97a355d8535df90d22e49bb6.html']",0.25,0.25,0.0,0.0,0.125
Dental office management software in australia or newzealand,Provet - Australasia's Leading Veterinary Distributor,http://www.provet.com.au/,AU English (New Zealand) NZ. Home; About Provet. Message from the MD · Industry Investment · Careers · Products · Covetrus Brand · KRUUSE · Anaesthetic ...,provet,"['21-25 Interchange Dr Eastern Creek, NEW SOUTH WALES, 2766 Australia', 'https://www.dnb.com/business-directory/company-profiles.provet_%28nsw%29_pty_limited.aad1dead9030f90ca08814791f15709e.html']",None,"['+6102) 8867 5144', ['Provet New South Wales, phone', 'knowledge_panel']]","['kruuse rehab hock protector kruuse rehab knee protector', 'kruuse small animal provet classifieds', 'kruuse catalogue rehab protectors', 'kruuse rehab protectors', 'provet connect buster premium dog collar', 'rehab elbow protector provet news', 'provet connect', 'small animal kruuse rehab carpal', 'buster rehab collars', 'kruuse']","[['David Hinton', 'Managing_Director'], 'http://www.provet.com.au/en-au/aboutprovet/messagefromthemd.aspx']","['Healthcare, Transport', 'from_classification_model']","['28 February 1990', 'https://opencorporates.com/companies/au/003946941']","['$296.58 million USD', 'https://www.dnb.com/business-directory/company-profiles.provet_%28nsw%29_pty_limited.aad1dead9030f90ca08814791f15709e.html']",None,"['Australia', 'https://opencorporates.com/companies/au/003946941']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.provet_%28nsw%29_pty_limited.aad1dead9030f90ca08814791f15709e.html']",0.0,0.0,0.75,0.0,0.1875
