search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Environmental risk software in australia or newzealand,Environmental Expert,https://www.environmental-expert.com/,Environmental XPRT - Global Marketplace for the Environmental Industry. Online product catalogs  news  articles  events  publications and more.,environmental-expert,"['5920 S. 194th Street ,  Kent , WA 9803', 'https://www.environmental-expert.com/companies/vulcan-on-board-scales-10256']","['info@bubbleology.com', 'https://www.environmental-expert.com/articles/micro-pulse-lidar-a-critical-tool-for-emissions-source-detection-795713']","['+6102) 9259 3800', ['Eco Logical Australia, phone', 'knowledge_panel']]","['high quality products', 'high quality sampling systems', 'gas treatment systems', 'developing technology solutions', 'integrated industrial gas detection systems', 'air pollution control solutions', 'quality system', 'exhaust gas cleaning systems', 'high quality visualization solutions', 'gas dispersion systems']","[['Steve Fermio ', 'Director_WolfPeak'], 'from linkedin search google']","[['Environmental Consulting'], 'https://www.crunchbase.com/organization/vision-environment']","['2008', 'https://www.crunchbase.com/organization/vision-environment']",None,None,"[' Gladstone, Queensland, Australia', 'https://www.crunchbase.com/organization/vision-environment']",None,"['Private', 'https://www.crunchbase.com/organization/vision-environment']",0.25,0.0,0.0,0.0,0.0625
Incident management software australia or newzealand,OneTrust,https://www.onetrust.com/,OneTrust Privacy. Privacy Management Software. Operationalize Your ​Privacy Program for ​CCPA  GDPR & ​All the World's Privacy Laws​. BUILT FOR: ...,onetrust,None,"['support@onetrust.com', 'https://www.onetrust.com/onetrust-announces-new-advisory-board/']",None,"['onetrust privacy', 'onetrust privacy management', 'data privacy compliance', 'onetrust privacy management technology', 'privacy shield onetrust', 'onetrust privacy program management', 'new data privacy rights', 'privacy technology onetrust', 'onetrust privacy management software', 'data privacy regulations']","[['Roble Ali CIPP/E ', 'Alliance Partner Manager APJ_OneTrust ...'], 'from linkedin search google']","['Manufacturing, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
OHS software australia or newzealand,NTT DATA Figtree Systems,https://www.figtreesystems.com/,Specialist global provider of insurance  claims  risk  OHS  and fleet management software solutions.,figtreesystems,"['49 Market Place, Auckland Central, Auckland 1010', 'https://www.figtreesystems.com/contact-us']","['figtree.info@nttdata.com', 'https://www.crunchbase.com/organization/figtree-systems']","['+64 9 352 2077', 'https://www.figtreesystems.com/contact-us']","['figtree systems enterprise risk management software', 'risk management software services', 'many claims management businesses', 'claims management solutions', 'risk management processes', 'claims management software package', 'figtree systems workers compensation claims management software', 'figtree systems whs software', 'incident management system', 'claims management']","[['Mabel Chan ', 'CPA Australia_Sydney_ Australia'], 'from linkedin search google']","[['Information TechnologySoftware'], 'https://www.crunchbase.com/organization/figtree-systems']","['1983', 'https://www.crunchbase.com/organization/figtree-systems']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/figtree-systems']",None,"['Private', 'https://www.crunchbase.com/organization/figtree-systems']",0.25,0.25,0.0,0.0,0.125
Environmental risk software in australia or newzealand,Finland Australia Chamber of Commerce Inc | Promoting trade ...,http://finland.com.au/,Become a memberThe Finland Australia Chamber of Commerce Inc. connects people who are ... to promoting  encouraging and facilitating trade  commerce and investment between Australia and Finland. ... E: chamber@finland.com.au.,finland,"['Level  17 , 9 Castlereagh Street, Sydney NSW 2000', 'http://finland.com.au/facc-annual-general-meeting-2018/']","['1685-1580904000-1580911200@finland.com.au', 'http://finland.com.au/event/nordic-engagement-networking-lunch/?ical=1']","['+61 402 051 759', 'http://finland.com.au/event/nordic-open-golf-day/']","['finland australia chamber', 'organisers finland australia chamber', 'australia chamber', 'finland australia', 'australia australian british chamber', 'prodid:-//finland australia chamber', 'commerce\\nfinland australia chamber', 'australia\\nfinland australia chamber', 'commerce\\neuropean business\\nfinland australia chamber', 'australia sydney golf day']","[['Antti Vappula ', 'Head Of Marketing_Virta Ltd'], 'from linkedin search google']","['Arts, entertainment and recreation, Manufacturing', 'from_classification_model']",None,None,None,None,None,None,1.0,0.25,0.0,0.0,0.3125
NDIS claim payment software in australia or newzealand,Taylor & Francis Online: Peer-reviewed Journals,https://www.tandfonline.com/,Search and explore the millions of quality  peer-reviewed journal articles published under the Taylor & Francis and Routledge imprints.,tandfonline,None,"['isil.gulsac@tubitak.gov.tr', 'https://www.tandfonline.com/doi/pdf/10.1080/14658011.2020.1763661']",None,"['bayesian phylogenetic analysis', 'other recent analyses', 'phylogenetic analyses', 'bayesian analysis send article', 'other pre-existing characters', 'et al.', 'other inferred clades', 'caldwell et al.', 'bayesian inference analyses', 'bayesian analyses']","[['Karly Spronk ', 'WSP in Australia & New Zealand_LinkedIn'], 'from linkedin search google']","['IT - Software, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Compliance management programs australia OR new zealand,BGL SMSF & corporate compliance solutions | Simple Fund ...,https://www.bglcorp.com/,Suite 2  606-608 Hawthorn Road (PO Box 8063) Brighton East Victoria  3187 Australia ABN: 60 606 354 079. Phone: 1300 654 401. Email: info@bglcorp.com.,bglcorp,"['Level  2 /96 Saint Georges Bay Road Parnell, Auckland 1052', 'https://www.bglcorp.com/contact/']","['info@bglcorp.com.au', 'https://www.crunchbase.com/organization/bgl-corporate']","['+613 9092 9400', 'https://www.bglcorp.com/2018/07/18/proposed-sg-amnesty-raises-opportunities-and-risks/']","['bgl wiki bgl', 'bgl simple fund', 'smsf software company bgl', 'smsf software provider bgl', 'bgl clients', 'bgl blog gao simple fund', 'smsf administrator bgl', 'smsf software provider bgl corporate solutions', 'tester porter services bgl support bgl', 'smsf administration software provider bgl corporate solutions']","[['Ron Lesh ', 'Managing Director_BGL Corporate ...'], 'from linkedin search google']","[['ConsultingInformation ServicesInformation TechnologySoftware'], 'https://www.crunchbase.com/organization/bgl-corporate']","['1983', 'https://www.crunchbase.com/organization/bgl-corporate']",None,None,"[' Brighton, South Australia, Australia', 'https://www.crunchbase.com/organization/bgl-corporate']",None,"['Private', 'https://www.crunchbase.com/organization/bgl-corporate']",0.25,0.25,0.0,0.0,0.125
Incident response software in australia or newzealand,Noggin | Integrated Safety and Security Software Platform,https://www.noggin.io/,US +1 (510) 956-3623; EU +44 20 7173 0390; AU +61 2 9219 8800. Noggin Integrated Safety and Security Platform. Request a Demonstration! One Platform.,noggin.io,"['Level  22 , 175 Liverpool St Sydney NSW 2000 Australia', 'https://www.noggin.io/cookie-policy']","['support@noggin.io', 'https://www.noggin.io/privacy']","['+61 2 9219 8885', 'https://www.noggin.io/support']","['workplace safety risk management', 'safety management', 'crisis management solution', 'safety management software', 'crisis management plans', 'effective safety management', 'effective safety management software', 'effective crisis management', 'security information management', 'security management software']","[['Owen James Prime', 'Director'], 'https://app.avention.com/company/595aeb4f-f061-3eec-802d-26368cf9f473#report/company_summary']","[['Information TechnologySoftware'], 'https://www.crunchbase.com/organization/noggin-f015']","['Jan 1, 2009', 'https://www.crunchbase.com/organization/noggin-f015']","['13M', 'https://app.avention.com/company/595aeb4f-f061-3eec-802d-26368cf9f473#report/company_summary']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/noggin-f015']","['69', 'https://app.avention.com/company/595aeb4f-f061-3eec-802d-26368cf9f473#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/noggin-f015']",0.75,0.25,0.375,0.0,0.34375
OHS software australia or newzealand,SafetyCulture | Safety Compliance for Australian & New ...,https://safetyculture.com.au/,Providing Occupational Health & Safety documents since 2004. Our extensive library includes SWMS  management systems  management plans  essential ...,safetyculture,"['PO Box 7175 , Garbutt QLD 4814 Australia', 'https://safetyculture.com.au/terms-and-conditions/']","['info@safetyculture.io', 'https://www.crunchbase.com/organization/safetyculture']","['1300306604', 'https://safetyculture.com.au/swms-template/']","['safe work method', 'safe work method statement', 'related safe work method statements', 'agriculture safe work method statement', 'new safe work method statements', 'work method statement', 'safe work method statements', 'installation safe work method statement', 'general work plumbing hazards', 'other information']","['Luke Anear', 'founder(s)', 'https://www.crunchbase.com/organization/safetyculture']","[['AppsCollaborationDeveloper PlatformiOSPublic SafetySoftware'], 'https://www.crunchbase.com/organization/safetyculture']","['Mar 12, 2004', 'https://www.crunchbase.com/organization/safetyculture']","['20M', 'https://app.avention.com/company/01a6934a-3cb8-333e-95d8-273dcc4d0cd5#report/company_summary']",None,"[' Townsville, Queensland, Australia', 'https://www.crunchbase.com/organization/safetyculture']","['35', 'https://app.avention.com/company/01a6934a-3cb8-333e-95d8-273dcc4d0cd5#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/safetyculture']",0.25,0.25,0.75,0.0,0.3125
Incident response software in australia or newzealand,AustCyber supports the development of a vibrant and globally ...,https://www.austcyber.com/,The Industry Growth Centres Initiative is an industry-led approach driving innovation  productivity and competitiveness by focusing on areas of competitive strength ...,austcyber,"['Level 10/20 Martin Pl, Sydney NSW 2000', ['AustCyber, address', 'knowledge_panel']]",None,"['+6102) 9239 3250', ['AustCyber, phone', 'knowledge_panel']]",None,"[['CEO Michelle Price', 'CEO'], 'https://www.austcyber.com/news-events/message-austcybers-ceo-michelle-price-5']","['Computer Programming', 'https://app.avention.com/company/3d6d6490-68fd-3542-ac62-22a0be39bca6#report/company_summary']","['2017', 'https://www.crunchbase.com/organization/austcyber']","['6.2M', 'https://app.avention.com/company/3d6d6490-68fd-3542-ac62-22a0be39bca6#report/company_summary']",None,"[' Canberra, Australian Capital Territory, Australia', 'https://www.crunchbase.com/organization/austcyber']","['59', 'https://app.avention.com/company/3d6d6490-68fd-3542-ac62-22a0be39bca6#report/company_summary']","['Private Independent', 'https://app.avention.com/company/3d6d6490-68fd-3542-ac62-22a0be39bca6#report/company_summary']",0.0,0.0,0.75,0.0,0.1875
Incident response software in australia or newzealand,Support Hours of Operation - MyAPS - Reckon,https://myaps.reckon.com/ContactUs/,APS support services are available 11 hours a day  5 days a week  excluding public holidays. ... http://dynamicimages.aps.reckon.com/3%20Product% ...,dynamicimages.aps.reckon,None,"['customerservice@reckon.com.au', 'https://www.crunchbase.com/organization/reckon']","['1300 306 561', 'https://myaps.reckon.com/Products/Elite/']","['hotfix files hotfix files', 'aps practice management', 'statement files', 'aps hotfix files', 'aps nz tax', 'install aps practice management', 'aps databases', 'invoice file', 'release files', 'hotfix files']","['Greg Wilkinson', 'founder(s)', 'https://www.crunchbase.com/organization/reckon']","[['AccountingComputer VisionInformation TechnologySoftware'], 'https://www.crunchbase.com/organization/reckon']","['1987', 'https://www.crunchbase.com/organization/reckon']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/reckon']",None,"['Private', 'https://www.crunchbase.com/organization/reckon']",0.0,0.25,0.0,0.0,0.0625
