title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Coretex,https://www.coretex.com/,Coretex has been helping operators manage their fleets more safely and productively for over 10 years.,coretex,"['Se 26 33 Waterloo Rd Macquarie Park, NEW SOUTH WALES, 2113 Australia', 'https://www.dnb.com/business-directory/company-profiles.coretex_australia_pty_ltd.838758461bfdc20b7e77d379acaeca04.html']",None,"['1300 730 724', 'https://www.coretex.com/au/support/']","['coretex coretex usa', 'coretex products', 'other coretex', 'coretex data', 'coretex software', 'coretex customers', 'additional coretex products', 'coretex product', 'coretex service', 'coretex solution']","[['William Payne', 'CEO'], 'https://www.coretex.com/au/company/news/coretex-appoints-new-ceo/']","['IT - Software, Transport', 'from_classification_model']","['19 February 2015', 'https://opencorporates.com/companies/nz/5604490']","['$13.91 million USD', 'https://www.dnb.com/business-directory/company-profiles.coretex_australia_pty_ltd.838758461bfdc20b7e77d379acaeca04.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/5604490']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.coretex_australia_pty_ltd.838758461bfdc20b7e77d379acaeca04.html']",0.5,0.25,0.25,0.0,0.25
Baker Hughes_ an energy technology company | Baker Hughes,https://www.bakerhughes.com/,Baker Hughes is an energy technology company with operations in 120 countries. We develop and deploy technologies to take energy and industry forward.,bakerhughes,None,"['chiara.toniato@bhge.com', 'https://www.bakerhughes.com/company/news/snam-and-baker-hughes-test-worlds-first-hydrogen-blend-turbine-gas-networks']",None,"['other baker hughes cement evaluation services', 'baker hughes announce joint service', 'baker hughes lng technology', 'ge baker hughes', 'baker hughes lng', 'baker hughes announces', 'baker hughes employees', 'co baker hughes', 'baker hughes company', 'baker hughes partners']","['Gerard Jager', 'founder(s)', 'https://www.crunchbase.com/organization/joa-oil-gas']","[['AppsSoftware'], 'https://www.crunchbase.com/organization/joa-oil-gas']","['1999', 'https://www.crunchbase.com/organization/joa-oil-gas']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/joa-oil-gas']",0.0,0.0,0.0,0.0,0.0
Spotless: Home,https://www.spotless.com/,Spotless is a leading provider of integrated facilities services with clients across Australia and New Zealand.,spotless,"['549 St Kilda Rd Melbourne, VICTORIA, 3004 Australia', 'https://www.dnb.com/business-directory/company-profiles.spotless_group_limited.764228be0a31e155670ebbd969f2591c.html']","['matthew.quick@spotless.com.au', 'https://www.spotless.com/services/hvac-mechanical-electrical/']","['+64 9 526 3620', 'https://www.crunchbase.com/organization/spotless-group']","['facilities management services', 'asset management services', 'facilities services', 'village management services', 'maintenance services', 'laundry management services', 'waste management services', 'catering services', 'services', 'service solutions']","[['Peter Tompkins', 'CEO'], 'https://www.spotless.com/company-overview/leadership/']","[['Facilities Support ServicesManufacturing'], 'https://www.crunchbase.com/organization/spotless-group']","['1946', 'https://www.crunchbase.com/organization/spotless-group']","['$2.10 billion USD', 'https://www.dnb.com/business-directory/company-profiles.spotless_group_limited.764228be0a31e155670ebbd969f2591c.html']",None,"['Australia', 'https://opencorporates.com/companies/au/609544005']",None,"['Public', 'https://www.crunchbase.com/organization/spotless-group']",0.375,0.0,0.375,0.0,0.1875
We are WSP | WSP,https://www.wsp.com/,WSP is one of the world's leading professional services firms. We provide technical expertise and strategic advice to clients in the Transportation & Infrastructure  ...,wsp,"['L27 680 George St Sydney, New South Wales, 2000 Australia ', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']","['unsubscribecanada@wsp.com', 'https://www.wsp.com/en-US/legal/anti-spam-commitment']","['+647-776-8246', 'https://www.wsp.com/fr-GL/investisseurs/informations-boursieres/analystes']","['wsp projects', 'de wsp', 'wsp systems', 'wsp clients', 'key wsp projects', 'wsp service warranty', 'wsp offices', 'wsp experts', 'wsp usa', 'wsp global']","[['Guy Templeton', 'CEO'], 'https://www.crunchbase.com/person/guy-templeton']","['Architecture and Engineering', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']","['26 March 1997', 'https://opencorporates.com/companies/au/078004798']","['465M', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']",None,"['Australia', 'https://opencorporates.com/companies/au/078004798']","['3k', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']","['Private Subsidiary, Headquarters', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']",0.0,0.25,0.375,0.0,0.15625
eCompliance: EHS Health & Safety Management Software,https://www.ecompliance.com/,eCompliance is the first EHS – Environment  Health  and Safety – software aimed at front-line users  built with workplace safety management in mind. Learn more!,ecompliance,None,"['info@ecompliance.com', 'https://www.ecompliance.com/privacy/']",None,"['safety champions redefine safety', 'employee safety', 'safety risks', 'safety data', 'safety management', 'safety programs', 'workplace safety', 'safety leaders', 'strong safety systems', 'safety participation']","[['Colin France ', 'Store Manager_woolworths australia'], 'from linkedin search google']","['Services - professional, scientific, and technical, IT - Software', 'from_classification_model']","['27 June 2007', 'https://opencorporates.com/companies/au/158453457']",None,None,"['Australia', 'https://opencorporates.com/companies/au/158453457']",None,"['Limited Partnerships', 'https://opencorporates.com/companies/au/158453457']",0.0,0.0,0.0,0.0,0.0
Inspectivity | Inspection Software | Digital Inspection and ...,https://inspectivity.com/,An Inspectivity digital inspection integrates technical knowhow and workflows to create trusted digital inspection and completion management systems.,inspectivity,"['61 (0) 8 6160 6060  A: 1/100 Havelock St. West Perth WA 6005', 'https://inspectivity.com/contact-inspectivity/']","['sales@inspectivity.com', 'https://inspectivity.com/privacy-policy/']","['+61 (0) 8 6160 6060', 'https://inspectivity.com/latest-news/aws-select-technology-partner/']","['digital inspection', 'asset inspections', 'inspections projects', 'digital inspection processes', 'digital inspection solutions', 'engineering inspection projects', 'asset inspection services', 'digital inspection technologies', 'inspection data', 'digital engineering inspection software']","[['Paul Eddison - Co', 'founder'], 'https://au.linkedin.com/in/pauleddison']","['Manufacturing, Real estate', 'from_classification_model']",None,"['$186,414 USD', 'https://www.dnb.com/business-directory/company-profiles.inspectivity_pty_ltd.c974e647fdd17aba.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.inspectivity_pty_ltd.c974e647fdd17aba.html']",0.25,0.25,0.375,0.0,0.21875
Home- The Bub'ly Bow Wow and Paw and Order,https://bubblybowwow.com/,The Bub'ly Bow Wow is a Certified Master Groomer and 37 years of experience dog training at Paw and Order. Located in Millbury  MA.,bubblybowwow,None,"['pawandorder@bubblybowwow.com', 'http://bubblybowwow.com/our-services-and-products/obedience-training/']",None,"['carrie', 'carrie prest', 'carrie f. prest', 'miss carrie', '$38 carrie', 'personal information canine massage therapy carrie f. prest', 'dog grooming additional services obedience training', 'other dogs', 'millbury ma', 'ma']",None,"['Healthcare, Manufacturing', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Our Hamilton | News_ stories_ videos and more from our city ...,https://ourhamilton.co.nz/,Our Hamilton is the Hamilton City Council's new way of getting our stories to you. See latest news  related stories  watch videos  and more at Our Hamilton,ourhamilton,"['2019 Hamilton Gardens Arts Festival 2019  Balloons over Waikato', 'https://ourhamilton.co.nz/culture-events/councils-major-event-sponsorship-fund-opens-for-applications/']","['bookings.gardens@hcc.govt.nz', 'https://ourhamilton.co.nz/community-environment/big-hamilton-thank-you-to-essential-workers/']","['+64 7 838 6599', 'https://ourhamilton.co.nz/culture-events/match-schedule-announced-for-icc-womens-cricket-world-cup-2022/']","['hamilton hamilton', 'hamilton city council', 'hamilton city council city growth', 'hamilton city council staff', 'large hamilton city council', 'hamiltonians hamilton city council', 'hamilton city council offices', 'hamilton city council rubbish', 'hamilton city council apologies', 'hamilton city council city water compliance']",None,"['IT - Software, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
SGS | When You Need To Be Sure,https://www.sgs.com/,SGS is the world's leading inspection  verification  testing and certification company. We are recognized as the global benchmark for quality and integrity.,sgs,"['28 REID ROAD PERTH AIRPORT, WESTERN AUSTRALIA, 6105 Australia', 'https://www.dnb.com/business-directory/company-profiles.sgs_australia_pty_ltd.4b96d76019d188f1d7bd538b1d0acb5c.html']",None,"['+61-893733500', 'https://www.dnb.com/business-directory/company-profiles.sgs_australia_pty_ltd.4b96d76019d188f1d7bd538b1d0acb5c.html']","['sgs sgs results', 'kb sgs', 'sgs consumer', 'sgs documents', 'sgs sgs', 'sgs investors', 'sgs academy', 'sgs directories', 'sgs axys', 'sgs sa']","[['Frankie Ng', 'CEO'], 'https://www.sgs.com.au/en-gb/our-company/about-sgs/operations-council']","[['OutsourcingSkill AssessmentTest and Measurement'], 'https://www.crunchbase.com/organization/sgs']","['1878', 'https://www.crunchbase.com/organization/sgs']","['$194.13 million USD', 'https://www.dnb.com/business-directory/company-profiles.sgs_australia_pty_ltd.4b96d76019d188f1d7bd538b1d0acb5c.html']",None,"['Australia', 'https://opencorporates.com/companies/au/632513412']",None,"['Public', 'https://www.crunchbase.com/organization/sgs']",0.0,0.0,0.0,0.0,0.0
Hire And Rental News: Home,https://www.hireandrentalnews.com.au/,,hireandrentalnews,"['1300 729 077\xa0\xa0 NSW: 1300 729 700 VIC', 'https://www.hireandrentalnews.com.au/all-lift-signs-national-deal-with-hutchinson/']","['info@hireandrental.com.au', 'https://www.hireandrentalnews.com.au/restrictions-start-to-ease-as-2-square-meter-rule-kicks-in-for-nsw/']","['+64 07 575 2563', 'https://www.hireandrentalnews.com.au/calendar-of-events/']","['new businesses', 'new equipment sales', 'new president standards australia', 'leading business services company', 'new services', 'largest equipment hire companies', 'new employees', 'new product development', 'construction business', 'new kennards']",None,"['Manufacturing, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
