search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Risk management software australia,GetApp,https://www.getapp.com.au/,Review  Compare and Evaluate small business software. GetApp has software offers  SaaS and Cloud Apps  independent evaluations and reviews.,getapp,"['Level 18 40 Mount Street North Sydney NSW 2060 Australia', 'https://www.getapp.com.au/company/contact']",None,None,"['software user reviews', 'software reviews', 'user reviews', 'promys psa software review', 'software vendor products', 'software users', 'submitted user reviews', 'other software solutions', 'software products', 'other information']","[['Clare Bagoly ', 'Sales Director_Employment Hero'], 'from linkedin search google']","['Utilities, Mining, oil and gas', 'from_classification_model']",None,None,None,None,None,None,0.25,0.0,0.0,0.0,0.0625
Risk management software australia,Cammsrisk,https://cammsrisk.com/,An Enterprise Risk Management (ERM) software solution that is easy to use and trusted globally. Business risk assessment tools.Try our FREE Trial now.,cammsrisk,None,None,None,None,"[['Adam Collins ', 'Chief Product Officer_CAMMS'], 'from linkedin search google']","['Utilities, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Risk management software australia,RMSS Risk Management and Safety Systems - RMSS,https://www.rmss.com.au/,RMSS Risk Management and Safety Systems  RMSS - Enterprise Risk Intelligence Solutions RMSS is a leading provider of Enterprise Risk Intelligence ...,rmss,"['Level 8, 301 Coronation Drive, Milton QLD 4064', 'http://www.rmss.com.au/about-rmss/contact-us.aspx']","['clientsupport@rmss.com.au', 'http://www.rmss.com.au/products-services/services/support.aspx']","['+61 7 3257 4047', 'http://www.rmss.com.au/about-rmss/contact-us.aspx']","['risk management', 'enterprise risk management', 'risk management processes', 'risk management systems', 'risk management solution provider', 'risk management requirements', 'effective risk management', 'enterprise risk management frameworks', 'risk management improvement', 'complete enterprise risk management']","[['Andrew Howarth', ' ceo '], 'from_website']","['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,1.0,0.0,0.375
Risk management software australia,Cura Software | Governance Risk and Compliance,https://www.curasoftware.com.au/,CURA's powerful compliance solution is now enabled by live legislative updates from LexisNexis Australia. This means that your legal compliance will be more ...,curasoftware,None,"['info@www.curasoftware.com', 'https://www.curasoftware.com.au/']",None,"['business risks', 'small business risks', 'risk information', 'risk processes', 'risk management capability', 'managing risks', 'risk register management', 'risk management strategies', 'risk management practice', 'risk management roles']","[['Xavier Michel ', 'FOUNDER AND DIRECTOR ..._LinkedIn'], 'from linkedin search google']","['IT - Software, Services - professional, scientific, and technical', 'from_classification_model']","['1963', 'https://www.owler.com/company/hydac']",None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Risk management software australia,SourceForge - Download_ Develop and Publish Free Open ...,https://sourceforge.net/,Free  secure and fast downloads from the largest Open Source applications and software directory - SourceForge.net.,sourceforge.net,None,"['noreply@sourceforge.net', 'https://sourceforge.net/auth/forgotten_password']",None,"['business management software', 'business software', 'business software tools', 'most business software products', 'business transformation software', 'business continuity software', 'customer data platform software', 'software tools', 'software platform', 'software']","[['Hamid Mahmood Qureshi ', 'Senior Manager_EYC3'], 'from linkedin search google']","['IT - Software, Mining, oil and gas', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Risk management software australia,Purple Lion Domains – Domain name sales,http://www.cammsgroup.com/,About us. Purple Lion Domains specialise in selling premium domain names for ...,cammsgroup,"['Suite  5 , 531 Hay Street  Subiaco WA 6000', 'https://www.cammsgroup.com/contact-us/']","['sales@cammsgroup.com', 'https://www.cammsgroup.com/contact-us/']","['+61 (0)8 8212 5188', 'https://www.cammsgroup.com/contact-us/']",None,"[['Adam Collins ', 'Chief Product Officer_CAMMS'], 'from linkedin search google']","['Real estate, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Compliance management software australia,Rapid Global,https://www.rapidglobal.com/,Award-winning software solutions. Our end-to-end workplace tools empower you to streamline your workforce risk  safety and compliance management ...,rapidglobal,"['Level  2 , 118 Franklin Street, Adelaide SA 5000', 'https://www.rapidglobal.com/privacy-policy']","['support@rapidglobal.com', 'https://www.rapidglobal.com/privacy-policy']","['+61884051100', 'https://www.rapidglobal.com/contact']","['rapid rapid access', 'rapid contractor management australia rapid global', 'rapid systems', 'quadric contractors rapid induct', 'other sites rapid contractor management software', 'contractor management software', 'rapid induct system', 'online contractor management software', 'contractor lifecycle management system', 'rapid global administrators']","[['Junita van der Colff', 'managing director'], 'from_website']","['IT - Software, Real estate', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.25,0.0,0.1875
Compliance management software australia,Safety Consulting Companies_ EHS & Injury Management ...,https://misafesolutions.com.au/,Contact Us · Blog · Health & Safety Consulting Services Australia ... Phone: 07 5641 2101 or 0400 977 769; or. Email: contact@misafesolutions.com.au · Follow ...,misafesolutions,None,"['contact@misafesolutions.com.au', 'https://misafesolutions.com.au/']","['+61 (0) 400 977 769', 'https://misafesolutions.com.au/']","['business risk management', 'risk management software solutions', 'bespoke risk management software', 'enterprise risk management software solutions', 'compliance management software', 'management software', 'full enterprise risk management software', 'software systems', 'customised enterprise risk management software', 'risk compliance software solutions']",None,"['Construction, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Compliance management software australia,Law Compliance,https://lawcompliance.com.au/,Law Compliance creates Regulatory compliance products to simplify meeting your legal obligations. Ensure your company compliance protocols are up to date.,lawcompliance,"['2018 No.11 (NT) The Residential Tenancies Amendment Act', 'https://lawcompliance.com.au/use-of-tenancy-databases-in-nt/']","['info@lawcompliance.com.au', 'https://complyonline.lawcompliance.com.au/Security/lostpassword']","['1300 862 667', 'https://lawcompliance.com.au/our-products-and-services/case-law-updates/']","['oh&s act disability services act', 'amendment act', 'health care act', 'public health act', 'legislation amendment act', 'ndis act', 'education amendment act', 'health insurance act', 'tax amendment act', 'mental health act']",None,"['IT - Software, Services - professional, scientific, and technical', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Compliance management software australia,FastTrack compliance management software,https://www.fasttrackaust.com/,+61 7 5597 2077. sales@fasttrackaust.com. ADDRESS. Fast Track (Aust) Pty Ltd. 28-34 Dominions Rd. ASHMORE Qld 4214. Australia ...,fasttrackaust,"['28 -34 Dominions Rd ASHMORE Qld 4214 Australia', 'https://www.fasttrackaust.com/contact']","['sales@fasttrackaust.com', 'https://www.fasttrackaust.com/contact']","['+61 7 5597 2077', 'https://www.fasttrackaust.com/contact']",None,None,"['Arts, entertainment and recreation, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
