title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
loQsea | Same Day Delivery - Food Delivery,https://loqsea.com/,"Very Reliable Delivery Service! Need Anything Delivered in Cancun  Playa del Carmen or Tulum? Save Time and don't look any further! Covid-19 Safe Deliveries!

",loqsea,None,"['hi@aircart.com.au', 'https://www.crunchbase.com/organization/aircart-3981']",None,"['de envío y de pago', 'crear y administrar listas de compras', 'su carrito de compras', 'de enviar un correo', 'de sus pedidos', 'de haber', 'tu dirección de correo', 'listas de compras', 'la mayoría de edad', 'los términos y condiciones']",None,"[['DeliveryE-CommerceGroceryInternetSame Day Delivery'], 'https://www.crunchbase.com/organization/aircart-3981']",None,None,None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/aircart-3981']",None,"['Private', 'https://www.crunchbase.com/organization/aircart-3981']",0.0,0.0,0.0,0.0,0.0
Palm Lake Resort: Home,https://palmlakeresort.com.au/,,palmlakeresort,"['1800 335 666   120 North Creek Road, Ballina NSW 2478 Australia', 'https://palmlakeresort.com.au/locations/new-south-wales/ballina-retirement-village/']","['salescaloundra@palmlake.com.au', 'https://palmlakeresort.com.au/locations/queensland/caloundra/']","['1800 028 428', 'https://palmlakeresort.com.au/locations/queensland/waterford-lifestyle-resort/contact-us/']","['palm lake resort', 'palm lake resort toowoomba', 'palm lake resort cooroy', 'palm lake resort caloundra', 'palm lake resort bargara', 'palm lake resort truganina', 'palm lake resort ballina', 'palm lake resort beachmere bay', 'palm lake resort forster', 'palm lake resort fern bay']","[['Manuel Lang ', 'Chief Executive Officer_Palm Lake ...'], 'None']","['Education, Arts, entertainment and recreation', 'from_classification_model']",None,"['$6.94 million USD', 'https://www.dnb.com/business-directory/company-profiles.palm_lake_resort_pty_ltd.9f1c588ff8e7ba8d.html']",None,None,None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.palm_lake_resort_pty_ltd.9f1c588ff8e7ba8d.html']",0.25,0.25,0.75,0.0,0.3125
Platypus Shoes: Latest in Sneakers_ Boots & Streetwear ...,https://www.platypusshoes.com.au/,Shop the latest Sneakers  Boots & Shoes online from top brands - Nike  adidas  Vans  Converse and more! Free express delivery Australia wide on orders over $130 or visit us in-store. Pay with Afterpay!,platypusshoes,"['U 2 64 Balmain St Richmond, VICTORIA, 3121 Australia', 'https://www.dnb.com/business-directory/company-profiles.platypus_shoes_%28australia%29_pty_ltd.a5275d7bd29ca506ac216d5683914652.html']","['service@styletread.com.au', 'https://www.crunchbase.com/organization/styletread']","['+61 2 9648 7239', 'https://www.crunchbase.com/organization/styletread']","['platypus shoes', 'platypus shoes gift cards', 'personal information', 'other contact information', 'platypus shoes website', 'platypus shoes trading', 'such information', 'information', 'more information', 'applicable information']","[['DANIEL JOHN AGOSTINELLI', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.platypus_shoes_%28australia%29_pty_ltd.a5275d7bd29ca506ac216d5683914652.html']","[['FashionInternetShoes'], 'https://www.crunchbase.com/organization/styletread']","['Nov 9, 2010', 'https://www.crunchbase.com/organization/styletread']","['$591.43 million USD', 'https://www.dnb.com/business-directory/company-profiles.platypus_shoes_%28australia%29_pty_ltd.a5275d7bd29ca506ac216d5683914652.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/styletread']",None,"['Private', 'https://www.crunchbase.com/organization/styletread']",0.0,0.0,0.5,0.0,0.125
PerthNow | Breaking News from Perth and Western Australia,https://www.perthnow.com.au/,PerthNow  Western Australia's latest news and stories including business  sport  entertainment  international and more.,perthnow,"['9482 9995 Registered Office Address 50 Hasler Road Osborne Park WA 6017', 'https://www.perthnow.com.au/contact-us']","['news@perthnow.com.au', 'https://www.crunchbase.com/organization/perth-now']","['1800 811 855', 'https://www.perthnow.com.au/contact-us']","['perth wa', 'south australia perth', 'perth schools', 'perth lotto', 'perth council', 'perth property', 'suburban perth', 'perth hills', 'perth mirrabooka', 'perth bookshops']","[['Nick Lovering ', 'Business Development Manager ..._LinkedIn'], 'from linkedin search google']","[['CommunitiesNewsPublishingSports'], 'https://www.crunchbase.com/organization/perth-now']","['Feb 1897', 'https://www.crunchbase.com/organization/perth-now']",None,None,"[' Perth, Western Australia, Australia', 'https://www.crunchbase.com/organization/perth-now']",None,"['Private', 'https://www.crunchbase.com/organization/perth-now']",0.25,0.25,0.0,0.0,0.125
Family Travel Blog + Outdoor Adventure - y Travel Blog,https://www.ytravelblog.com/,Traveling since 1997 | 13 years with kids. Sharing Expert tips and destination advice on this award-winning family travel blog since 2010  esp road trips  USA and Australia travel,ytravelblog,None,"['assistance@marketlend.com.au', 'https://www.crunchbase.com/organization/marketlend']","['+61 2 8006 6798', 'https://www.crunchbase.com/organization/marketlend']",None,"[['Caz & Craig Makepeace', 'founder'], 'https://www.sydney.com/sydney-life/author/ytravelblog/']","[['FinanceFinancial ServicesPeer to Peer'], 'https://www.crunchbase.com/organization/marketlend']","['2014', 'https://www.crunchbase.com/organization/marketlend']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/marketlend']",None,"['Private', 'https://www.crunchbase.com/organization/marketlend']",0.0,0.0,0.375,0.0,0.09375
Royal Life Saving: Home,https://www.royallifesaving.com.au/,Royal Life Saving is dedicated to turning everyday people into everyday community lifesavers.Royal Life Saving is focused on reducing drowning and promoting healthy  active and skilled communities. We achieve this through: Advocacy  Education  Training  Health Promotion  Aquatic Risk Management  Community Development  Research  Lifesaving Sport  International networks._,royallifesaving,"['78 BEST ROAD SEVEN HILLS, NEW SOUTH WALES, 2147 Australia', 'https://www.dnb.com/business-directory/company-profiles.royal_life_saving_society_of_australia_%28new_south_wales_branch%29.96d7f7859ec2a5febfaa0bd716b9570b.html']","['info@rlssa.org.au', 'https://www.royallifesaving.com.au/contact-us?SQ_DESIGN_NAME=new']","['+61402162807', 'https://www.royallifesaving.com.au/about/news-and-events/news-items/first-day-of-summer-declared-national-water-safety-day']","['water royal life saving society', 'water safety skills', 'royal life saving australia', 'royal life saving nt', 'royal life saving society australia', 'water safety information', 'royal life saving research', 'royal life saving state', 'royal life saving ceo', 'basic water safety skills']","['Sean Senvirtne', 'founder(s)', 'https://www.crunchbase.com/organization/mydeal-com-au']","[['E-CommerceMarketplaceRetailShopping'], 'https://www.crunchbase.com/organization/mydeal-com-au']","['Mar 28, 2011', 'https://www.crunchbase.com/organization/mydeal-com-au']","['$5.67 million USD', 'https://www.dnb.com/business-directory/company-profiles.royal_life_saving_society_of_australia_%28new_south_wales_branch%29.96d7f7859ec2a5febfaa0bd716b9570b.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/mydeal-com-au']",None,"['Private', 'https://www.crunchbase.com/organization/mydeal-com-au']",0.75,0.25,0.0,0.0,0.25
Kalkine Media: ASX News Today_ Financial News on Stocks ...,https://kalkinemedia.com/au,Kalkine Media provides Stock Market News  ASX News  Financial News  Australian Stocks Research Analysis  Latest coverage on all ASX Listed Companies for all sectors.,kalkinemedia,"['Suite  202 , 234 George Street Sydney NSW 2000 Australia', 'https://kalkinemedia.com/au/reporting-calendar']","['info@kalkine.com.au', 'https://www.crunchbase.com/organization/kalkine']","['+6102) 9042 2324', 'https://www.crunchbase.com/organization/kalkine']","['asx', 'asx energy stocks', 'asx consumer stocks', 'exchange operator asx', 'top asx listed companies', 'asx top retail stocks', 'akanksha kumar asx', 'biotech company patrys limited', 'listed companies', 'companies']","['Kunal Sawhney', 'founder(s)', 'https://www.crunchbase.com/organization/kalkine']","[['Financial ServicesMarket ResearchNews'], 'https://www.crunchbase.com/organization/kalkine']","['Feb 1, 2014', 'https://www.crunchbase.com/organization/kalkine']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/kalkine']",None,"['Private', 'https://www.crunchbase.com/organization/kalkine']",0.625,0.0,0.75,0.0,0.34375
Commercial Real Estate and Property For Sale and Lease in ...,https://www.commercialrealestate.com.au/,Commercial Real Estate for sale and lease. Search offices  shops  retail  industrial  development and investment property in Sydney  Melbourne  Brisbane  Perth  Adelaide and Australia-wide.,commercialrealestate,"['PYRMONT2009New South WalesAustralia', 'https://opencorporates.com/companies/au/602679863']","['info@commercialrealestate.com.au', 'https://www.crunchbase.com/organization/commercial-real-estate-2']","['1800 999 982', 'https://www.commercialrealestate.com.au/home/contactus']",None,"[['Beau Eason ', 'CommercialRealEstate (Fairfax Media)_LinkedIn'], 'from linkedin search google']","[['AdvertisingMarketingPublishingReal Estate'], 'https://www.crunchbase.com/organization/commercial-real-estate-2']","['1998', 'https://www.crunchbase.com/organization/commercial-real-estate-2']",None,None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/commercial-real-estate-2']",None,"['Private', 'https://www.crunchbase.com/organization/commercial-real-estate-2']",0.0,0.25,0.0,0.0,0.0625
Superfish Swim Schools,https://superfish.com.au/,Learn to Swim Experts SINCE 1996 with FREE Baby Lessons - see website for details._THE Drowning Prevention and Learn to Swim experts  with revered programs created by Andrew Baildon OLY and Swimming Industry Speaker Educator Karen Baildon._THE Drowning Prevention and Learn to Swim experts  with revered programs created by Andrew Baildon OLY and Swimming Industry Speaker Educator Karen Baildon.,superfish,"['55 Mudgeeraba Road Worongary QLD 4213', 'https://superfish.com.au/contact/']","['sunnybank@superfish.com.au', 'https://superfish.com.au/contact/']","['+617 5530 6116', 'https://superfish.com.au/swimming-lessons-in-redland-bay/']","['superfish swim club superfish', 'superfish swim schools sunnybank', 'different strokes superfish swimming programs superfish swim schools pacific pines gold coast', 'superfish swim schools pacific pines', 'superfish swim schools 20th year', 'superfish swim school', 'superfish supernews superfish squads', 'superfish worongary superfish adults', 'andrew baildon superfish', 'superfish swim school pacific pines']","[['Andrew Baildon OLY', 'founder'], 'https://superfish.com.au/australian-sports-foundation-andrew-baildon/']","['Education, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Whole-school Wellbeing COVID-19,https://media.digistormhosting.com.au/giss-au-nsw-289-website/content/AISNSW-Whole-school-wellbeing-COVID-19-240320.pdf?mtime=20200324153929,,media.digistormhosting,"['SE 2B LEVEL 2 9-13 REDMYRE ROAD STRATHFIELD, NEW SOUTH WALES, 2135 Australia', 'https://www.dnb.com/business-directory/company-profiles.australia_top_media_group_pty_ltd.af3e94f97bd6bef6.html']",None,"['+61-297462322', 'https://www.dnb.com/business-directory/company-profiles.australia_top_media_group_pty_ltd.af3e94f97bd6bef6.html']",None,"[['MIJIN LEE', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.australia_top_media_group_pty_ltd.af3e94f97bd6bef6.html']","['Transport, Agriculture', 'from_classification_model']",None,"['$3.77 million USD', 'https://www.dnb.com/business-directory/company-profiles.australia_top_media_group_pty_ltd.af3e94f97bd6bef6.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.australia_top_media_group_pty_ltd.af3e94f97bd6bef6.html']",0.0,0.0,0.0,0.0,0.0
