title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Rift Safety Gear: Safety Apparel & Fire Resistant Clothing ...,https://www.riftsafetygear.com.au/,"Rift Safety Gear provides safety apparel & fire resistant clothing with safety fabrics from Non-FR  FR  FRAS  Fire inherent  FRAS inherent  FRAS/Arc Flash resistant & inherent materials._Rift Safety Gear provides safety apparel & fire resistant clothing with safety fabrics from Non-FR  FR  FRAS  Fire inherent  FRAS inherent  FRAS/Arc Flash resistant & inherent materials._Our Latest Products   
RIFT TV",riftsafetygear,"['UNIT 6 157 HYDE STREET YARRAVILLE, VICTORIA, 3013 Australia', 'https://www.dnb.com/business-directory/company-profiles.rift_safety_gear_pty_ltd.9b171b3c0aca8521f28ea8c2cbdaf310.html']","['accounts@riftsafetygear.com.au', 'https://www.riftsafetygear.com.au/terms-conditions-policies/']","['1800 761 053', 'https://www.riftsafetygear.com.au/terms-conditions-policies/']","['rift safety gear pty ltd.', 'rift safety', 'rift safety gear', 'the rift safety gear website terms', 'a rift safety gear credit account', 'website terms', 'the rift safety gear privacy policy', 'rift safety gear’ privacy policy', 'the rift safety gear returns', 'a rift safety gear representative']","[['Jason Anderson', 'founder'], 'https://www.riftsafetygear.com.au/team/']","['Healthcare, Manufacturing', 'from_classification_model']",None,"['$3.47 million USD', 'https://www.dnb.com/business-directory/company-profiles.rift_safety_gear_pty_ltd.9b171b3c0aca8521f28ea8c2cbdaf310.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.rift_safety_gear_pty_ltd.9b171b3c0aca8521f28ea8c2cbdaf310.html']",0.0,0.25,0.75,0.0,0.25
Perrigo Australia,https://www.perrigo.com.au/,,perrigo,"['Suite  7 , Level 1, 13A Narabang Way Belrose, NSW 2085', 'https://www.perrigo.com.au/contact']","['socialmedia@perrigo.com', 'https://www.crunchbase.com/organization/perrigo']","['+61894417800', 'https://www.perrigo.com.au/contact']","['perrigo products', 'perrigo australia', 'perrigo australia careers', 'copyright perrigo australia', 'orders perrigo australia', 'perrigo employees', 'perrigo australia manufacturing facility', 'perrigo company', 'nurse practitioner perrigo australia', 'more perrigo']","['Charles Perrigo', 'founder(s)', 'https://www.crunchbase.com/organization/perrigo']","[['BiotechnologyManufacturingPharmaceutical'], 'https://www.crunchbase.com/organization/perrigo']","['1887', 'https://www.crunchbase.com/organization/perrigo']",None,None,None,None,"['Delisted', 'https://www.crunchbase.com/organization/perrigo']",1.0,0.25,0.0,0.0,0.3125
Welcome to Covestro Australia & New Zealand,https://www.covestro.com.au/en,Covestro is a world-leading supplier of high-tech polymer materials: innovative  sustainable and diverse.,covestro,"['Level  1 , 700 Springvale Road Mulgrave VIC 3170 Australia', 'https://www.covestro.com.au/en/contacts/overview']","['jwallace@recyclemymattress.com.au', 'https://www.covestro.com.au/en/company/news/2017/sustainability-in-mattress-recycling']","['+61-3-9581-9888', 'https://www.covestro.com.au/en/case-studies/heat-styling-with-baycusan']","['covestro pty ltd covestro innovative materials', 'covestro australia', 'covestro materials', 'other covestro products', 'covestro australia employees', 'covestro customers', 'covestro australia achievements', 'market covestro australia', 'new zealand covestro australia', 'covestro pasquick']","[['Mark Williams', 'Managing_Director'], 'https://au.linkedin.com/in/mark-williams-cpa-990b4726']","['Manufacturing, Utilities', 'from_classification_model']",None,"['$18.56 million USD', 'https://www.dnb.com/business-directory/company-profiles.covestro_pty_ltd.8b5cf56f244b8f25.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.covestro_pty_ltd.8b5cf56f244b8f25.html']",1.0,0.25,0.375,0.0,0.40625
Rail Industry Safety and Standards Board | Under Australia's ...,https://www.rissb.com.au/,Under Australia’s co-regulatory model RISSB supports the rail industry by coordinating the development of Australian Standards  Codes of Practice…_Under Australia’s co-regulatory model RISSB supports the rail industry by coordinating the development of Australian Standards  Codes of Practice  Guidelines and Rules. on Rail Industry Safety and…,rissb,"['L4 15 Astor Tce Spring Hill, QUEENSLAND, 4000 Australia', 'https://www.dnb.com/business-directory/company-profiles.rail_industry_safety_and_standards_board_(rissb)_limited.e0e1cc0e7be46b321bedd2a12055c3a6.html']","['cfitzhardinge@rissb.com.au', 'https://www.rissb.com.au/news/call-for-development-group-members-australian-code-of-practice-for-safety-critical-communications/']","['+617 3724 0000', 'https://www.rissb.com.au/training-events-terms-and-conditions/']","['rissb rail safety conference', 'rissb young rail', 'rail workers rissb', 'rissb safety conference', 'rissb', 'rissb standards', 'rail industry', 'rail industry requirements', 'rissb products', 'rissb projects']","[['PAUL DALY', 'Chief Executive Officer'], 'https://www.dnb.com/business-directory/company-profiles.rail_industry_safety_and_standards_board_(rissb)_limited.e0e1cc0e7be46b321bedd2a12055c3a6.html']","['Construction, IT - Software', 'from_classification_model']","['16 June 2003', 'https://opencorporates.com/companies/au/105001465']","['$3.74 million USD', 'https://www.dnb.com/business-directory/company-profiles.rail_industry_safety_and_standards_board_(rissb)_limited.e0e1cc0e7be46b321bedd2a12055c3a6.html']",None,"['Australia', 'https://opencorporates.com/companies/au/105001465']",None,"['Public\xa0Limited\xa0Company Independent', 'https://www.dnb.com/business-directory/company-profiles.rail_industry_safety_and_standards_board_(rissb)_limited.e0e1cc0e7be46b321bedd2a12055c3a6.html']",0.375,0.25,0.75,0.0,0.34375
FPE - Food Processing Equipment Ltd - Australia & New ...,https://www.fpe.net.au/,FPE is a leading supplier of food processing equipment in Australia & New Zealand - with hygiene  inspection  handling  cook & chill systems & more.,fpe.net.au,"['549 NZ 0800 100 003  Head Office – 878 Main North Road Pooraka South Australia 5095', 'https://www.fpe.net.au/privacy-policy/']","['eat@yumefood.com.au', 'https://www.crunchbase.com/organization/yume-food-australia']","['+61-882625300', 'https://www.dnb.com/business-directory/company-profiles.fpe_nominees_pty_ltd.5020da61a8e2412eddb37bfe702daad3.html']","['food processing equipment', 'food processing equipment parts', 'food safety equipment', 'food processing equipment manufacturer', 'food processing cleaning equipment', 'food inspection equipment', 'food processing machines', 'food manufacturing equipment', 'food packaging equipment', 'food analysis equipment']","[['Brian Carey', 'CEO'], 'https://www.fpe.net.au/brian-carey-meat-industry/']","[['AppsFood and BeverageMarketplaceMobile Apps'], 'https://www.crunchbase.com/organization/yume-food-australia']","['Dec 2014', 'https://www.crunchbase.com/organization/yume-food-australia']","['10M', 'https://app.avention.com/company/54e44cce-3ed3-3b6a-844c-f68a3dd7ef68#report/company_summary']",None,"[' South Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/yume-food-australia']","['21', 'https://app.avention.com/company/54e44cce-3ed3-3b6a-844c-f68a3dd7ef68#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/yume-food-australia']",0.75,0.375,0.5,0.0,0.40625
Paramount Safety Products I Floor to Store Fast,https://www.paramountsafety.com/,,paramountsafety,"['2001 Opened Sydney office and warehouse, New South Wales Australia 2002', 'https://www.paramountsafety.com/']","['nz@paramountsafety.com.au', 'https://www.paramountsafety.com/contact']","['+61 409 477 671', 'https://www.paramountsafety.com/contact']","['allan street safety gear paramount safety products', 'pro choice safety gear', 'pro choice® safety gear', 'safety systems', 'height safety equipment', 'pratt safety systems', 'industrial safety products', 'linq height safety', 'premium quality products', 'products']","[['Rob Bird back', 'CEO'], 'https://www.paramountsafety.com/about/about01']","['Arts, entertainment and recreation, Manufacturing', 'from_classification_model']","['18 April 2019', 'https://opencorporates.com/companies/au/633002730']",None,None,"['Australia', 'https://opencorporates.com/companies/au/633002730']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/633002730']",0.25,0.25,0.0,0.0,0.125
Australia: X-Ray Visible & Metal Detectable Products,https://isdetectables.com/,IS Detectables are a leading supplier of x-ray and metal detectable food safety products to Australian manufacturers and food processors.,isdetectables,"['273 Holt Parade, Thomastown, Victoria 3074 Australia', 'https://isdetectables.com/privacy-security/']","['sales@isdetectables.com', 'https://isdetectables.com/shipping-return/']","['+61 3 9465 7666', 'https://isdetectables.com/shipping-return/']","['detectable products', 'detectable food safety products', 'detectables products', 'new products', 'products', 'detectamet products', 'detectable retractable pen design', 'detectamet detectable highlighter pens', 'visibility test wands', 'tough products']",None,"['Manufacturing, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
elliotts.net,http://elliotts.net/,,elliotts.net,"['23 Vauxhall Street Virginia QLD 4014 Australia', 'http://elliotts.net/']","['support@elliot.store', 'https://www.crunchbase.com/organization/elliot']","['+617 3265 2944', 'http://elliotts.net/']","['arc flash switching clothing', 'x50 arc flash switching gloves', 'x50 arc flash switching', 'arcsafe t40 arc flash switching hood', 't40 arc flash switching hoods', 'x50 arc flash switching trousers', 'arc flash clothing', 'arc flash face shield', 't40 arc flash switching hood products', 'arc flash protective garment']","[['Shayne Cary Elliott', 'Managing_Director'], 'https://au.wallmine.com/asx/anz/officer/2084513/shayne-elliott']","[['E-CommerceE-Commerce PlatformsEnterprise SoftwareRetail'], 'https://www.crunchbase.com/organization/elliot']","['Aug 1, 2017', 'https://www.crunchbase.com/organization/elliot']","['$7.87 million USD', 'https://www.dnb.com/business-directory/company-profiles.elliott_australia_pty_ltd.893a8203375eac777c1ec6157a940b48.html']",None,"['Australia', 'https://opencorporates.com/companies/au/645572050']",None,"['Private', 'https://www.crunchbase.com/organization/elliot']",0.625,0.25,0.375,0.0,0.3125
Compliance Gate: Product Safety & Labeling for Importers ...,https://www.compliancegate.com/,We help Importers  Exporters and Amazon sellers with product lab testing  product labeling  certification and more.,compliancegate,None,None,None,None,None,"['Manufacturing, Utilities', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Passive Fire Protection System | Fire Rated Sealant | Fire ...,https://tfire.com.au/,Trafalgar Fire is a manufacturer of Fire Protection Systems in Australia. We offer Firebox & Fire Protection Products like fire pillows  fire collars  intumescent sealant & penetration seals in Australia.,tfire,"['07 4181 1537    Passive Fire NT 0488', 'https://tfire.com.au/FyreWrap_Installers']","['sales@fireandsafetyaustralia.com.au', 'https://www.crunchbase.com/organization/fire-and-safety-australia']","['+612 8708 8900', 'https://tfire.com.au/Brisbane']","['fire protection systems', 'fire stopping systems', 'fire rated walls', 'fire protection', 'passive fire protection systems', 'fire rated sealants', 'fire rated ceiling systems', 'high fire protection', 'passive fire products', 'fire protection solutions']","[['Tony Metcalf', 'Managing_Director'], 'https://www.fireandsafetyaustralia.com.au/about-fsa/ceo/']","[['Education'], 'https://www.crunchbase.com/organization/fire-and-safety-australia']","['2007', 'https://www.crunchbase.com/organization/fire-and-safety-australia']","['$12.70 million USD', 'https://www.dnb.com/business-directory/company-profiles.trafalgar_group_pty_ltd.5b06fefe8f675326b3741327136c5e3c.html']",None,"['Australia', 'https://opencorporates.com/companies/au/645115733']",None,"['Private', 'https://www.crunchbase.com/organization/fire-and-safety-australia']",0.25,0.25,0.0,0.0,0.125
