title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Osteon Medical: Welcome,https://www.osteonmedical.com/,,osteonmedical,"['759 -767 Springvale Rd Mulgrave VIC 3170', 'https://www.osteonmedical.com/contact-us/']","['info@osteonmedical.com', 'https://www.crunchbase.com/organization/osteon-medical']","['+61 (3) 9264 0111', 'https://www.osteonmedical.com/contact-us/']","['osteon medical', 'osteon implant frameworks', 'osteon medical features', 'osteon medical founder michael tuckman', 'osteon medical production facility', 'osteon', 'osteon biaxial frameworks', 'implant prosthetic products', 'osteon medical pty ltd.', 'osteon biaxial']",None,"[['DentalHealth CareMedical Device'], 'https://www.crunchbase.com/organization/osteon-medical']","['Jan 1, 2007', 'https://www.crunchbase.com/organization/osteon-medical']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/osteon-medical']",1.0,0.25,0.0,0.0,0.3125
Specialised Technical Services - CAD/CAM Solutions ...,http://www.sts.com.au/,Specialised Technical Services (STS) provides CAD/CAM solutions  training and support to mechanical engineering  design and manufacturing business in Australia and New Zealand. Our range includes world known brands: CADKEY KeyCreator  Machinist STRATEGIST  VISI Series  CIMCO and ZwCAD. _Specialised Technical Services - CAD/CAM Solutions  Training and Support for Manufacturing Industry,sts,"['45 Fairway Drive,  DROUIN VIC 3818 Australia', 'http://www.sts.com.au/Links.shtml']","['adam.rippon@sydneytech.com.au', 'https://www.crunchbase.com/organization/sydney-technology-solutions']","['+613 5625 5200', 'http://www.sts.com.au/Links.shtml']","['cad tools', 'high tech design tools', 'cad models', 'surface machining machines', 'complex 3d cad models', 'surface creation tools', 'imported cad models', '3d models', 'machine design', 'solid models']","[['Isaac Koren', 'Managing_Director'], 'https://au.linkedin.com/in/isaac-koren-b7381980']","[['Cloud Data ServicesConsultingCyber SecuritySoftware'], 'https://www.crunchbase.com/organization/sydney-technology-solutions']","['Jun 3, 1999', 'https://www.crunchbase.com/organization/sydney-technology-solutions']","['$84.8M', 'None']","['$0', 'None']","['Australia', 'https://opencorporates.com/companies/au/628894646']","['134', 'None']","['Private', 'https://www.crunchbase.com/organization/sydney-technology-solutions']",0.25,0.25,0.0,0.0,0.125
TCT Magazine | Additive Manufacturing & 3D Printing ...,https://www.tctmagazine.com/,TCT is the leading news source for 3D printing and Additive Manufacturing  with news  views  incisive commentary  learning resources and jobs. We cover applications of additive technologies for product development  engineering and manufacture. Covering 3D printing  3d printers  3d printed designs  and additive manufacturing for aerospace  automotive  medical  dental  and product development.,tctmagazine,None,"['info@leolane.com', 'https://www.tctmagazine.com/blogs/guest-column/a-simple-equation-secure-and-certified-additive-manufacturin/']",None,"['metal 3d printing technology', '3d printed orthopaedic parts', 'metal additive manufacturing powders', 'am parts', '3d printing technology', 'additive manufacturing metal powder performance', 'printed part', 'metal 3d printed parts', 'metal 3d printing', '3d printing powders']",None,"['Manufacturing, Mining, oil and gas', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
CAD Software Sales and Support - CADDIT Australia,https://www.caddit.net/,CAD Software for architecture  mechanical design and engineering. Free downloads and more  CADDIT Sydney Australia.,caddit.net,"['Level  1 96 Phillip Street Parramatta, NSW 2150 Australia', 'http://www.caddit.net/store/index.php?main_page=contact_us']","['bdeck@users.sourceforge.net', 'https://www.crunchbase.com/organization/caddit-cad-software']","['+61 2 9723 8333', 'http://www.caddit.net/store/index.php?main_page=contact_us']","['used function', 'cad license types', 'progecad users', '3d mechanical cad design', 'progecad hvac electrical cad', 'model part', 'other various design feature functions', 'select entity', 'progecad design class', 'classic command line']","[['Ben Decker', 'Managing_Director'], 'https://au.linkedin.com/in/3dpartner']","[['InternetSoftware'], 'https://www.crunchbase.com/organization/caddit-cad-software']",None,"['$244,539 USD', 'https://www.dnb.com/business-directory/company-profiles.caddit_pty_ltd.be3c59dd355c958c402b3dbb68833d79.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/caddit-cad-software']",1.0,0.25,0.75,0.0,0.5
Kulzer - Choose your country / region,https://www.kulzer.com/en/int/home_4/worldmap_2014.aspx,,kulzer,"['Unit  20 / 53 Lorraine St, PEAKHURST, NSW 2210 Australia', 'https://www.kulzer.com/en/int/company_1/locations_2/locations_3.aspx']","['mary.konstantinidou@kulzer-dental.com', 'https://www.kulzer.com/en/int/company_1/locations_2/locations_3.aspx']","['+61 (0) 481 391 482', 'https://www.kulzer.com/en/int/home_4/australia_1/team/team_aus.aspx']","['kulzer heraceram', 'kulzer heraceram ceramics', 'venus diamond kulzer', 'kulzer callback service heraceram', 'kulzer uk', 'kulzer baltic', 'kulzer australia', 'dental laboratory materials', 'denture acrylic', 'kulzer products']","[['Jeff Lauretti', 'Managing_Director'], 'https://www.kulzer.com/en/int/press___news/news/archive/2013_1/gunz_dental.aspx']","['Manufacturing, Utilities', 'from_classification_model']",None,None,None,None,None,None,1.0,0.25,0.0,0.0,0.3125
JT Medical Pty Ltd: High-performance surgical solutions,https://www.jtmedical.com.au/,JT Medical is an Australian and New Zealand distributor of high-quality medical products  including products from POLYTECH Health & Aesthetics Germany,jtmedical,"['Unit  4 , 44 Dickson Avenue Artarmon NSW 2064 Australia', 'https://www.jtmedical.com.au/']","['info@jtmedical.com.au', 'https://www.jtmedical.com.au/']","['+61 2 9439 7000', 'https://www.jtmedical.com.au/']","['jt medical services', 'contact jt medical', 'jt medical collects', 'other jt medical services', 'jt medical pty ltd', '© jt medical pty ltd', 'jt medical pty ltd calf implants', 'jt medical gluteal implants expanders compression therapies', 'jt medical', 'jt medical materials']","[['THERESE TURNER', 'Manager'], 'https://www.dnb.com/business-directory/company-profiles.j_t_medical_pty_ltd.f56d610586054adce41034ae8862b5c2.html']","['Healthcare, Manufacturing', 'from_classification_model']","[' 3 November 1997', 'https://opencorporates.com/companies/nz/882396']","['$7.76 million USD', 'https://www.dnb.com/business-directory/company-profiles.j_t_medical_pty_ltd.f56d610586054adce41034ae8862b5c2.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/882396']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.j_t_medical_pty_ltd.f56d610586054adce41034ae8862b5c2.html']",1.0,0.25,0.0,0.0,0.3125
Professional CAD Systems NZ | 3D Scanning & CAD Software ...,https://procadsys.co.nz/,We offer professional grade 3D scanners for reverse engineering  3D modelling software for architecture  construction  interior design  landscaping  engineers  architects..,procadsys,"['313/30-40 Harcourt Parade, Rosebery NSW 2018', ['OzCAD Pty Limited, address', 'knowledge_panel']]","['mark@procadsys.co.nz', 'https://procadsys.co.nz/contact/']","['+6127 663 0075', 'https://procadsys.co.nz/contact/']","['sketchup models', 'sketchup software', 'trimble sketchup', 'sketchup perpetual licenses', 'sketchup pro classic licenses', 'sketchup products', 'sketchup license', 'sketchup 3d', 'sketchup users', 'need sketchup']","[['John Struan ROBERTSON', ' director'], 'https://opencorporates.com/companies/nz/1472709']","['IT - Software, Manufacturing', 'from_classification_model']","[' 5 January 2004', 'https://opencorporates.com/companies/nz/1472709']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/1472709']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/1472709']",0.0,0.25,0.0,0.0,0.0625
Unisys Australia: A worldwide information technology company,https://www.unisys.com.au/,Unisys is a global information technology company that solves complex IT challenges at the intersection of modern and mission critical.,unisys,"['1300 088 833   Sydney\u200b  1G Homebush Bay Drive Rhodes NSW 2138', 'https://www.unisys.com.au/about-us/locations']","['ecruiting@unisys.com', 'https://jobs.unisys.com/us/en']","['1300 088 833', 'https://www.unisys.com.au/about-us/locations']","['unisys credit services', 'digital business', 'network security', 'unisys security solutions', 'unisys credit services \u200bunisys', 'customer service', 'integrated security solutions', 'electronic payment processing services', 'complex network security', 'better services']","[['Mike Ettling', 'Managing_Director'], 'https://prwire.com.au/release/unisys-strengthens-management-team-with-appointment-of-new-managing-director-for-australia-new-zealand']","[['Information ServicesInformation TechnologySoftware'], 'https://www.crunchbase.com/organization/unisys-corporation']","['1984', 'https://www.crunchbase.com/organization/unisys-corporation']",None,None,None,None,"['Public', 'https://www.crunchbase.com/organization/unisys-corporation']",1.0,0.25,0.0,0.0,0.3125
Bite Magazine: Home,https://bitemagazine.com.au/,Australia's leading magazine for dental professionals. A monthly magazine  free weekly email newsletter and app for dentists and all practice staff.,bitemagazine,"['PO Box 92 Pyrmont NSW 2009 Australia', 'https://bitemagazine.com.au/contact-us/']","['18523-1649408400-1649613600@bitemagazine.com.au', 'https://bitemagazine.com.au/events/?ical=1']","['+612 9660 6995', 'https://bitemagazine.com.au/advertise/']","['dental practices', 'many dental practices', 'quality dental practices', 'oral health management practices', 'dental patients', 'practice staff', 'good dental health', 'new practices', 'dental practice management company prime practice', 'business practices']","[['Dr Karen Luxford', 'CEO'], 'https://bitemagazine.com.au/dr-karen-luxford-appointed-ceo-racds/']","['IT - Software, Construction', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Autodesk Services Marketplace: CAD_ BIM_ & 3D Design ...,https://servicesmarketplace.autodesk.com/,Find BIM  CAD  and CAM services from training and software management to design and drafting at the Autodesk Services Marketplace,servicesmarketplace.autodesk,"['Level 5, Building/C, 11 Talavera Rd, Macquarie Park NSW 2113', ['Autodesk Australia Pty Ltd, address', 'knowledge_panel']]","['india.info@designerscommunity.org', 'https://www.crunchbase.com/organization/autodesk']","['+61 4 9006 2089', 'https://servicesmarketplace.autodesk.com/provider/public/aipal']","['autodesk services marketplace', 'autodesk services marketplace experts', 'autodesk design software solutions', 'autodesk services marketplace transactions', 'autodesk solutions', 'complete autodesk software solutions', 'autodesk cam solutions', 'autodesk aec software', 'autodesk technology', 'autodesk cad']","['John Walker', 'founder(s)', 'https://www.crunchbase.com/organization/autodesk']","[['3D TechnologyArchitectureConstructionSoftware'], 'https://www.crunchbase.com/organization/autodesk']","['1982', 'https://www.crunchbase.com/organization/autodesk']",None,None,None,None,"['Public', 'https://www.crunchbase.com/organization/autodesk']",0.0,0.25,0.0,0.0,0.0625
