title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Ezitracker,https://www.ezitracker.com.au/,Ezitracker workforce management software for FM  cleaning companies  time and attendance monitoring software.,ezitracker,"['Suite  308 685 Burke Road Camberwell VIC 3124', 'https://www.ezitracker.com.au/privacy-policy']","['enquiries@hastl.com', 'https://www.ezitracker.com.au/contact']","['1800 148 778', 'https://www.ezitracker.com.au/contact']","['personal data', 'data', 'data security', 'relevant personal data', 'data protection laws', 'other has technology ltd websites', 'has technology ltd', 'our own personal data', 'the personal data processing activities', 'has technology group']","[['Christian Berenger ', 'UK_ Australia & New Zealand_Ezitracker'], 'None']","['Computer Programming', 'https://app.avention.com/company/7eab536e-33ac-334b-a5ad-8cbb6da5ebd2#report/company_summary']","[' 1 February 2000', 'https://opencorporates.com/companies/nz/1012176']","['7.8M', 'https://app.avention.com/company/7eab536e-33ac-334b-a5ad-8cbb6da5ebd2#report/company_summary']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1012176']","['75', 'https://app.avention.com/company/7eab536e-33ac-334b-a5ad-8cbb6da5ebd2#report/company_summary']","['Private Independent', 'https://app.avention.com/company/7eab536e-33ac-334b-a5ad-8cbb6da5ebd2#report/company_summary']",error,error,error,error,error
Exceed - we fix windows & doors,https://www.exceed.co.nz/,,exceed,"['U 12 30 EAST CRESCENT STREET MCMAHONS POINT, NEW SOUTH WALES, 2060 Australia', 'https://www.dnb.com/business-directory/company-profiles.exceed_creative_pty_ltd.2d51eeffa44a2b2ccc4e8be7c8a475b9.html']","['ccc@exceed.co.nz', 'https://www.exceed.co.nz/page/contact-us/']","['+618 8121 5698', 'https://www.exceed.co.nz/blog/post/19324/ServiceM8-new-software-helps-field-service-franchises-startsurvive-and-thrive/']","['realigning doors door', 'door security', 'great customer service', 'good customer service', 'customer services', 'time service', 'excellent customer service', 'door problems', 'home services businesses', 'great service']","[['Adam Gray', 'Managing_Director'], 'https://au.linkedin.com/in/adam-s-gray-wind-energy-gis']","[['Property Management'], 'https://www.crunchbase.com/organization/exceed-capital']","['2016', 'https://www.crunchbase.com/organization/exceed-capital']","['$537,502 USD', 'https://www.dnb.com/business-directory/company-profiles.exceed_creative_pty_ltd.2d51eeffa44a2b2ccc4e8be7c8a475b9.html']",None,"['Australia', 'https://opencorporates.com/companies/au/643043912']",None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.exceed_creative_pty_ltd.2d51eeffa44a2b2ccc4e8be7c8a475b9.html']",0.0,0.25,0.0,0.0,0.0625
Accounting Software App Marketplace | Xero App Marketplace ...,https://apps.xero.com/,Small business accounting is made easy with these Xero accounting software connected apps. Customize your own online accounting solution. View the options here.,apps.xero,"['U1 6 Elizabeth St Melbourne, VICTORIA, 3000 Australia', 'https://www.dnb.com/business-directory/company-profiles.xero_limited.637268731fc987aaf362e94be179c4f6.html']","['investors@xero.com', 'https://www.crunchbase.com/organization/xero']","['+61 8 9286 3911', 'https://apps.xero.com/au/function/payroll-hr/app/intertec-timepro']","['xero xero projects', 'xero xero expenses', 'xero xero hq', 'xero xero hq apps', 'xero businesses', 'xero invoices', 'xero apps', 'xero contacts', 'xero users', 'xero mailchimp']","[['ANDREW CRAIG WINKLER', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.xero_limited.637268731fc987aaf362e94be179c4f6.html']","[['AccountingBankingBillingCollaborationFinanceFinTechPersonal FinanceSaaSSoftware'], 'https://www.crunchbase.com/organization/xero']","['Jul 1, 2006', 'https://www.crunchbase.com/organization/xero']","['$474.91 million USD', 'https://www.dnb.com/business-directory/company-profiles.xero_limited.637268731fc987aaf362e94be179c4f6.html']",None,None,None,"['Public', 'https://www.crunchbase.com/organization/xero']",0.0,0.25,0.375,0.0,0.15625
The Medical Journal of Australia: Home,https://www.mja.com.au/,person_outline Login. Individual Login; Login · Create an account; Purchase options; Subscribe to the MJA · COVID-19 · Online first · Current issue · Archive ...,mja,"['PO Box 6090, KINGSTON ACT 2604', 'https://ama.com.au/login?destination=login-sso/mja/eI7wvUGrWQKBBE56h5H4yTPvpK3F5s']","['gemma.carey@unsw.edu.au', 'https://www.mja.com.au/journal/2020/213/3/national-disability-insurance-scheme-and-covid-19-collision-course']","['+61 2 6270 5400', 'https://ama.com.au/login?destination=login-sso/mja/eI7wvUGrWQKBBE56h5H4yTPvpK3F5s']","['j ferson med j aust', 'michael j bourke med j aust', 'med j aust', 'ian j constable med j aust', 'paul j beggs med j aust', 'raymond j mullins med j aust', 'alexander j thompson med j aust', 'malcolm j west med j aust', 'barrie j stokes med j aust', 'peter j mccluskey med j']","[['MATTHEW JOHN ADAMOS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.m_j_a_australia_pty_ltd.0e5e5541fd0cb362a7e42f04b7dd1c0b.html']","['Chemical Wholesale', 'https://app.avention.com/company/f72a2c65-5b06-307d-9abe-e7914587b0c4#report/company_summary']","[' 1 May 2000', 'https://opencorporates.com/companies/au/092630889']","['9.3M', 'https://app.avention.com/company/f72a2c65-5b06-307d-9abe-e7914587b0c4#report/company_summary']",None,"['Australia', 'https://opencorporates.com/companies/au/092630889']","['16', 'https://app.avention.com/company/f72a2c65-5b06-307d-9abe-e7914587b0c4#report/company_summary']","['Private Independent', 'https://app.avention.com/company/f72a2c65-5b06-307d-9abe-e7914587b0c4#report/company_summary']",0.25,0.25,0.25,0.0,0.1875
WebRTC World,https://www.webrtcworld.com/,WebRTC is a open source project aiming to enable the web with Real Time Communication (RTC) capabilities.,webrtcworld,None,"['sales@marketsandmarkets.com', 'https://www.webrtcworld.com/news/2020/01/14/9081083.htm']",None,"['webrtc broadworks webrtc server', 'webrtc bistri harnesses webrtc', 'webrtc communications', 'webrtc technology', 'webrtc solutions', 'webrtc applications', 'existing webrtc service providers', 'webrtc developers', 'webrtc platforms', 'real time video']",None,"['IT - Software, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Covetrus Software Services | Solutions for Veterinary Practices,https://softwareservices.covetrus.com/,Explore our veterinary practice management software and learn how we can improve the efficiency and profitability of your business!,softwareservices.covetrus,"['36 Brandl St Eight Mile Plains, QUEENSLAND, 4113 Australia', 'https://www.dnb.com/business-directory/company-profiles.henry_schein_veterinary_solutions_pty_ltd.13d75f0f5161540a08cff0a701a57e96.html']","['privacy@covetrus.com', 'https://softwareservices.covetrus.com/privacy-policy/']","['+6107) 3018 8666', ['Covetrus Software Services Office, phone', 'knowledge_panel']]","['veterinary practices', 'veterinary practice staff', 'veterinary practice partners', 'scil veterinary practices', 'offer veterinary practices', 'practice owners', 'new practice owners', 'practices', 'practice management', 'covetrus products']","[['DAVID CHRISTOPHER DOLLAR', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.henry_schein_veterinary_solutions_pty_ltd.13d75f0f5161540a08cff0a701a57e96.html']","[['ConsultingInformation TechnologySoftware'], 'https://www.crunchbase.com/organization/tactiv']","['2005', 'https://www.crunchbase.com/organization/tactiv']","['$6.82 million USD', 'https://www.dnb.com/business-directory/company-profiles.henry_schein_veterinary_solutions_pty_ltd.13d75f0f5161540a08cff0a701a57e96.html']",None,"[' West End, Queensland, Australia', 'https://www.crunchbase.com/organization/tactiv']",None,"['Private', 'https://www.crunchbase.com/organization/tactiv']",0.0,0.0,0.0,0.0,0.0
Eduniversal Best Masters ranking worldwide,https://www.best-masters.com/,,best-masters,"['Abercrombie Building H70, Corner Abercrombie Street and, Codrington St, Darlington NSW 2006', ['The University of Sydney Business School, address', 'knowledge_panel']]","['contact@gradaustralia.com.au', 'https://www.crunchbase.com/organization/gradaustralia']","['+612881-0802', 'https://www.best-masters.com/master-at-the-university-of-rhode-island-college-of-business-administration.html']","['business management art management university', 'international business management master', 'lancaster university management school', 'health care management msc business management', 'mba management master', 'management master', 'management business', 'risk management university', 'copenhagen business school management', 'edhec business school university']","[['Vicki Best ', 'Bupa Australia & New Zealand_LinkedIn'], 'from linkedin search google']","[['Education'], 'https://www.crunchbase.com/organization/gradaustralia']","['Jan 1, 2015', 'https://www.crunchbase.com/organization/gradaustralia']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/gradaustralia']",0.0,0.25,0.0,0.0,0.0625
OZ METS Hub - Australian Mining_ Oil and Gas Equipment ...,https://www.ozmetshub.com.au/,,ozmetshub,"['PO Box 651 , Collins St West, MELBOURNE, VIC 3000', 'https://www.ozmetshub.com.au/Directory/concerto-analytics']",None,"['+61383406000', 'https://www.ozmetshub.com.au/Directory/wcbm-worldfreight']","['mining services', 'mining companies', 'mining technologies', 'project services', 'operations management services', 'risk management services', 'potential mining projects', 'several mining projects', 'mining technology vendors', 'mining operations']",None,"['Manufacturing, Services - professional, scientific, and technical', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Integral Ltd | Delivering Control_ Simply,https://www.integral.co.nz/,Delivering Control  Simply,integral,"['21 Browning Street Napier South, Napier 4110 New Zealand', 'https://www.integral.co.nz/locations/']","['info@integraldiagnostics.com.au', 'https://www.crunchbase.com/organization/integral-diagnostics']","['+64 7 349-4488', 'https://www.integral.co.nz/locations/']","['magic blog magic xpi', 'business process integration', 'magic software announces magic', 'business integration', 'xpa magic xpi integration platform', 'systematic business process integration solutions', 'systems integration', 'magic xpi customers', 'resil chemicals magic xpi integration platform', 'integration magic customer stories']","[['William Overturf III', 'CEO'], 'https://www.integralgroup.com/news/integral-group-appoint-new-ceo-and-new-board-chair/']","[['BiotechnologyHealth CareMedical'], 'https://www.crunchbase.com/organization/integral-diagnostics']","['28 October 2020', 'https://opencorporates.com/companies/au/645463869']",None,None,"['Australia', 'https://opencorporates.com/companies/au/645463869']",None,"['Public', 'https://www.crunchbase.com/organization/integral-diagnostics']",0.25,0.25,0.0,0.0,0.125
MPAQ - Master Plumbers' Association of Queensland (MPAQ ...,https://www.mpaq.com.au/,The Master Plumbers' Association of Queensland (MPAQ) is the peak industry body representing plumbing contractors throughout Queensland  from sole operators through to medium sized plumbing businesses and large contracting firms. ,mpaq,"['SHED 11 243 BRADMAN STREET ACACIA RIDGE, QUEENSLAND, 4110 Australia', 'https://www.dnb.com/business-directory/company-profiles.the_master_plumbers_assn_of_qld_union_of_employers.b479631eef2f43445835877a9363b580.html']","['irley@thebusygroup.com.au', 'https://www.mpaq.com.au/workplace-relations/coronavirus/government-support-packages/support-for-apprentices']","['+61409 797 972', 'https://www.mpaq.com.au/events/mpaq-division-meetings']","['queensland plumbing', 'mpaq pasfield plumbing', 'queensland plumbing ambassador', 'queensland plumbing ambassadors', 'world plumbing day breakfast world plumbing day', 'queensland apprentice plumbing ambassador', 'queensland plumbing apprentice ambassadors', 'queensland jobs mpaq', 'mpaq members', 'plumbing apprentice wins industry award']","[['PENELOPE CORNAH', 'Chief Executive Officer'], 'https://www.dnb.com/business-directory/company-profiles.the_master_plumbers_assn_of_qld_union_of_employers.b479631eef2f43445835877a9363b580.html']","['Utilities, Manufacturing', 'from_classification_model']",None,"['$2.79 million USD', 'https://www.dnb.com/business-directory/company-profiles.the_master_plumbers_assn_of_qld_union_of_employers.b479631eef2f43445835877a9363b580.html']",None,None,None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.the_master_plumbers_assn_of_qld_union_of_employers.b479631eef2f43445835877a9363b580.html']",0.75,0.25,0.0,0.0,0.25
