title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Best Practice Software – An Evolution In Practice Management,https://bpsoftware.net/,Login · Register · Bp Software. previous arrow. next arrow ... Bp VIP.net provides for flexible workflows and device integration. In 2016  Best Practice Software ...,bpsoftware.net,"['PO Box 1911 ,\xa0Bundaberg Queensland 4670 Australia', 'https://bpsoftware.net/locations/']","['help@doctorscontrolpanel.com.au', 'https://bpsoftware.net/partner-doctors-control-panel/']","['+61 7 3223 7700', 'https://bpsoftware.net/contact-us-3/']","['bp premier bp', 'bp team bp', 'bp premier users', 'bp software', 'best practice software users', 'bp allied users', 'bp premier user', 'best practice users', 'many best practice software users', 'messaging software best practice software']","[['Dr Frank Pyefinch', 'CEO'], 'https://bpsoftware.net/leadership/']","[['AccountingCloud ComputingSoftware'], 'https://www.crunchbase.com/organization/best-practice-solutions']","['2001', 'https://www.crunchbase.com/organization/best-practice-solutions']","['1.3M', 'https://app.avention.com/company/6c4cd72c-8d57-3964-bf52-daf9d27e6df6#report/company_summary']",None,"[' Ivanhoe East, Victoria, Australia', 'https://www.crunchbase.com/organization/best-practice-solutions']","['29', 'https://app.avention.com/company/6c4cd72c-8d57-3964-bf52-daf9d27e6df6#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/best-practice-solutions']",0.25,0.25,0.375,0.0,0.21875
Webber Insurance Services: Business Insurance Broker ...,https://www.webberinsurance.com.au/,Award Winning insurance broker specialising in small business and professional indemnity insurance. Get professional advice or a quote today1300 932 237.,webberinsurance,"['U3 69 Fullarton Rd Kent Town, SOUTH AUSTRALIA, 5067 Australia', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_the_webber_insurance_unit_trust.95e6886a99ec378a3de903c3096d8fef.html']","['bdaa@webberinsurance.com.au', 'https://www.webberinsurance.com.au/bdaa']","['1300 256 258', 'https://www.webberinsurance.com.au/bdaq']","['business insurance', 'business insurance policies', 'management liability insurance life insurance', 'keyman insurance webber insurance services', 'life insurance consultants insurance', 'cyber insurance page webber insurance services', 'business expenses insurance', 'business life insurance it liability insurance', 'insurance quote request architect insurance', 'business details public liability insurance']","[['Chris Webber ', 'Managing Director_Webber ...'], 'from linkedin search google']","['Finance and insurance, Real estate', 'from_classification_model']",None,"['$4.34 million USD', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_the_webber_insurance_unit_trust.95e6886a99ec378a3de903c3096d8fef.html']",None,None,None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_the_webber_insurance_unit_trust.95e6886a99ec378a3de903c3096d8fef.html']",0.75,0.25,0.0,0.0,0.25
Tourism New Zealand: Home,https://www.tourismnewzealand.com/,Tourism New Zealand's corporate website contains useful information for industry  media and New Zealanders  such as news  insights  data  job vacancies and event listings.,tourismnewzealand,"['Air New Zealand House, 185 Fanshawe Street, Auckland 1010NZ', 'https://opencorporates.com/companies/nz/142409']","['emma.carter@tnz.govt.nz', 'https://www.tourismnewzealand.com/news/marketing-agreement-to-increase-incentive-travel-from-us/?bytag=Premium']","['+64 21 243 0386', 'https://www.tourismnewzealand.com/news/marketing-agreement-to-increase-incentive-travel-from-us/?bytag=Premium']","['new zealand fourteen luxury new zealand properties', 'new zealand', 'tourism new zealand', 'new zealand tourism', 'destination new zealand', 'tourism new zealand partners', 'nz tourism new zealand', 'luxury new zealand', 'tourism new zealand trade', 'new zealand operators']","[['Sandra Etter ', 'Australia_Tourism New Zealand'], 'from linkedin search google']","['Real estate, IT - Software', 'from_classification_model']","[' 3 August 1959', 'https://opencorporates.com/companies/nz/142409']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/142409']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/142409']",0.0,0.25,0.0,0.0,0.0625
Totara Learning - Freedom to Learn,https://www.totaralearning.com/,Transforming workplace learning with a powerful  flexible  and open platform - whether your needs are learning management (LMS)  performance management  or employee engagement  Totara has it covered. Discover the freedom to learn.,totaralearning,"['Level  2 , 186 Willis Street, Te Aro, Wellington Wellington 6011 New Zealand', 'https://www.totaralearning.com/privacy-policy']","['info@fivevcapital.com', 'https://www.crunchbase.com/organization/five-v-capital']","['+64 4 385 8399', 'https://www.totaralearning.com/privacy-policy']","['totara learn', 'totara training', 'other totara learning platforms', 'totara learning welcome', 'totara learn lms', 'totara learn solution', 'totara lms', 'totara users', 'onsite totara training', 'totara learning']","[['ANDREW BOAG', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.totara_learning_(australia)_pty_ltd.70eb40e5ad545274f931220d959590c8.html']","['IT - Software, Education', 'from_classification_model']","['30 September 2010', 'https://opencorporates.com/companies/nz/3107649']","['$808,440 USD', 'https://www.dnb.com/business-directory/company-profiles.totara_learning_(australia)_pty_ltd.70eb40e5ad545274f931220d959590c8.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/3107649']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.totara_learning_(australia)_pty_ltd.70eb40e5ad545274f931220d959590c8.html']",0.625,0.25,0.0,0.0,0.21875
Salesforce: We Bring Companies and Customers Together,https://www.salesforce.com/,Personalize every experience along the customer journey with the Customer 360. Unify marketing  sales  service  commerce  and IT on the world's #1 CRM.,salesforce,"['Level 12, Tower 3 Darling Park, 201 Sussex Street, Sydney NSW 2000 Australia', 'https://www.salesforce.com/au/?ir=1']","['sales@cloudmasons.com.au', 'https://www.crunchbase.com/organization/cloudmasons']","['+612-6272-1441', 'https://www.salesforce.com/kr/']","['de generación de', 'de la sécurité de nos', 'responsable de la protection de votre mot de passe', 'désactivation de la collecte de', 'auprès de l’autorité de', 'moyen de témoins de', 'de la limitation de l’accès', 'de confidentialité ou de sécurité', 'afronden van de cursus hebben de leerlingen de mogelijkheid', 'de supprimer entièrement de nos']","[['Pip Marlow', 'CEO'], 'https://www.salesforce.com/au/blog/authors/pip-marlow']","[['Cloud Data ServicesMobile AppsReal Estate'], 'https://www.crunchbase.com/organization/cloudmasons']","['2015', 'https://www.crunchbase.com/organization/cloudmasons']","['163k', 'https://app.avention.com/company/310d38c0-ec5f-3547-a235-44233a146881#report/company_summary']","['$138.1M', 'None']","[' Adelaide, South Australia, Australia', 'https://www.crunchbase.com/organization/cloudmasons']","['1,250', 'None']","['Private', 'https://www.crunchbase.com/organization/cloudmasons']",0.25,0.25,0.0,0.0,0.125
Syneos Health: Homepage,https://www.syneoshealth.com/,Syneos Health is the only fully integrated biopharmaceutical solutions organization. Our company  including a Contract Research Organization (CRO) and Contract Commercial Organization (CCO)  is purpose-built to accelerate customer performance to address modern market realities. Created through the merger of two industry-leading companies – INC Research and inVentiv Health – we,syneoshealth,"['TMF Group, Level 11, 41 Shortland Street, Auckland1010NZ', 'https://opencorporates.com/companies/nz/2023734']","['data.privacy@syneoshealth.com', 'https://www.syneoshealth.com/syneos-health-tm-privacy-statement-and-terms-use']",None,"['syneos health syneos health', 'syneos health clinical trials', 'syneos health studies', 'syneos health clinical', 'other syneos health group website', 'syneos health expertise', 'syneos health research', 'syneos health insights', 'syneos health employees', 'syneos health sources']","['Candace Kendle', 'founder(s)', 'https://www.crunchbase.com/organization/syneos-health']","[['BiotechnologyHealth CarePharmaceuticalTherapeutics'], 'https://www.crunchbase.com/organization/syneos-health']","['1985', 'https://www.crunchbase.com/organization/syneos-health']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/2023734']",None,"['Public', 'https://www.crunchbase.com/organization/syneos-health']",0.0,0.0,0.0,0.0,0.0
LINAK - electric linear actuator technology systems for ...,https://www.linak.com.au/,LINAK - world leading manufacturer of advanced electric linear actuator systems and solutions for hospitals  offices  private homes  agriculture  and production industry.,linak,"['82 -84 Abbott Road Hallam, Melbourne Victoria 3803', 'https://www.linak.com.au/']",None,"['+61 3 8796 9777', 'https://www.linak.com.au/']","['linak actuators linak actuators', 'linak actuator system solutions', 'linak actuator systems', 'linak electric actuator solutions', 'linak actuator solutions', 'electric actuator systems', 'linak electric actuator systems', 'actuator systems', 'linak linear actuator systems', 'electric actuator solutions']","[['Bent Jensen', 'founder'], 'https://www.linak.com/about/history/']","[['GovernmentManufacturing'], 'https://www.crunchbase.com/organization/linak-u-s']","['1994', 'https://www.crunchbase.com/organization/linak-u-s']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/linak-u-s']",0.25,0.25,0.0,0.0,0.125
Bio-Rad: Products for Life Science Research & Clinical ...,https://www.bio-rad.com/,Bio-Rad offers a range of products and services for life science research and education  clinical diagnostics  biopharmaceutical processing  and food science.,bio-rad,"['L 5 446 Victoria Rd Gladesville, NEW SOUTH WALES, 2111 Australia', 'https://www.dnb.com/business-directory/company-profiles.bio-rad_laboratories_pty_ltd.d8b1d86cd71a75da13323f1e5a958565.html']","['rogerbot-crawler+aardwolf-production-crawler-34@moz.com', 'https://www.bio-rad.com/en-us/sku/4568083-4-15-mini-protean-tgx-stain-free-protein-gels-10-well-30-ul?ID=4568083']","['+61-299142800', 'https://www.dnb.com/business-directory/company-profiles.bio-rad_laboratories_pty_ltd.d8b1d86cd71a75da13323f1e5a958565.html']","['bio rad', 'rad', 'bio', 'mini-protean precast gels', 'protein gel selection guide', 'electrophoresis gels', 'polyacrylamide gel electrophoresis', 'bio-rad precast gels', 'other gels', 'mini-protean precast gel']","['Alice Schwartz', 'founder(s)', 'https://www.crunchbase.com/organization/bio-rad-laboratories']","[['BiotechnologyHealth CareHealth Diagnostics'], 'https://www.crunchbase.com/organization/bio-rad-laboratories']","['1952', 'https://www.crunchbase.com/organization/bio-rad-laboratories']","['$37.51 million USD', 'https://www.dnb.com/business-directory/company-profiles.bio-rad_laboratories_pty_ltd.d8b1d86cd71a75da13323f1e5a958565.html']",None,None,None,"['Public', 'https://www.crunchbase.com/organization/bio-rad-laboratories']",0.375,0.0,0.375,0.0,0.1875
Home - Springer,https://link.springer.com/,Providing researchers with access to millions of scientific documents from journals  books  series  protocols  reference works and proceedings.,link.springer,None,"['information@axelspringer.de', 'https://www.crunchbase.com/organization/axel-springer']","['+6185429 2012', 'https://link.springer.com/article/10.1007/s40544-019-0352-9']",None,"[['Dan Springer', 'CEO'], 'https://au.linkedin.com/in/dan-springer-08656119']","[['AdvertisingBrand MarketingDigital MediaMarketingNewsPublishingWeb Apps'], 'https://www.crunchbase.com/organization/axel-springer']","['1946', 'https://www.crunchbase.com/organization/axel-springer']",None,None,None,None,"['Delisted', 'https://www.crunchbase.com/organization/axel-springer']",0.5,0.25,0.375,0.0,0.28125
Inside Retail - Australia's premier source for retail news and ...,https://insideretail.com.au/,Breaking news  analysis and opinion on the world of retail in Australia and right across the Asia Pacific.,insideretail,"['PO Box R217, Royal Exchange, NSW 1225', 'https://insideretail.com.au/contact-us']",None,"['+612 9901 1800', 'https://insideretail.com.au/contact-us']","['retail stores', 'new stores', 'mortar retail stores', 'gu retail stores', 'same store sales', 'retail sales', 'online retail growth', 'australian businesses', 'new customers', 'retail workers']","[['Gregory Allan SCOTT', ' director'], 'https://opencorporates.com/companies/nz/938854']","[['NewsPublishingRetail'], 'https://www.crunchbase.com/organization/inside-retail']","['13 January 1999', 'https://opencorporates.com/companies/nz/938854']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/938854']",None,"['Private', 'https://www.crunchbase.com/organization/inside-retail']",0.25,0.75,0.0,0.0,0.25
