title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
ACEM - Home,https://acem.org.au/,The Australasian College for Emergency Medicine,acem,"['34 Jeffcott Street West Melbourne Vic 3003 Australia', 'https://acem.org.au/Content-Sources/Footer-Links/Contact-us']",None,"['+61 (3) 9320 0444', 'https://acem.org.au/Content-Sources/Advancing-Emergency-Medicine/Better-Outcomes-for-Patients/Mental-Health-in-the-Emergency-Department/Mental-Health-in-the-Emergency-Department-Consensu']","['acem acem', 'emergency medicine certificate acem', 'acem trainee', 'acem president dr simon judkins', 'emergency health care', 'acem president dr john bonning', 'acem cpd program', 'acem president', 'acem requirements', 'acem staff']","[['Peter White', 'CEO'], 'https://acem.org.au/News/November-2019/Term-begins-for-NZ%E2%80%99s-first-President-for-Australas']","['Education, Healthcare', 'from_classification_model']",None,"['$1.20 million USD', 'https://www.dnb.com/business-directory/company-profiles.acem_investments_limited.f8f1d07e8a3ac4acab2aa832a17c597d.html']",None,None,None,"['Limited\xa0Company Independent', 'https://www.dnb.com/business-directory/company-profiles.acem_investments_limited.f8f1d07e8a3ac4acab2aa832a17c597d.html']",0.625,0.25,0.0,0.0,0.21875
LearnUpon Learning Management System,https://www.learnupon.com/,LearnUpon LMS is a powerful  yet easy-to-use  Learning Management System. It helps you to deliver corporate training at scale. Schedule your demo today.,learnupon,None,"['sebastian.pain@learnupon.com', 'https://www.learnupon.com/blog/learnupon-best-lms-australia/']","['+61 283 111 209', 'https://www.learnupon.com/blog/learnupon-best-lms-australia/']","['training courses', 'free customer training courses', 'product training courses', 'common training courses', 'employee training lms', 'good customer training', 'formal online training courses', 'training content', 'great customer training', 'customer training programs']","[['Laura Wilson ', 'Customer Success Manager_LearnUpon ...'], 'from linkedin search google']","['IT - Software, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Squiz: Forward_ Faster,https://www.squiz.net/,,squiz.net,"['L1 435A Kent St Sydney, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.squiz_australia_pty_ltd.7770e618e038099daff35200b9febdf3.html']","['support@squiz.co.nz', 'https://www.squiz.net/contact']","['+64 4 805 0098', 'https://www.squiz.net/contact']","['student search experience', 'digital experience company squiz', 'student experience', 'global digital experience leader squiz', 'great digital experiences squiz love', 'customer experience', 'digital experiences', 'powerful student experiences', 'personalized student experiences', 'exceptional student experiences']","[['John-Paul Syriatowicz', 'CEO'], 'https://www.squiz.net/resources/blog/a-message-from-squizs-ceo,-john-paul-syriatowicz']","['IT - Software, Education', 'from_classification_model']","[' 8 October 1998', 'https://opencorporates.com/companies/au/084670600']","['$39.34 million USD', 'https://www.dnb.com/business-directory/company-profiles.squiz_australia_pty_ltd.7770e618e038099daff35200b9febdf3.html']",None,"['Australia', 'https://opencorporates.com/companies/au/084670600']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.squiz_australia_pty_ltd.7770e618e038099daff35200b9febdf3.html']",0.5,0.25,0.375,0.0,0.28125
Wiley Direct,https://www.wileydirect.com.au/,Official online store for students in Australia & New Zealand. All Wiley textbooks from just $65. Print and digital options available  etextbooks  WileyPLUS_Official online store for students in Australia & New Zealand. All Wiley textbooks from just $65. Print and digital options available  etextbooks  WileyPLUS_Cheaper. Faster. Smarter. Get affordable textbooks in just a couple of clicks.,wileydirect,"['Level 1/155 Cremorne St, Melbourne VIC 3121', ['Wiley Direct, address', 'knowledge_panel']]",None,None,"['course materials', 'victoria university', 'university', 'edition charles sturt university', 'monash university', 'victoria university bao3309', 'victoria university bao3306', 'victoria university asx1003', 'victoria university eec2102', 'open university australia']","[['Chris Gray', 'Managing_Director'], 'https://au.linkedin.com/in/chris-gray-aa497849']","['Education, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Meshed Group | Comprehensive Education Management ...,https://www.meshedgroup.com.au/,Meshed Group solutions are suited to any sized education providers or enterprises. Customisable  cloud-based  affordable and are continually evolving to meet the challenges of the Education Industry in Australia. Educational Enterprise Management Systems and Student Management Systems,meshedgroup,"['Suite  2 .02, 184 Bourke Road Alexandria NSW 2015', 'https://www.meshedgroup.com.au/contact/']","['enquiries@meshedgroup.com.au', 'https://www.meshedgroup.com.au/contact/']","['+61 2 8030 7150', 'https://www.meshedgroup.com.au/contact/']","['meshed group', 'meshed group client data', 'meshed group rtomanager platform', 'meshed group softwares', 'meshed group online learning solutions', 'meshed group applications', 'meshed group board', 'meshed solutions', 'meshed group platforms', 'meshed group clients']",None,"['IT - Software, Utilities', 'from_classification_model']",None,None,None,None,None,None,1.0,0.25,0.0,0.0,0.3125
CISaustralia,https://www.cisaustralia.com.au/,CISaustralia offers programs for Australian students in winter  summer ... or a combination – in almost any destination around the world  including Australia.,cisaustralia,"['Se 21 207 Currumburra Rd ASHMORE, QUEENSLAND, 4214 Australia', 'https://www.dnb.com/business-directory/company-profiles.centre_for_international_studies_pty_ltd.6db6c917ea7f0e19508ac704b1e762bc.html']","['info@cisaustralia.com.au', 'https://www.cisaustralia.com.au/website-terms-of-use/']","['+61 421 269 080', 'https://www.cisaustralia.com.au/health-and-safety/health-and-safety/']","['local students', 'included course activities', 'other students', 'cisaustralia students', 'other international students', 'language students', 'small student projects', 'many students', 'local vietnamese students', 'local khmer students']","[['Brad Dorahy', 'founder'], 'https://thepienews.com/pie-chat/brad-dorahy-founder-cisaustralia/']","['Education, Arts, entertainment and recreation', 'from_classification_model']",None,"['$1.62 million USD', 'https://www.dnb.com/business-directory/company-profiles.centre_for_international_studies_pty_ltd.6db6c917ea7f0e19508ac704b1e762bc.html']","['$0', 'None']",None,"['122', 'None']","['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.centre_for_international_studies_pty_ltd.6db6c917ea7f0e19508ac704b1e762bc.html']",0.0,0.25,0.375,0.0,0.15625
TechnologyOne - Global SaaS ERP Solution,https://technologyonecorp.com/,The TechnologyOne global SaaS ERP solution delivers the TechnologyOne enterprise suite as a service through the cloud to our customers.,technologyonecorp,"['Level 6, 420 St Kilda Road Melboune VIC 3004', 'https://technologyonecorp.com/company/contact-us']","['registrars@linkmarketservices.com.au', 'https://technologyonecorp.com/company/investors']","['+61 (8) 8373 8501', 'https://technologyonecorp.com/company/contact-us']","['technologyone solutions', 'technologyone onecouncil solution customer', 'technologyone saas', 'technologyone oneasset solution', 'existing technologyone systems', 'technologyone customer', 'technologyone’s onecouncil solution', 'existing technologyone software', 'technologyone asset management software', 'technologyone’s asset lifecycle management solution']","['Adrian Di Marco', 'founder(s)', 'https://www.crunchbase.com/organization/technology-one']","[['CRMEnterprise SoftwareInformation TechnologyInfrastructureSoftware'], 'https://www.crunchbase.com/organization/technology-one']","['1987', 'https://www.crunchbase.com/organization/technology-one']",None,None,"[' Brisbane, Queensland, Australia', 'https://www.crunchbase.com/organization/technology-one']",None,"['Public', 'https://www.crunchbase.com/organization/technology-one']",0.25,0.25,0.0,0.0,0.125
RTO Software,https://rtosoftware.com.au/,Genuine Service not just Software We dig deep to solve problems Optimise your college processes We go beyond simply delivering software Book Demo Enquire..._Software to Grow your RTO Business,rtosoftware,None,"['sales@rtosoftware.com.au', 'https://rtosoftware.com.au/contact-us/']","['+61 435 432 269', 'https://rtosoftware.com.au/contact-us/']","['student data', 'training students', 'student financial data', 'student files', 'student management systems', 'student services', 'student specific files', 'student documents', 'student admin', 'student records']",None,"['IT - Software, Real estate', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
SoNET Systems,https://sonet.com.au/,SoNET Systems is one of Australia's leading software development companies  providing clients with high quality SaaS software products and software ...,sonet,"['15 Gordon Street Cremorne, Victoria, 3121 Australia', 'https://app.avention.com/company/f2a5aea4-5b7f-38e5-b442-5caf29ed0036#report/company_summary']","['privacy@sonet.com.au', 'https://sonet.com.au/privacy-statement/']","['+61 3 8533 7700', 'https://sonet.com.au/privacy-statement/']","['specific service provider software functions', 'sonet systems assessment', 'specific employment services software solution', 'icase comprehensive employment services software', 'specialised service provider software functions', 'sonet systems assessment master services', 'sonet systems icase', 'industry specific employment services software solution', 'sonet systems pty ltd. sonet system', 'disability employment service providers']","[['Adam Legg', 'Director'], 'https://app.avention.com/company/f2a5aea4-5b7f-38e5-b442-5caf29ed0036#report/company_summary']","[['Enterprise SoftwareInformation TechnologySaaSSoftware'], 'https://www.crunchbase.com/organization/sonet-systems']","['1995', 'https://www.crunchbase.com/organization/sonet-systems']","['2.7M', 'https://app.avention.com/company/f2a5aea4-5b7f-38e5-b442-5caf29ed0036#report/company_summary']",None,"[' Cremorne, New South Wales, Australia', 'https://www.crunchbase.com/organization/sonet-systems']","['29', 'https://app.avention.com/company/f2a5aea4-5b7f-38e5-b442-5caf29ed0036#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/sonet-systems']",0.75,0.25,0.0,0.0,0.25
BEIMS: Facility Asset Management Software & Maintenance ...,http://www.beims.com/,May 2  2018 - BEIMS is Australia's premier facilities management software for powerful  flexible and easy to use solutions.,beims,"['Level  3 / 271 William Street, Melbourne VIC 3000', 'http://www.beims.com/collection-notice/']",None,"['+61 3 9672 6161', 'http://www.beims.com/contact-us/']","['personal information', 'personal information collection', 'unsolicited personal information', 'personal identifiable information', 'mercury computer systems personal information', 'non-personal information', 'information', 'more information', 'important information', 'certain information']","[['Garry Busowsky', 'founder'], 'https://prwire.com.au/pr/59088/zuuse-acquires-beims-fm-software-business']","[['ComputerSoftware'], 'https://www.crunchbase.com/organization/beims']","['1985', 'https://www.crunchbase.com/organization/beims']",None,None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/beims']",None,"['Private', 'https://www.crunchbase.com/organization/beims']",0.25,0.25,0.0,0.0,0.125
