search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Dental management software in australia or newzealand,Prime Practice,https://primepractice.com.au/,Prime Practice has grown to become a global dental consultancy that provides training and business solutions to the dental community across Australia  New ...,primepractice,"['Suite 1 59-75 Grafton Street Bondi Junction NSW 2022 Australia', 'https://primepractice.com.au/contact-us/']","['privacy@primepractice.com.au', 'https://primepractice.com.au/privacy-policy-2/']","['+61 2 8935 0699', 'https://primepractice.com.au/contact-us/']","['virtual practice training', 'dental practices', 'practice training', 'helping teams', 'practices', 'different team members', 'individual team members', 'dental specific practice solutions', 'practice plan', 'practice systems']","[['Anita Roubicek', 'CEO'], 'https://au.linkedin.com/in/anita-roubicek-40111218']","['Healthcare, Education', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Dental practice management software in australia or newzealand,Henry Schein: Investor Overview,http://investor.henryschein.com/,The Investor Relations website contains information about Henry Schein's business for stockholders  potential investors  and financial analysts.,investor.henryschein,None,"['nnmarie.gothard@henryschein.com', 'http://investor.henryschein.com/news-releases/news-release-details/henry-schein-opens-disaster-relief-fund-aid-relief-efforts']","['+614-2471937', 'http://investor.henryschein.com/node/12346/html']",None,None,"['Finance and insurance, IT - Software', 'from_classification_model']",None,"['$2.5B', 'https://www.owler.com/company/teleflex']","['$2.1M', 'https://www.owler.com/company/teleflex']",None,"['15,200', 'https://www.owler.com/company/teleflex']",None,0.0,0.25,0.0,0.0,0.0625
Software for dental laboratory in australia or newzealand,Sydney Australia Dental Lab | Crown & Bridge_ Acrylics ...,https://www.racedental.com.au/,Race Dental prides itself on industry leading adoption of new technology and the ongoing training and development of key people to efficiently deliver a full suite ...,racedental,"['20 -24 Crummer Road, Grey Lynn, Auckland 1021', 'https://www.racedental.com.au/services/account-management']","['images@racedental.com.au', 'https://www.racedental.com.au/news-archive/emax-tips']","['1300 722 352', ['Race Dental, phone', 'knowledge_panel']]","['race dental laboratory race dental', 'tindale dental race dental laboratory', 'race dental', 'flexibility race dental laboratory', 'matt@racedental.com.au race dental', 'race guard race guard', 'dental laboratory products', 'dental laboratory work', 'neodent implant package valplast mcantor@racedental.com.au race dental laboratory', 'race dental laboratory']","[['Brad Race', 'Managing_Director'], 'https://au.linkedin.com/in/brad-race-b135768']","['Healthcare, Services - professional, scientific, and technical', 'from_classification_model']","['12 June 1974', 'https://opencorporates.com/companies/au/001238633']","['$2.71 million USD', 'https://www.dnb.com/business-directory/company-profiles.osseo_dental_pty_ltd.e99cd058143af22318de0eb1e26a4a39.html']",None,"['Australia', 'https://opencorporates.com/companies/au/001238633']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.osseo_dental_pty_ltd.e99cd058143af22318de0eb1e26a4a39.html']",0.25,0.375,0.0,0.0,0.15625
Dental practice management system in australia or newzealand,Hindawi: Publishing Open Access research journals & papers,https://www.hindawi.com/,Maximizing the impact of research through openness. Because science works best when research is open.,hindawi,None,"['help@hindawi.com', 'https://www.hindawi.com/hindawi-xml-corpus/']",None,None,"[['Orion Hindawi', 'CEO'], 'https://www.crunchbase.com/person/orion-hindawi']","['Education, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Dental practice management software in australia or newzealand,Gensolve,https://www.gensolve.com/,Gensolve's Cloud based Practice Management Software for Australian Allied Health & Physiotherapy Professionals. Leading Clinic & Patient manager software ...,gensolve,"['Suite  3 8 Denna Street Maroochy Waters Professional Centre Queensland 4558', 'https://www.gensolve.com']","['gpms.sales@gensolve.com', 'https://www.gensolve.com']","['+64 0800 436765', 'https://www.gensolve.com']","['gensolve practice management software', 'gensolve practice manager', 'gensolve practice management', 'outdated practice management software', 'traditional practice management software', 'gensolve practice', 'gensolve practice manager users', 'gensolve customers', 'better gensolve practice manager', 'feb gensolve practice manager']","[[""Brenton Henderson Brenton's"", 'founder'], 'https://www.gensolve.co.uk/about']","['IT - Software, Finance and insurance', 'from_classification_model']","['27 November 2007', 'https://opencorporates.com/companies/nz/2064025']","['$1.35 million USD', 'https://www.dnb.com/business-directory/company-profiles.darfield_physiotherapy_limited.b032d2cb6db2e814365ddb2c386773ff.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/2064025']",None,"['Limited\xa0Company Independent', 'https://www.dnb.com/business-directory/company-profiles.darfield_physiotherapy_limited.b032d2cb6db2e814365ddb2c386773ff.html']",0.25,0.25,0.0,0.0,0.125
Software for dental laboratory in australia or newzealand,Proslab Dental Laboratory Melbourne - Full Service Inhouse ...,http://www.proslab.com.au/,via phone (03) 8809 0500 or email bookings@proslab.com.au. As valued clients  we are here to support you with any concerns or questions you have regarding ...,proslab,"['Suite 104, Level 1,  313 Canterbury Road, Canterbury Vic 3126', 'http://www.proslab.com.au/myrewards.shtml']","['bookings@proslab.com.au', 'http://www.proslab.com.au/index.shtml']","['+61 3 9830 5722', 'http://www.proslab.com.au/contact-us.shtml']","['proslab dental', 'proslab dental laboratory', 'proslab dental lab', 'proslab dental laborotory', 'selecting proslab dental', 'australian first proslab videos testimonials proslab intro snap', 'proslab intro', 'free proslab', 'proslab guarantee', 'now proslab']","[['Damian Synefias', 'CEO'], 'https://amtil.com.au/proslab-ensures-absolute-accuracy-with-additive-manufacturing/']","['Services - professional, scientific, and technical, Healthcare', 'from_classification_model']","[' 7 November 2003', 'https://opencorporates.com/companies/au/106968343']","['$5.20 million USD', 'https://www.dnb.com/business-directory/company-profiles.proslab_dental_laboratory_pty_ltd.dc970cd861b3efab.html']",None,"['Australia', 'https://opencorporates.com/companies/au/106968343']",None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.proslab_dental_laboratory_pty_ltd.dc970cd861b3efab.html']",0.625,0.25,0.375,0.0,0.3125
Software for dental laboratory in australia or newzealand,eDen Education: Online Dental Education & Courses,https://www.e-deneducation.com/,Kris E Schermerhorn  Certified Dental Technician  USA. Kris's experience in the dental laboratory industry began as a youth working in his fathers dental ...,e-deneducation,"['174 FAIRFIELD STREET FAIRFIELD EAST, NEW SOUTH WALES, 2165 Australia', 'https://www.dnb.com/business-directory/company-profiles.aziz_dental_practice_pty_ltd.00ac87245cb100f15f30370754476a29.html']","['kristine@kristineberry.com', 'https://www.e-deneducation.com/courses/dental-education-contributors/kristine-berry-rdh-evillage-editorial-director/']","['+61432 973 664', ['eDen Dental Education, phone', 'knowledge_panel']]","['dental cpd', 'dental technician education', 'dental cpd education', 'dental education', 'dental health', 'dental cpd education providers', 'dental professionals', 'dental cpd education webinars', 'dental prosthetist', 'ongoing dental education courses']","[['SABAH AZIZ', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.aziz_dental_practice_pty_ltd.00ac87245cb100f15f30370754476a29.html']","['Healthcare, Services - professional, scientific, and technical', 'from_classification_model']",None,"['$997,880 USD', 'https://www.dnb.com/business-directory/company-profiles.aziz_dental_practice_pty_ltd.00ac87245cb100f15f30370754476a29.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.aziz_dental_practice_pty_ltd.00ac87245cb100f15f30370754476a29.html']",0.0,0.0,0.0,0.0,0.0
Software for dental laboratory in australia or newzealand,Omega Ceramics | Dental Laboratory_ Melbourne,https://www.omegaceramics.com.au/,ALL-ON-4™. ALL-ON-4™ Lab team Australia. The amazing ALL-ON-4™ Total Oral rehabilitations and immediate loading for your patients is only possible with ...,omegaceramics,"['161 Walker St, North Sydney NSW 2060', 'http://www.omegaceramics.com.au/page/events-2/dsd-australian-workshop-official-dsd-certified-digital-2-day-hands-on-workshop-dsd-module-one-pre-adx-course/']","['warrenroberts@dccnet.com', 'http://www.omegaceramics.com.au/page/events-2/dental-ed-october-26th-dr-warren-roberts-the-therapeutic-benefits-of-botox-in-dentistry/']","['+61 3 9826 3459', 'https://www.omegaceramics.com.au/page/omega-ceramics/contact-us/']","['dental ceramics', 'dental implants', 'omega ceramics dental laboratory smile design', 'omega ceramics dental lab', 'omega ceramics dental laboratory implant team', 'omega ceramics dental lab-', 'omega ceramics dental laboratory', 'dental laboratory', 'dental digital photography', 'omega ceramics dental lab- oratory']","[['Russell Young', 'CEO'], 'https://au.linkedin.com/in/russell-young-0316913b']","['Healthcare, Services - professional, scientific, and technical', 'from_classification_model']","['1982', 'https://www.owler.com/company/omegapower']","['$25M', 'https://www.owler.com/company/omegapower']","['$0', 'https://www.owler.com/company/omegapower']",None,"['129', 'https://www.owler.com/company/omegapower']",None,0.25,0.25,0.0,0.0,0.125
Dental practice management platform in australia or newzealand,Carestream Dental,http://www.carestreamdental.com.au/,Carestream Dental Pty Ltd Suite 703  Level 7  18-20 Orion Road Lane Cove West NSW 2066. Australia. Welcome to the Carestream Dental Support Website.,carestreamdental,None,None,"['1800 223 603', ['Carestream Dental Pty Ltd, phone', 'knowledge_panel']]",None,"[['David Westgate', 'CEO'], 'https://www.carestream.com/en/us/newsandevents/news-releases/2018/david-westgate-named-chairman-president-and-ceo-of-carestream-health']","['Services - professional, scientific, and technical, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Dental practice management system in australia or newzealand,Dental Tribune USA,https://us.dental-tribune.com/,Dental news  webinars  events  courses  products and marketplace.,dental-tribune,None,"['academy@osseo.org', 'https://us.dental-tribune.com/news/ao-provides-additional-insight-behind-cancellation-of-its-35th-annual-meeting-in-seattle/']","['+642-32066761', 'https://eu.dental-tribune.com/c/garrison-dental-solutions-italy/video/improve-your-matrix-band-placement-with-this-quick-tip/']","['dental health month benco dental', 'convergent dental solea dental laser', 'dental health', 'oral health care dental services', 'dental care', 'dental companies', 'dental health care leaders', 'american dental association', 'dental practices', 'dental health professionals']","[['Karen Houghton ', 'Practice Solutions Manager ..._LinkedIn'], 'from linkedin search google']","['IT - Software, Healthcare', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
