title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Home - Emirates Leisure Retail (ELR) | The Emirates Group,https://www.emiratesleisureretail.com/,Subsidiary of the high-profile Emirates Group  Emirates Leisure Retail are industry leading operators of over 300 restaurants  cafes and bars globally.,emiratesleisureretail,"['L 2 187 TODD ROAD PORT MELBOURNE, VICTORIA, 3207 Australia', 'https://www.dnb.com/business-directory/company-profiles.emirates_leisure_retail_(australia)_pty_ltd.edbe27841dd3acad.html']","['info@theentertainerme.com', 'https://www.crunchbase.com/organization/the-entertainer']","['+61 3 8631 7700', 'https://www.emiratesleisureretail.com/australia/']","['mike emirates leisure retail', 'emirates leisure retail singapore', 'brisbane emirates leisure retail terms', 'flavours emirates leisure retail', 'emirates leisure retail daily', 'footer costa coffee instagram feed emirates leisure retail australia', 'copyright emirates leisure retail singapore', 'wolfgang puck emirates leisure retail', 'barossa valley emirates leisure retail australia', 'emirates leisure retail']","[['Ashley Bottrell ', 'Head Of Finance_Emirates Leisure Retail ...'], 'None']","[['BeautyFitnessFood and BeverageHotelLeisureRetailTourismTravel'], 'https://www.crunchbase.com/organization/the-entertainer']","['2001', 'https://www.crunchbase.com/organization/the-entertainer']","['$46.19 million USD', 'https://www.dnb.com/business-directory/company-profiles.emirates_leisure_retail_(australia)_pty_ltd.edbe27841dd3acad.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/6519812']",None,"['Private', 'https://www.crunchbase.com/organization/the-entertainer']",0.375,0.25,0.25,0.0,0.21875
BIG4 Holiday Parks | Official Booking Site | Book Direct and ...,https://www.big4.com.au/,With parks right across Australia  explore and book today. Accommodation includes holiday cabins  units  motorhomes  caravan and camping sites.,big4,"['L 2 SE 2 313 BURWOOD ROAD HAWTHORN, VICTORIA, 3122 Australia', 'https://www.dnb.com/business-directory/company-profiles.big4_holdings_limited.d4a87452f47b35eeff4fae96a0113c23.html']","['requests@thevillageloxton.com.au', 'https://www.big4.com.au/caravan-parks/sa/riverland/loxton-riverfront-holiday-park/whats-local/the-village-historic-loxton-56b26d962cbcbe7073ae5d2f']","['+61 3 9811 9300', 'https://www.big4.com.au/contact-us']","['big4 holiday parks', 'big4 holiday park', 'big4 holiday', 'big4 parks', 'big4 holiday perks', 'big4 park', 'big4 holiday park locations', 'big4 holiday perks member', 'big4 holiday perks+', 'big4 holiday park reservations']","[['Steven Wright', 'CEO'], 'https://www.resortbrokers.com.au/learn/blog/steven-wright-building-business-growth-with-a-big-heart.html']","[['Financial ServicesMining'], 'https://www.crunchbase.com/organization/shinewing-australia']","['Jan 1, 1935', 'https://www.crunchbase.com/organization/shinewing-australia']","['$4.95 million USD', 'https://www.dnb.com/business-directory/company-profiles.big4_holdings_limited.d4a87452f47b35eeff4fae96a0113c23.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/shinewing-australia']",0.75,0.25,0.75,0.0,0.4375
Smart Sourcing Solutions for Your Business | Converga ...,https://www.converga.com.au/,_When you increase efficiency and lower costs  you gain the freedom to focus on your core business and reach your goals. This is process innovation.,converga,"['5 Talavera Road Macquarie Park NSW 2113', 'https://www.converga.com.au/privacy-policy']","['enquiries@converga.com.au', 'https://www.crunchbase.com/organization/converga']","['1300 557 672', 'https://www.crunchbase.com/organization/converga']","['business processes', 'business process automation', 'business process efficiencies', 'core business processes', 'various business processes', 'predefined business processes', 'modest business process', 'quality business service', 'emerging business process technologies', 'non-core business processes']","[['Luke Clark', 'CEO'], 'https://www.converga.com.au/converga-overview/executive-leadership-team']","[['Document ManagementOutsourcing'], 'https://www.crunchbase.com/organization/converga']","['Jan 1, 1994', 'https://www.crunchbase.com/organization/converga']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/1473328']",None,"['Private', 'https://www.crunchbase.com/organization/converga']",0.625,0.25,0.0,0.0,0.21875
Privacy Policy - Apex Car Rentals New Zealand,https://www.apexrentals.co.nz/rental-info/privacy-policy,,apexrentals,"['Tower B L 1 201 Coward St Mascot, NEW SOUTH WALES, 2020 Australia', 'https://www.dnb.com/business-directory/company-profiles.apex_car_rentals_pty_ltd.b2cc0cca44f17786b9b562590e25db29.html']","['enquiries@apexrentals.co.nz', 'https://www.crunchbase.com/organization/apex-car-rentals']","['+61-296935426', 'https://www.dnb.com/business-directory/company-profiles.apex_car_rentals_pty_ltd.b2cc0cca44f17786b9b562590e25db29.html']",None,"[['Ricki Shaw', 'CEO'], 'https://nz.linkedin.com/in/rickishaw']","[['AutomotiveHospitality'], 'https://www.crunchbase.com/organization/apex-car-rentals']","['1995', 'https://www.crunchbase.com/organization/apex-car-rentals']","['$69.36 million USD', 'https://www.dnb.com/business-directory/company-profiles.apex_car_rentals_pty_ltd.b2cc0cca44f17786b9b562590e25db29.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1775342']",None,"['Private', 'https://www.crunchbase.com/organization/apex-car-rentals']",0.0,0.0,0.375,0.0,0.09375
School Stream: School App for iPhone_ Android_ iPad mobile,https://www.schoolstream.com.au/,School App delivers your information  instantly and directly to parents and students on their mobile device. Easy to manage  quick to setup school app._School Stream is a mobile app designed to deliver school information  instantly and directly  to parents and students on their mobile devices.,schoolstream,"['Suite  4 , 17 Lawson Street Byron Bay, NSW 2481 Australia', 'https://www.schoolstream.com.au/']","['enquiries@schoolstream.com.au', 'https://www.crunchbase.com/organization/school-stream']","['+612 8074 5633', 'https://www.schoolstream.com.au/increase-parent-engagement-posting-content-specific-categories/']","['school stream app', 'school stream can complement', 'schools', 'school communications', 'school communities', 'other schools', 'school communication apps', 'school information', 'supporting schools', 'school principals']","['Leigh Rolfe', 'founder(s)', 'https://www.crunchbase.com/organization/school-stream']","[['Communications InfrastructureEducationMobile'], 'https://www.crunchbase.com/organization/school-stream']","['Sep 2013', 'https://www.crunchbase.com/organization/school-stream']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/school-stream']",0.25,0.25,0.0,0.0,0.125
We are WSP | WSP,https://www.wsp.com/,WSP is one of the world's leading professional services firms. We provide technical expertise and strategic advice to clients in the Transportation & Infrastructure  ...,wsp,"['L27 680 George St Sydney, New South Wales, 2000 Australia ', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']","['unsubscribecanada@wsp.com', 'https://www.wsp.com/en-US/legal/anti-spam-commitment']","['+647-776-8246', 'https://www.wsp.com/fr-GL/investisseurs/informations-boursieres/analystes']","['wsp projects', 'de wsp', 'wsp systems', 'wsp clients', 'key wsp projects', 'wsp service warranty', 'wsp offices', 'wsp experts', 'wsp usa', 'wsp global']","[['Guy Templeton', 'CEO'], 'https://www.crunchbase.com/person/guy-templeton']","['Architecture and Engineering', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']","['26 March 1997', 'https://opencorporates.com/companies/au/078004798']","['465M', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']",None,"['Australia', 'https://opencorporates.com/companies/au/078004798']","['3k', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']","['Private Subsidiary, Headquarters', 'https://app.avention.com/company/2d2c780b-d714-302d-940a-3be7de76422d#report/company_summary']",0.0,0.25,0.375,0.0,0.15625
Garmin | Australia | Home,https://www.garmin.com/en-AU/,Delivering innovative GPS technology across a variety of areas in outdoor  marine  aviation  automotive and fitness markets.,buy.garmin,"['PO Box 684 Seven Hills, NSW 1730 Australia', 'https://www.garmin.com/en-AU/legal/consumer-warranty-repairs/']",None,"['+61-288826100', 'https://www.dnb.com/business-directory/company-profiles.garmin_pty_ltd.eea0bc249cd0f89b75191c274b888db0.html']","['de la part de garmin', 'de garmin', 'garmin mobile et garmin express', 'ou des activités de garmin', 'site garmin de', 'web de garmin', 'utilisateurs de garmin', 'votre expérience de garmin', 'garmin et', 'des sites web de garmin']","['Gary Burrell', 'founder(s)', 'https://www.crunchbase.com/organization/garmin']","[['Consumer ElectronicsHardwareManufacturingSoftwareWearables'], 'https://www.crunchbase.com/organization/garmin']","['1989', 'https://www.crunchbase.com/organization/garmin']","['$760,018 USD', 'https://www.dnb.com/business-directory/company-profiles.garmin_pty_ltd.eea0bc249cd0f89b75191c274b888db0.html']",None,None,None,"['Public', 'https://www.crunchbase.com/organization/garmin']",0.25,0.0,0.0,0.0,0.0625
William Buck,https://www.williambuck.com/,William Buck is a leading firm of Chartered Accountants & advisors with offices across Australia & New Zealand. Find out how we change lives & grow businesses today.,williambuck,"['Level  21 307\xa0Queen Street Brisbane QLD 4000 GPO Box 563 Brisbane QLD 4001', 'https://www.williambuck.com/nz/aboutus/about-queensland/']","['sa.privacy@williambuck.com', 'https://www.williambuck.com/credit-reporting-policy/']","['+61 8 6436 2889', 'https://www.williambuck.com/aboutus/about-western-australia/']","['business clients', 'businesses', 'small business tax concessions', 'new business', 'tax effective business structuring', 'business experience', 'business advisory services', 'other business processes', 'business issues', 'many businesses']","[['Andrew Barlow', 'Managing_Director'], 'https://www.williambuck.com/rising-star-appointed-as-director-at-william-buck/']","[['ConsultingFinancial ServicesInsuranceLegal'], 'https://www.crunchbase.com/organization/william-buck']","[' 3 June 1998', 'https://opencorporates.com/companies/nz/907183']","['$21.10 million USD', 'https://www.dnb.com/business-directory/company-profiles.william_buck_(nsw)_pty_limited.a0f41d5156a38435.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/907183']",None,"['Private', 'https://www.crunchbase.com/organization/william-buck']",0.625,0.25,0.0,0.0,0.21875
MAX Solutions.: Employment_ disability and training service ...,https://www.maxsolutions.com.au/,We work with people across Australia  people with different backgrounds and life experiences. We believe everyone has the right to respect  understanding and ...,maxsolutions,"['555 660  Post: 4/107 Miles Platting Road, Eight Mile Plains, QLD 4113', 'https://www.maxsolutions.com.au/privacy']","['support@maxsolutions.com.au', 'https://www.maxsolutions.com.au/domestic-violence-what-can-your-workplace-do']","['1300 307 418', 'https://www.maxsolutions.com.au/advice-businesses-and-employers-covid-19']","['new jobs', 'other industry jobs', 'employee job satisfaction', 'local jobs', 'available jobs', 'many jobs', 'potential jobs', 'job opportunities', 'job interviews', 'other job boards']","[['Deborah Homewood', 'Managing_Director'], 'https://au.linkedin.com/in/deborah-homewood-a059b110']","['Education, Healthcare', 'from_classification_model']","[' 8 November 1994', 'https://opencorporates.com/companies/au/067092737']",None,None,"['Australia', 'https://opencorporates.com/companies/au/067092737']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/067092737']",0.25,0.25,0.0,0.0,0.125
TomTom | Home,https://www.tomtom.com/,Location technology for automakers  enterprises  developers and drivers.,tomtom,None,"['egal@tomtom.com', 'https://www.tomtom.com/en_au/legal/terms-and-conditions/']","['1300 135 604', 'https://www.tomtom.com/en_au/sports/fitness-trackers/fitness-tracker-touch/black-large/']","['tomtom tomtom runner', 'tomtom runner tomtom autonomous product suite', 'tomtom services', 'tomtom traffic', 'tomtom sports', 'tomtom touch', 'conditions tomtom', 'tomtom content services', 'tomtom website', 'a. tomtom']","['Otto Ruys', 'founder(s)', 'https://www.crunchbase.com/organization/tomtom-taxi']","[['Navigation'], 'https://www.crunchbase.com/organization/tomtom-taxi']","['Sep 1, 2011', 'https://www.crunchbase.com/organization/tomtom-taxi']",None,"['$0', 'None']","['New Zealand', 'https://opencorporates.com/companies/nz/1032271']","['740', 'None']","['Private', 'https://www.crunchbase.com/organization/tomtom-taxi']",0.0,0.25,0.0,0.0,0.0625
