title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
MultiLit: Home,https://multilit.com/,Providing effective literacy instruction grounded in scientific evidence-based practice Order Programs & Products Calendar PD Workshops Register for PD Workshops About MultiLit MultiLit Pty Ltd (Making Up Lost Time In Literacy) is a leading provider of effective literacy instruction in Australasia. Our programs are uniquely placed to be effective because they are all grounded in … Home Read More »,multilit,"['Level  3 Luxottica Building 75 Talavera Road, Macquarie Park NSW 2113 AUSTRALIA', 'https://customer.multilit.com/refunds-returns/']","['emily.garlan@multilit.com', 'https://multilit.com/programs/expand-your-library-of-initialit-readers/']","['+61 2 9886 6622', 'https://multilit.com/contact/']","['multilit multilit', 'multilit literacy centres multilit', 'multilit literacy', 'contact multilit multilit book level initialit', 'multilit literacy centre', 'multilit student', 'multilit literacy centres website places', 'multilit school holiday program', 'multilit literacy programs', 'multilit literacy centres']","[['Professor Kevin Wheldall', 'CEO'], 'https://multilit.com/about/']","['Education, Healthcare', 'from_classification_model']","[' 2 July 2020', 'https://opencorporates.com/companies/au/642297130']",None,None,"['Australia', 'https://opencorporates.com/companies/au/642297130']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/642297130']",0.625,0.25,0.0,0.0,0.21875
Donesafe - the # 1 Compliance and Safety Software,https://donesafe.com/,Donesafe will help you comply with regulations  protect people and assets  streamline business processes and foster a culture of environmental  health and ...,donesafe,"['4 /37-69 Union Street Pyrmont NSW Australia', 'https://donesafe.com/contact-us/']","['hello@donesafe.com', 'https://www.crunchbase.com/organization/donesafe']","['1300 137 408', 'https://donesafe.com/partner-and-reseller-agreement/']","['safety management solutions donesafe', 'safety management systems', 'many safety management software systems', 'safety management', 'safety management solutions', 'workplace safety management', 'safety management platform', 'donesafe try donesafe', 'online safety management software company', 'breed safety management software']","[['Matt Browne', 'founder'], 'https://donesafe.com/2018/08/we-are-the-most-innovative-cloud-based-product-awarded-by-aba100/']","[['ComplianceEnterprise SoftwareSaaSSoftware'], 'https://www.crunchbase.com/organization/donesafe']","['2013', 'https://www.crunchbase.com/organization/donesafe']","['5.4M', 'https://app.avention.com/company/318aa46f-4ac3-308d-a21f-f5c0383b9856#report/company_summary']",None,"[' Pyrmont, New South Wales, Australia', 'https://www.crunchbase.com/organization/donesafe']","['6', 'https://app.avention.com/company/318aa46f-4ac3-308d-a21f-f5c0383b9856#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/donesafe']",0.75,0.375,0.5625,0.0,0.421875
JP Graphics: Commercial Printing Services,https://jp-graphics.com/,We are a commercial print company offering the best in trade show graphics  prepress  digital printing  offset printing  event signage printing and graphic design assistance.,jp-graphics,None,"['info@jp-graphics.com', 'https://jp-graphics.com/promo-of-the-month/']",None,"['jp graphics jp graphics', 'jp graphics jp graphics prints', 'jp graphics xerox', 'ca jp graphics', 'contact jp graphics', 'press helps jp graphics', 'payment jp graphics', 'jp graphics installs', 'jpgraphicsispink\u202c jp graphics', 'jp graphics mask']","[['Joan Escover', 'CEO'], 'https://www.linkedin.com/in/joanescover']","['Manufacturing, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Efficient Safety and Risk Management | Beakon Software,https://beakon.com.au/,info@beakon.com.au ... Hello and welcome to Beakon! ... a clear and customizable interface  and cloud based software  Beakon is one of the most sophisticated ...,beakon,"['Level  8 , 2-14 Kings Cross Road,\xa0Potts Point, Sydney NSW 2011', 'https://beakon.com.au/contact-advanced-software/']","['info@beakon.com.au', 'https://www.crunchbase.com/organization/beakon']","['+612 9113 5946', 'https://beakon.com.au/contact-advanced-software/']","['management system software safety management system software', 'safety management system software', 'systems good incident management software', 'management system software', 'risk management systems', 'management system contractor management system spreadsheets', 'good incident management software', 'many incident management software', 'leading incident management software', 'safety management systems']","[['Sam Davies', 'Managing_Director'], 'https://au.linkedin.com/in/samdavies']","[['Information TechnologySoftware'], 'https://www.crunchbase.com/organization/beakon']","['Jan 1, 2006', 'https://www.crunchbase.com/organization/beakon']","['2.3M', 'https://app.avention.com/company/1301e4b6-8b26-3d72-81bf-4378f2041173#report/company_summary']",None,"[' Potts Point, New South Wales, Australia', 'https://www.crunchbase.com/organization/beakon']","['10', 'https://app.avention.com/company/1301e4b6-8b26-3d72-81bf-4378f2041173#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/beakon']",1.0,0.25,0.75,0.0,0.5
Open Learning,https://www.openlearning.com/,OpenLearning is a social online learning and MOOC platform that allows universities  colleges and educators to create  design  deliver  market online and blended courses.,openlearning,"['Level  2 235-239 Commonwealth Street Surry Hills, NSW 2010', 'https://www.openlearning.com/contact/']",None,"['+612 8294 9686', 'https://www.openlearning.com/contact/']",None,"[['Adam Brimo', 'CEO'], 'https://au.linkedin.com/in/adambrimo']","['Education, IT - Software', 'from_classification_model']","['30 August 2019', 'https://opencorporates.com/companies/au/635890390']","['$8.25 million USD', 'https://www.dnb.com/business-directory/company-profiles.open_learning_global_pty_ltd.cb413581532e0e0d27e6c4ae147cd1c6.html']",None,"['Australia', 'https://opencorporates.com/companies/au/635890390']",None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.open_learning_global_pty_ltd.cb413581532e0e0d27e6c4ae147cd1c6.html']",0.5,0.25,0.375,0.0,0.28125
crc for spatial information_ mapping_ location_ data_ people,https://www.crcsi.com.au/,"_The aim of the CRC for Spatial Information is to bring together multiple organisations – currently nine research partners  10 international partners  12 government agencies  and 43 members from the private sector – from Australia  New Zealand and around the globe who have interest and understanding in spatial information.

This collaborative group builds funding  expertise and commercialisation opportunities into novel and foundation spatial research. 

Our research community are global leaders in spatial information – in science  technology  collaboration and academic excellence. Our science is user-led with a focus on application as an outcome. Our technology is open sourced and collaborative in its practice. And our investment in post graduate education (currently 35 students) fosters skills and expertise in the future of global spatial activities.
",crcsi,"['Door 34 Goods Shed Village St Docklands, VICTORIA, 3008 Australia', 'https://www.dnb.com/business-directory/company-profiles.spatial_information_systems_research_ltd.82d6a88dd38c947802740fd67602eb1a.html']","['info@crcsi.com.au', 'https://www.crcsi.com.au/privacy-policy/']","['+61 3 8344 8125', 'https://www.crcsi.com.au/sbas/contacts/']","['crcsi role data processing crcsi', 'previous crcsi projects', 'crcsi feature extraction project tools', 'crcsi impact', 'crcsi', 'crcsi partners', 'crcsi agencies', 'crcsi activities', 'crcsi researchers', 'crcsi ceo']","[['Graeme Kernich', 'CEO'], 'https://frontiersi.com.au/welcome-from-your-new-ceo/']","['Finance and insurance, IT - Software', 'from_classification_model']",None,"['$2.11 million USD', 'https://www.dnb.com/business-directory/company-profiles.spatial_information_systems_research_ltd.82d6a88dd38c947802740fd67602eb1a.html']",None,None,None,"['Public\xa0Limited\xa0Company Independent', 'https://www.dnb.com/business-directory/company-profiles.spatial_information_systems_research_ltd.82d6a88dd38c947802740fd67602eb1a.html']",0.0,0.25,0.375,0.0,0.15625
Safety Navigator,https://www.safetynavigator.com.au/,Real time reports & Risk Rating shows compliance status. Safety Navigator Resources. Full suite of online WHS forms and tools.,safetynavigator,"['PO Box 2913 Taren Point, NSW 2229', 'https://www.safetynavigator.com.au/Service-Providers/Security-Systems-and-Personnel.aspx']","['db@icucameras.com.au', 'https://www.safetynavigator.com.au/Service-Providers/Security-Systems-and-Personnel.aspx']","['+61 2 8241 5688', 'https://www.safetynavigator.com.au/default.aspx?d=1975184']","['safety navigator', 'safety navigator site', 'safety navigator modules', 'safety navigator lite', 'safety navigator system access product', 'safety navigator member', 'a. safety navigator', 'b. safety navigator', 'safety navigator cannot', 'safety queensland']",None,"['IT - Software, Services - professional, scientific, and technical', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
hr3,https://www.hr3.com.au/,,hr3,"['LEVEL 3 850 COLLINS STREET DOCKLANDS, VICTORIA, 3008 Australia', 'https://www.dnb.com/business-directory/company-profiles.hr3_pty_ltd.7efe6b91d138cd75.html']","['hr3learning@hr3.com.au', 'https://www.hr3.com.au/product/data-explorer-cross-tab-analyser/']","['+61 466 774 512', 'https://www.hr3.com.au/ready-tech-for-the-future-of-work/']","['hr3 employee management software', 'hr3 payroll software', 'employee management software', 'hr3 payroll', 'hr3 software', 'hr3 software applications', 'people management software', 'management software', 'employee management', 'core payroll software']","[['MICHAEL ANTHONY BENYON', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.hr3_pty_ltd.7efe6b91d138cd75.html']","['IT - Software, Finance and insurance', 'from_classification_model']",None,"['$56.83 million USD', 'https://www.dnb.com/business-directory/company-profiles.hr3_pty_ltd.7efe6b91d138cd75.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.hr3_pty_ltd.7efe6b91d138cd75.html']",0.375,0.25,0.75,0.0,0.34375
Jims Bookkeeping: Home,https://jimsbookkeeping.com.au/,,jimsbookkeeping,"['123 SOMERVILLE ROAD HORNSBY HEIGHTS, NEW SOUTH WALES, 2077 Australia', 'https://www.dnb.com/business-directory/company-profiles.jims_bookkeeping.1504c5167ee7eaccde00e5a83a9718d6.html']",None,"['+61-294771129', 'https://www.dnb.com/business-directory/company-profiles.jims_bookkeeping.1504c5167ee7eaccde00e5a83a9718d6.html']","['bookkeeping bookkeeping franchisors', 'jim’s bookkeeping', 'bookkeeping hawksburn jim', 'business information', 'business owners', 'small businesses', 'bookkeeping australia divisional franchisor bookkeeping', 'business experience', 'small business owners', 'bookkeeping regional franchisor tasmania jim']","[['ALANTODD', 'Owner'], 'https://www.dnb.com/business-directory/company-profiles.jims_bookkeeping.1504c5167ee7eaccde00e5a83a9718d6.html']","['Finance and insurance, Manufacturing', 'from_classification_model']",None,"['$309,025 USD', 'https://www.dnb.com/business-directory/company-profiles.jims_bookkeeping.1504c5167ee7eaccde00e5a83a9718d6.html']",None,None,None,"['Sole\xa0Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.jims_bookkeeping.1504c5167ee7eaccde00e5a83a9718d6.html']",0.0,0.0,0.0,0.0,0.0
GLOBAL SCHOLARSHIP 2017-2018-2019,https://www.global-scholarship.com/,Global-Scholarship.com is helping thousands of students get their scholarship to study abroad._Scholarship Finder_Global-Scholarship.com is helping thousands of students get their scholarship to study abroad.,global-scholarship,"['PO Box 600 Wellington 6140 New Zealand', 'https://www.global-scholarship.com/annual-fund-postgraduate-scholarships-at-kingston-university-uk/']",None,"['+64 9 9039619', 'https://www.global-scholarship.com/kau-postgraduate-scholarships-for-international-students-male-only/']","['university student', 'student positions', 'fulbright indigenous scholarship student worker student', 'graduate scholarship students', 'chinese language faculty positions international student scholarship', 'newcastle university scholarship', 'ibisworld university scholarship', 'scholarship website phd position', 'international student postgraduate scholarship', 'phd student scholarships']","[['DAVID SLESSAR', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_governor_phillip_scholarship_trust.992521197e76e502613e7e6ec7adee86.html']","['Education, Arts, entertainment and recreation', 'from_classification_model']",None,"['$145,811 USD', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_governor_phillip_scholarship_trust.992521197e76e502613e7e6ec7adee86.html']",None,None,None,"['Independent', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_governor_phillip_scholarship_trust.992521197e76e502613e7e6ec7adee86.html']",0.25,0.25,0.0,0.0,0.125
