title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Metrohm AG: Swiss-quality products for chemical analysis,https://www.metrohm.com/,Metrohm AG is a leading provider of instruments and know-how for chemical analysis in the lab and in the process  specializing in titration  ion chromatography  ...,metrohm,"['U 11 56 Buffalo Rd Gladesville, New South Wales, 2111 Australia ', 'https://app.avention.com/company/e5ececcf-5da4-353c-9178-5ebd57cc13ee#report/company_summary']","['ronja.rhyner@metrohm.com', 'https://www.metrohm.com/en/company/careers-and-jobs-metrohm/']","['+6102) 8899 5200', ['Metrohm Australia, phone', 'knowledge_panel']]","['derecha de la ventana de ejecución de la serie de muestras', 'de separación de la columna de separación', 'recipiente de muestra de vidrio de', 'la constante de célula de mi célula de medida de la conductividad', 'inferior derecha de la ventana de ejecución de la serie de muestras', 'de técnicas de preparación de muestras para', 'de base de', 'la constante de célula de la célula de medida de la conductividad que', 'de medida de la conductividad', 'de la botella de reactivo con el interruptor de sifón']","[['Andy Matthews', 'CEO'], 'https://au.linkedin.com/in/andy-matthews-9a420012']","['Machinery Wholesale', 'https://app.avention.com/company/e5ececcf-5da4-353c-9178-5ebd57cc13ee#report/company_summary']","['18 November 1998', 'https://opencorporates.com/companies/nz/932054']","['23M', 'https://app.avention.com/company/e5ececcf-5da4-353c-9178-5ebd57cc13ee#report/company_summary']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/932054']","['50', 'https://app.avention.com/company/e5ececcf-5da4-353c-9178-5ebd57cc13ee#report/company_summary']","['Private Parent, Headquarters', 'https://app.avention.com/company/e5ececcf-5da4-353c-9178-5ebd57cc13ee#report/company_summary']",0.0,0.0,0.5,0.0,0.125
Swisslog Homepage: Leading Partner for Logistics ...,https://www.swisslog.com/,We shape the future of intralogistics by introducing a new era of robotic  data-driven and flexible automated solutions that create exceptional value for you.,swisslog,"['7/10 Herb Elliott Ave, Sydney Olympic Park NSW 2127', ['Swisslog Australia Pty Ltd, address', 'knowledge_panel']]","['info@katana1.com', 'https://www.crunchbase.com/organization/katana1']","['1300 856 151', 'https://www.crunchbase.com/organization/katana1']","['swisslog material handling systems', 'other small load storage systems pallet storage systems', 'automated warehouse systems', 'swisslog acpaq palletizing solution', 'warehouse zones swisslog', 'pallet storage system', 'system tailored solutions', 'automated storage shuttle systems', 'autostore system certificate swisslog dortmund', 'other swisslog']","[['Andreas Kurt KUEFFER', ' director'], 'https://opencorporates.com/companies/nz/1745681']","[['Big Data'], 'https://www.crunchbase.com/organization/katana1']","['Apr 2011', 'https://www.crunchbase.com/organization/katana1']","['$38.85 million USD', 'https://www.dnb.com/business-directory/company-profiles.swisslog_australia_pty_limited.85c309693dd5f339431b2371eaef57a5.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1745681']",None,"['Private', 'https://www.crunchbase.com/organization/katana1']",0.375,0.0,0.1875,0.0,0.140625
Home - Tonsley,https://tonsley.com.au/,Hello World,tonsley,"['PO Box 463 Oaklands Park SA 5046', 'https://tonsley.com.au/our-community/opce/']","['info@da.com.au', 'https://www.crunchbase.com/organization/data-action-australia']","['+61 8 8201 5029', 'https://tonsley.com.au/our-community/medical-device-research-institute/']","['tonsley sa', 'tonsley businesses', 'tonsley energy scheme', 'tonsley tafe sa', 'tonsley facility', 'south australia open business', 'south australia', 'delivering tonsley', 'flinders @ tonsley', 'tonsley tafe sa applications']","[['Brett Jackson ', 'Executive Chairman & Co_Founder ...'], 'from linkedin search google']","[['BankingFinancial ServicesInformation Technology'], 'https://www.crunchbase.com/organization/data-action-australia']","['1986', 'https://www.crunchbase.com/organization/data-action-australia']",None,None,"['Australia', 'https://opencorporates.com/companies/au/626480411']",None,"['Private', 'https://www.crunchbase.com/organization/data-action-australia']",0.25,0.25,0.0,0.0,0.125
ECS EXPRESS Australia: Industrial Electrical and Automation ...,https://express-au.ecsnz.com/en/,ECS EXPRESS Australia is a leading supplier of Industrial Electrical Cable Cut to length & Automation products throughout Australasia.,express-au.ecsnz,"[""U 15 37-41 O'Riordan St Alexandria, NEW SOUTH WALES, 2015 Australia"", 'https://www.dnb.com/business-directory/company-profiles.kintetsu_world_express_%28australia%29_pty_ltd.b28a0861715367cc474f749a87ee3d25.html']","['admin@corporateexpress.com.au', 'https://www.crunchbase.com/organization/corporate-express-australia']","['1800 931 559', ['LAPP Australia, phone', 'knowledge_panel']]","['cables', 'electrical cables', 'core cables', 'control cable', 'array cables', 'plastic cable ties', 'instrumentation cables', 'vsd cables', 'fitting cables', 'cable damage']","[['TAKESHI KAMADA', 'Managing Director'], 'https://www.dnb.com/business-directory/company-profiles.kintetsu_world_express_%28australia%29_pty_ltd.b28a0861715367cc474f749a87ee3d25.html']","[['Information Technology'], 'https://www.crunchbase.com/organization/corporate-express-australia']","['1988', 'https://www.crunchbase.com/organization/corporate-express-australia']","['$13.69 million USD', 'https://www.dnb.com/business-directory/company-profiles.kintetsu_world_express_%28australia%29_pty_ltd.b28a0861715367cc474f749a87ee3d25.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/corporate-express-australia']",0.0,0.375,0.0,0.0,0.09375
DT Partners: Home,https://dtpartners.com.au/,What we do We are the exclusive distributor of the zenon and Helinks STS products in Australia and New Zealand. We and our partners can facilitate the modernisation of your automation and control systems as well as integrate with other digital systems. ZENON AUTOMATION SOFTWARE PLATFORM HELINKS STS ENGINEERING TOOL ENGINEERING AND TRAINING SERVICES Our ... Read More,dtpartners,"['97 159 535 814  75 Kylie Avenue Ferny Hills 4055 QLD Australia', 'https://dtpartners.com.au/privacy/']","['support@dtpartners.com.au', 'https://dtpartners.com.au/enquiry-form/']","['+61 448 277 465', 'https://dtpartners.com.au/privacy/']","['automation products', 'substation automation products', 'automation solutions', 'developed control system solutions', 'new integrated systems', 'new technology solutions', 'zenon product training', 'new product versions', 'zenon products', 'rapid automation solutions']","[['Pascal Schaub ', 'Managing Director_DT Partners ...'], 'from linkedin search google']","['IT - Software, Services - professional, scientific, and technical', 'from_classification_model']","['18 July 2012', 'https://opencorporates.com/companies/au/159535814']",None,None,"['Australia', 'https://opencorporates.com/companies/au/159535814']",None,"['Australian Proprietary Company, Limited By Shares', 'https://opencorporates.com/companies/au/159535814']",0.25,0.25,0.0,0.0,0.125
Cin7 | Connected Inventory Management System,https://www.cin7.com/,Cin7 is a fully integrated  cloud-based inventory management software and POS system that streamlines stock management across multiple channels and locations.,cin7,"['Level  12 , 7 City Road Grafton, Auckland 1010 New Zealand', 'https://www.cin7.com/legal/privacy-policy/']","['ougl@cin7.com', 'https://www.cin7.com/newsroom/press-releases/cin7-automation-bots-give-valuable-time-back-to-product-businesses/']","['+61 (2) 8074 2988', 'https://www.cin7.com/']","['cin7 inventory management software', 'cin7 customers', 'cin7 product specialists', 'inventory management software product', 'other cin7 accounts', 'customer orders', 'cin7 account', 'cin7 inventory management', 'cin7 platform', 'cin7 users']","[['Founder Danny Ing', 'founder'], 'https://www.cin7.com/blog/cin7/cin7-partner-bootcamp-lands-in-australia/']","['IT - Software, Finance and insurance', 'from_classification_model']","['26 August 2019', 'https://opencorporates.com/companies/nz/7691457']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/7691457']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/7691457']",1.0,0.25,0.0,0.0,0.3125
Bosch Rexroth. WE MOVE. YOU WIN. | Bosch Rexroth,https://www.boschrexroth.com/,Safe  efficient  intelligent and powerful solutions for factory automation  mobile applications  machinery applications and engineering. Benefit now!,boschrexroth,"['U 1-3 21-23 NAWEENA ROAD REGENCY PARK, SOUTH AUSTRALIA, 5010 Australia', 'https://www.dnb.com/business-directory/company-profiles.bosch_rexroth_pty_ltd.fb78709cad2fab9e79bfd64b8fa4cf6a.html']","['dcfr.hse@boschrexroth.fr', 'https://www.boschrexroth.com/fr/fr/home/certificates']","['+61411 65-1111', 'https://www.boschrexroth.com/nl/nl/']","['de livraison et de', 'la durée de vie de la', 'de bosch rexroth', 'de durée de vie et', 'la durée de vie de la machine', 'de livraison et de support', 'de la vie de votre entraînement', 'de sens de charge', 'capacité de charge de', 'de changement de format']","[['DENNIS BRINE', 'Branch Manager'], 'https://www.dnb.com/business-directory/company-profiles.bosch_rexroth_pty_ltd.fb78709cad2fab9e79bfd64b8fa4cf6a.html']","['Manufacturing, IT - Software', 'from_classification_model']","['30 November 1982', 'https://opencorporates.com/companies/nz/115967']","['$616,540 USD', 'https://www.dnb.com/business-directory/company-profiles.bosch_rexroth_pty_ltd.fb78709cad2fab9e79bfd64b8fa4cf6a.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/115967']",None,"['Branch', 'https://www.dnb.com/business-directory/company-profiles.bosch_rexroth_pty_ltd.fb78709cad2fab9e79bfd64b8fa4cf6a.html']",0.0,0.25,0.0,0.0,0.0625
FIREMATE - Fire Protection Maintenance Software,https://www.firemate.com.au/,FireMate – the best and easiest asset management system specifically built for ... FireMate has been designed and developed in Australia to assist fire protection ...,firemate,"['Se 59 2 Benson St Toowong, QUEENSLAND, 4066 Australia', 'https://www.dnb.com/business-directory/company-profiles.firemate_software_pty_ltd.f4b8c697ca1790d0c77a6ece05e0bb9a.html']","['demo@firemate.com.au', 'https://www.crunchbase.com/organization/firemate']","['+617 3107 1694', 'https://www.crunchbase.com/organization/firemate']","['firemate a. firemate', 'firemate mobile release new firemate mobile app preview firemate mobile date', 'firemate mobile release new firemate mobile', 'firemate fire protection software', 'firemate software', 'firemate support', 'firemate q.', 'firemate mobile', 'a. firemate', 'firemate desktop']","[['Rob Thomas', 'Managing_Director'], 'https://au.linkedin.com/in/rob-thomas-60a6a251']","[['Software'], 'https://www.crunchbase.com/organization/firemate']","['21 July 2020', 'https://opencorporates.com/companies/nz/8041996']","['$1.82 million USD', 'https://www.dnb.com/business-directory/company-profiles.firemate_software_pty_ltd.f4b8c697ca1790d0c77a6ece05e0bb9a.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/8041996']",None,"['Private', 'https://www.crunchbase.com/organization/firemate']",0.0,0.375,0.375,0.0,0.1875
RML | Production Automation Innovation,https://www.rmlnz.com/,,rmlnz,"['66 Norris Avenue Hamilton, WAIKATO New Zealand', 'https://www.dnb.com/business-directory/company-profiles.rml_automation_limited.410bddb05e2a08e4.html']","['service@rmlnz.com', 'https://www.rmlnz.com/contact/']","['+64 7 849 3215', 'https://www.rmlnz.com/contact/']","['machinery automation solutions', 'building innovative machinery solutions', 'rml', 'production systems', 'rml leaders', 'production times', 'production line capabilities', 'skilled machinery maintenance', 'high hygiene production area', 'production industries']","[['Daryl Peter JOYCE', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.rml_automation_limited.410bddb05e2a08e4.html']","['Manufacturing, Construction', 'from_classification_model']","['19 March 2007', 'https://opencorporates.com/companies/nz/1918425']","['$8.32 million USD', 'https://www.dnb.com/business-directory/company-profiles.rml_automation_limited.410bddb05e2a08e4.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1918425']",None,"['Limited\xa0Company Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.rml_automation_limited.410bddb05e2a08e4.html']",0.75,0.25,0.0,0.0,0.25
Quora: Home,https://www.quora.com/,Quora is a place to gain and share knowledge. It's a platform to ask questions and connect with people who contribute unique insights and quality answers.,quora,"['PO BOX 19 BARHAM, NEW SOUTH WALES, 2732 Australia', 'https://www.dnb.com/business-directory/company-profiles.quora_pty_ltd.43e9f73cef26294687e65586863f7339.html']","['press@quora.com', 'https://www.quora.com/press']","['+61-354531427', 'https://www.dnb.com/business-directory/company-profiles.quora_pty_ltd.43e9f73cef26294687e65586863f7339.html']","['quora platform', 'quora', 'quora cookie id', 'other information', 'quora pixels', 'quora ads', 'such information', 'activity quora', 'inc. quora', 'quora terms']","[['KEITH MCDOUGALL', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.quora_pty_ltd.43e9f73cef26294687e65586863f7339.html']","['IT - Software, Finance and insurance', 'from_classification_model']","['21 August 2020', 'https://opencorporates.com/companies/au/643698300']","['$213,379 USD', 'https://www.dnb.com/business-directory/company-profiles.quora_pty_ltd.43e9f73cef26294687e65586863f7339.html']",None,"['Australia', 'https://opencorporates.com/companies/au/643698300']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.quora_pty_ltd.43e9f73cef26294687e65586863f7339.html']",0.0,0.0,0.0,0.0,0.0
