title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Jemena: Bringing energy to life,https://jemena.com.au/,,jemena,"['L 16 567 Collins St Melbourne, VICTORIA, 3000 Australia', 'https://www.dnb.com/business-directory/company-profiles.jemena_limited.307444030f3c191e1e547d300cfe32b5.html']","['pipelines.commercial@jemena.com.au', 'https://dev.jemena.com.au/industry/pipelines/eastern-gas-pipeline']","['1800 620 492', 'https://jemena.com.au/contact-us']",None,"[['Frank Tudor', 'Managing_Director'], 'https://jemena.com.au/about/newsroom/article/2018/new-managing-director-commences']","[['Electrical DistributionEnergyInfrastructureTransportationWater'], 'https://www.crunchbase.com/organization/jemena']","['2007', 'https://www.crunchbase.com/organization/jemena']","['$80.18 million USD', 'https://www.dnb.com/business-directory/company-profiles.jemena_limited.307444030f3c191e1e547d300cfe32b5.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/561051']",None,"['Private', 'https://www.crunchbase.com/organization/jemena']",0.375,0.25,0.375,0.0,0.25
Medtech Global,https://medtechglobal.com/,Medtech Global provides software solutions for the healthcare environment enabling health professionals to efficiently manage their patients.,medtechglobal,"['L2 99 Coventry St Southbank, VICTORIA, 3006 Australia', 'https://www.dnb.com/business-directory/company-profiles.medtech_global_pty_ltd.ce450cf06d92af319f88364a2c958a49.html']","['trainingau@medtechglobal.com', 'https://medtechglobal.com/au/support-au/upcoming-events-au/']","['+64 9 358 1123', 'https://medtechglobal.com/global/contact-us-global/']","['medtech services medtech', 'contact medtech medtech', 'mbs update medtech cloud', 'medtech helpdesk medtech global hiservice release notes', 'rmfs update medtech customer', 'services medtech', 'other medtech products', 'medtech evolution', 'update medtech customer support', 'medtech software']","[['ROBERT JAMES RADCLIFFE-SMITH', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.medtech_global_pty_ltd.ce450cf06d92af319f88364a2c958a49.html']","['IT - Software, Healthcare', 'from_classification_model']","[' 3 November 1986', 'https://opencorporates.com/companies/au/009203203']","['$15.67 million USD', 'https://www.dnb.com/business-directory/company-profiles.medtech_global_pty_ltd.ce450cf06d92af319f88364a2c958a49.html']","['$0', 'None']","['Australia', 'https://opencorporates.com/companies/au/009203203']","['508', 'None']","['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.medtech_global_pty_ltd.ce450cf06d92af319f88364a2c958a49.html']",0.375,0.25,0.0,0.0,0.15625
Oxford Academic Journals - Oxford University Press,https://academic.oup.com/journals,Access OUP content focused on these important topics. Resources for... lightbulbs · Authors.,academic.oup,None,None,None,None,"[['Anthony Teo ', 'Regional Sales Manager_Oxford ...'], 'from linkedin search google']","['Agriculture, Utilities', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Basuki Harijadi – More and More,https://basukiharijadi.com/,,basukiharijadi,None,None,None,None,None,"['Arts, entertainment and recreation, Education', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
SmallCapInsider: Profiling ASX-listed Small-Cap Companies,https://www.smallcapinsider.com.au/,Profiling ASX-listed small caps. Access in-depth profiles on Australia's small cap companies. Explore companies... Actionable Information. We synthesise ...,smallcapinsider,"['2 Park Street  ""Citigroup Centre""  Sydney, NSW 2000', 'https://www.smallcapinsider.com.au/contact']",None,"['1300 131 551', 'https://www.smallcapinsider.com.au/terms']","['blackstone minerals ltd asx cannabis shares', 'kingston resources asx', 'blackstone minerals ltd', 'asx cannabis shares', 'asx stocks', 'misima blackstone minerals ltd', 'kingston resources asx announcement', 'wa blackstone minerals ltd', 'pacifico minerals ltd', 'asx gold']",None,"['Manufacturing, Arts, entertainment and recreation', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
MedicalDirector,https://www.medicaldirector.com/,Enabling ideal healthcare through intuitive software solutions. At MedicalDirector  we believe technology can enable better patient care. By equipping your people and practice with intuitive software solutions in the cloud  together we can enhance clinical decision-making  patient experience and health outcomes. Discover the cloud Find out how we Enable Ideal Healthcare Mental health for doctors…,medicaldirector,"['Level  5 / 477 Pitt Street, Haymarket, NSW 2000', 'https://www.medicaldirector.com/terms-of-use']","['marketing@medicaldirector.com', 'https://www.crunchbase.com/organization/medical-director']","['+612 9467 6119', 'https://www.medicaldirector.com/terms-of-use']","['mental health care', 'better patient care', 'mental health care treatment', 'more health information', 'specialist patient care', 'health care professionals', 'more patient health outcomes', 'rural health care', 'indigenous health care', 'valuable patient time']","[['David Cooper ', 'MedicalDirector_LinkedIn'], 'None']","[['DatabaseMedicalSoftware'], 'https://www.crunchbase.com/organization/medical-director']","['12 September 2018', 'https://opencorporates.com/companies/nz/7031773']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/7031773']",None,"['Private', 'https://www.crunchbase.com/organization/medical-director']",0.625,0.25,0.375,0.0,0.3125
Medicine Today,https://medicinetoday.com.au/,Medicine Today - leading medical journal for Australian doctors. Fully peer-reviewed  original clinical articles keeping GPs up to-date with best practice.,medicinetoday,"['Suite  3 , 134 Military Road Neutral Bay, NSW, 2089 Australia', 'https://medicinetoday.com.au/multi-user-online-terms']","['info@medicinetoday.com.au', 'https://medicinetoday.com.au/privacy-policy']","['+612 9908 8577', 'https://medicinetoday.com.au/subscribe?destination=2015/january/regular-series/update-medical-management-prostate-cancer']","['medicine today online', 'endocrinology today', 'cardiology today', 'prostate cancer medicine', 'other terms', 'recent articles', 'medicine today dermatology collection recurrent painful intertriginous nodules hippocrates', 'medicine today', 'travel medicine', '© medicine']","[['ANTHONY SCOTT', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.medical_communications_pty_ltd.cbfc3efb4041d98cdb15a936d1515090.html']","['Healthcare, Agriculture', 'from_classification_model']",None,"['$457,759 USD', 'https://www.dnb.com/business-directory/company-profiles.medical_communications_pty_ltd.cbfc3efb4041d98cdb15a936d1515090.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.medical_communications_pty_ltd.cbfc3efb4041d98cdb15a936d1515090.html']",1.0,0.25,0.0,0.0,0.3125
Healthcare Australia: Home,https://healthcareaustralia.com.au/,We're Australia's leading health care recruiter  helping you to find the opportunity that's the right fit for you,healthcareaustralia,"['L 22 201 Elizabeth St Sydney, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.healthcare_australia_pty_ltd.1f3b94acb9e4481cfa6eef698d1c7a90.html']","['hr@healthcareaustralia.com.au', 'https://www.crunchbase.com/organization/healthcare-australia']","['+64 (0) 9 601 9260', 'https://www.healthcareaustralia.com.au/jobseekers/nursing-doctor-jobs-in-new-south-wales/work-for-western-nsw/']","['hca healthcare australia', 'hca south australia', 'australia hca doctors', 'hca western australia', 'australia hca defence posts', 'healthcare australia', 'healthcare professionals healthcare australia', 'healthcare australia victoria', 'healthcare australia brisbane', 'healthcare australia defence']","[['JASON THOMAS CARTWRIGHT', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.healthcare_australia_pty_ltd.1f3b94acb9e4481cfa6eef698d1c7a90.html']","[['Health CareHuman ResourcesMedical'], 'https://www.crunchbase.com/organization/healthcare-australia']","['1972', 'https://www.crunchbase.com/organization/healthcare-australia']","['$240.26 million USD', 'https://www.dnb.com/business-directory/company-profiles.healthcare_australia_pty_ltd.1f3b94acb9e4481cfa6eef698d1c7a90.html']",None,"['Australia', 'https://opencorporates.com/companies/au/000071278']",None,"['Private', 'https://www.crunchbase.com/organization/healthcare-australia']",0.375,0.25,0.0,0.0,0.15625
Everything Overseas,https://www.everythingoverseas.com/,,everythingoverseas,"['44 Church St, Ryde NSW 2112', ['Young Life Australia, address', 'knowledge_panel']]","['info@everythingoverseas.com', 'https://www.everythingoverseas.com/contact/']",None,"['uk property prices', 'property prices', 'property market', 'london property prices', 'low property prices', 'increased property prices', 'property price growth', 'local property prices', 'foreign property prices', 'french property prices']","[['Leila Naja Hibri', 'CEO'], 'https://umenco.com/a-conversation-with-leila-naja-hibri-ceo-of-the-australian-fashion-council/']","['Real estate, Finance and insurance', 'from_classification_model']","['12 April 2012', 'https://opencorporates.com/companies/au/155802707']",None,None,"['Australia', 'https://opencorporates.com/companies/au/155802707']",None,"['Foreign Company (Overseas)', 'https://opencorporates.com/companies/au/155802707']",0.0,0.0,0.0,0.0,0.0
Sonic HealthPlus,https://www.sonichealthplus.com.au/,Australia's first choice for corporate and community health solutions.,sonichealthplus,"['Level  1 12 Furzer Street  Phillip, Canberra ACT 2606', 'https://www.sonichealthplus.com.au/locations/canberra']","['arker@ipn.com.au', 'https://www.sonichealthplus.com.au/careers/locum-opportunities']","['1800 020 080', 'https://www.sonichealthplus.com.au/health-hub/item/covid-19']","['sonic healthplus services', 'current sonic healthplus services', 'sonic healthplus clinics', 'shp sonic healthplus', 'occupational health services', 'shp services sonic healthplus tullamarine', 'spirometry services sonic healthplus', 'existing sonic healthplus clinics', 'health services', 'sonic healthplus hobart']","[['Greg Hutchinson', 'CEO'], 'https://www.sonichealthplus.com.au/about-us/key-people/national-managers']","['Healthcare, Services - professional, scientific, and technical', 'from_classification_model']",None,"['$4.24 billion USD', 'https://www.dnb.com/business-directory/company-profiles.sonic_healthplus_pty_ltd.6b5994c370b2205f.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.sonic_healthplus_pty_ltd.6b5994c370b2205f.html']",0.25,0.25,0.375,0.0,0.21875
