title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Mr. Fothergill's,https://www.mrfothergills.com.au/,,mrfothergills,"['92 003 688 588 15B Walker Street, South Windsor NSW 2756 AUSTRALIA', 'https://www.mrfothergills.com.au/seeds-flower/wildflower-seeds.html']","['hello@fothergills.com.au', 'https://www.mrfothergills.com.au/privacy-policy']","['0800 663 740', 'https://www.mrfothergills.com.au/privacy-policy']","['flower seeds', 'seed range', 'autumn flower seeds', 'spring flower seeds', 'seed varieties', 'sow seed', 'vegetable seeds', 'hybrid seed varieties', 'hybrid seed', 'herb seeds']","[['Tina SHUR', ' director'], 'https://opencorporates.com/companies/nz/5503184']","['Manufacturing, Arts, entertainment and recreation', 'from_classification_model']","['18 November 2014', 'https://opencorporates.com/companies/nz/5503184']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/5503184']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/5503184']",1.0,0.25,0.0,0.0,0.3125
Raising Children Network,https://raisingchildren.net.au/,raisingchildren.net.au provides ad-free parenting videos  articles and apps backed by Australian experts. Read more · Pregnancy · Newborns.,raisingchildren.net.au,"['Level  5 , 232 Victoria Parade East Melbourne, Victoria 3002 Australia', 'https://raisingchildren.net.au/legal/privacy']",None,"['+61-407839298', 'https://app.avention.com/company/1c939b09-902d-3760-aa51-b5115ed7780b#report/company_summary']","['autistic children', 'children', 'children professionals', 'child development', 'support children', 'other interventions', 'intervention programs', 'individual children', 'young autistic children', 'typical children']","['Alexander Badran', 'founder(s)', 'https://www.crunchbase.com/organization/spriggy']","[['AppsE-LearningMobile'], 'https://www.crunchbase.com/organization/spriggy']","['2015', 'https://www.crunchbase.com/organization/spriggy']","['402k', 'https://app.avention.com/company/1c939b09-902d-3760-aa51-b5115ed7780b#report/company_summary']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/spriggy']","['4', 'https://app.avention.com/company/1c939b09-902d-3760-aa51-b5115ed7780b#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/spriggy']",1.0,0.0,0.0,0.0,0.25
Inside Franchise Business: Franchise business opportunities ...,https://www.franchisebusiness.com.au/,Inside Franchise Business is the leading source of franchise brands  independent advice  market trends and news. Search thousands of opportunities today!,franchisebusiness,"['Level  3 , 51-57 Pitt St Sydney, 2000 NSW Australia', 'https://www.franchisebusiness.com.au/inside-franchise-business-about-us/']","['david.strong@octomedia.com.au', 'https://www.franchisebusiness.com.au/advertise-with-us/']","['+61-2-9901 1800', 'https://www.franchisebusiness.com.au/inside-franchise-business-about-us/']","['such ifb', 'new business opportunities', 'most other courier franchise businesses', 'ifb', 'franchise opportunities', 'new franchises', 'business opportunities', 'available franchise opportunities', 'great business opportunities', 'law ifb']","[['Andre GUICHON', ' director'], 'https://opencorporates.com/companies/nz/1835390']","[['Media and Entertainment'], 'https://www.crunchbase.com/organization/cirrus-media-franchise-business']","[' 4 July 2006', 'https://opencorporates.com/companies/nz/1835390']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/1835390']",None,"['Private', 'https://www.crunchbase.com/organization/cirrus-media-franchise-business']",0.625,0.25,0.0,0.0,0.21875
Personalised Gifts | Bright Star Kids | Kids Gifts | Kids Gift Shop,https://www.brightstarkids.com.au/,Bright Star Kids. The Home of Quality Name Labels  School Supplies  Personalised Gifts for Kids & Room Decor. Fast & Free Delivery.,brightstarkids,"['3 Sylvester Ave, Unanderra NSW 2526', ['Bright Star Kids, address', 'knowledge_panel']]",None,"['+61-280046473', 'https://www.dnb.com/business-directory/company-profiles.bright_star_kids_pty_ltd.4d39116a31df21dd.html']",None,"[['NIGEL COOPER', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.bright_star_kids_pty_ltd.4d39116a31df21dd.html']","['Manufacturing, Education', 'from_classification_model']","['27 June 2005', 'https://opencorporates.com/companies/au/114980880']","['$3.88 million USD', 'https://www.dnb.com/business-directory/company-profiles.bright_star_kids_pty_ltd.4d39116a31df21dd.html']",None,"['Australia', 'https://opencorporates.com/companies/au/114980880']",None,"['Proprietorship Parent', 'https://www.dnb.com/business-directory/company-profiles.bright_star_kids_pty_ltd.4d39116a31df21dd.html']",0.375,0.0,0.0,0.0,0.09375
Scholastic Australia: Home,https://www.scholastic.com.au/,Scholastic has been the market leader of Australian children’s publishing for over 50 years  bringing the joy of reading to multiple generations of Australian families. Scholastic operates on a unique model  proudly partnering with both Australian schools and major retailers. You can find Scholastic products in Book Club  Book Fairs  the classroom  and retail chains and independent booksellers. Scholastic believes that all children should have regular access to quality  affordable books that they have chosen for themselves. Reading ignites a spark of adventure that a child can carry within their heart well into their adult life. Scholastic hopes to light this spark within every child.,scholastic,"['17 Production Drive, Campbellfield, VIC 3061', 'https://www.scholastic.com.au/about-scholastic/contact-us/']","['customer_service@scholastic.com.au', 'https://www.crunchbase.com/organization/scholastic-australia']","['+61419 228 858', 'https://www.scholastic.com.au/about-scholastic/territory-managers/']","['scholastic australia books', 'australian children', 'children', 'books', 'own children', 'new books', 'young children', 'scholastic books', 'fewer children', 'quality books']","[['David Peagram', 'CEO'], 'http://www.pittstreetmall.com.au/shop/scholastic.html']","[['EducationPublishing'], 'https://www.crunchbase.com/organization/scholastic-australia']","['1968', 'https://www.crunchbase.com/organization/scholastic-australia']","['$77.63 million USD', 'https://www.dnb.com/business-directory/company-profiles.scholastic_australia_pty_limited.1a26b3713e57f7daab96c33557fb8552.html']",None,"['Australia', 'https://opencorporates.com/companies/au/000614577']",None,"['Private', 'https://www.crunchbase.com/organization/scholastic-australia']",0.25,0.25,0.75,0.0,0.3125
INNOWOOD,https://innowood.com/,INNOWOOD - specializes in manufacturing composite wood materials and solution provider for composite timber cladding  screening  ceiling  flooring  railing,innowood,"['1029 – 1035 Ballarat Rd Deer Park VIC 3023', 'https://innowood.com/recycling-policy/']",None,"['+612 9630 8388', 'https://innowood.com/innoscreen-2/']","['innowood product systems', 'innowood innowood', 'composite timber products', 'different innowood products', 'selected innowood products', 'product systems', 'architectural timber products', 'composite wood product solutions', 'innowood pre-finished product', 'innoclad composite wood products']","[['John Kozlowski', 'founder'], 'https://au.linkedin.com/company/innowood-australia-pty-ltd']","['Manufacturing, Construction', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
BabyDonkie | Kids Decor & Wooden Toys Australia | Open ...,https://babydonkie.com.au/,A gorgeous and stylish collection of baby & children’s clothing  décor and toys with a focus on organic  fair trade and ethically made labels.,babydonkie,"['PO Box 3002 , West Lindfield, NSW 2070 Australia', 'https://babydonkie.com.au/pages/t-cs']","['hello@wispri.com.au', 'https://www.crunchbase.com/organization/wispri']",None,"['jellycat bashful blush bunny medium jellycat bashful silver bunny medium', 'soft toy', 'jellycat bashful biscuit bunny medium olli', 'piece set expansion pack', 'jellycat bashful cream bunny medium', 'connetix marble run pieces', 'other toys', 'bashful truffle bunny medium jellycat', 'australian toy standards', 'toys']","['Abhiram Sampath', 'founder(s)', 'https://www.crunchbase.com/organization/wispri']","[['E-Commerce Platforms'], 'https://www.crunchbase.com/organization/wispri']","['2020', 'https://www.crunchbase.com/organization/wispri']",None,None,"['Australia', 'https://opencorporates.com/companies/au/114980880']",None,"['Private', 'https://www.crunchbase.com/organization/wispri']",0.25,0.0,0.0,0.0,0.0625
JISA Softech Pvt Ltd – Creating Secured Ecosystem,https://www.jisasoftech.com/,,jisasoftech,"['2/35 Scammel St, Campbellfield VIC 3061', ['Satguru Motors, address', 'knowledge_panel']]","['support@jisasoftech.com', 'https://www.jisasoftech.com/']",None,"['data encryption', 'data security module', 'aadhaar data vault solution', 'sensitive data', 'credit card data', 'sensitive customer data', 'customer data', 'sensitive personal data', 'data protection', 'encrypted data']",None,"['IT - Software, Finance and insurance', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Britax,https://www.britax.com.au/,Britax is the #1 brand in safety technology leading the way in innovative car seats  baby capsules  strollers and travel systems.,britax,"['5119 Garden City VIC 3207 Australia', 'https://www.britax.com.au/service-support/contact-information/']",None,"['1300 303 330', ['Britax Childcare PTY Ltd., phone', 'knowledge_panel']]","['car seats', 'correct car seat installation', 'single stroller seat', 'growing children', 'children', 'car seat base', 'convertible car seat', 'front seat passenger comfort', 'multiple car seat configuration', 'older child']","[['David Jackson', 'CEO'], 'http://www.toyhobbyretailer.com.au/news/david-jackson-named-as-new-funtastic-ceo']","[['AutomotiveManufacturing'], 'https://www.crunchbase.com/organization/britax']","['1938', 'https://www.crunchbase.com/organization/britax']","['$60.10 million USD', 'https://www.dnb.com/business-directory/company-profiles.britax_childcare_pty_ltd.e86491b77c684984.html']",None,"['Australia', 'https://opencorporates.com/companies/au/006773600']",None,"['Private', 'https://www.crunchbase.com/organization/britax']",0.25,0.375,0.375,0.0,0.25
EveEco Baby 100% Natural Rubber Baby Products,https://www.eveecobaby.com.au/,Specialising in natural  non-toxic  safe baby products such as teethers  bath toys and bath mats  designed in Australia. Our products are made from 100% natural rubber and have been designed in Australia to meet the needs of you baby and child.,eveecobaby,None,"['info@eveecobaby.com.au', 'https://www.eveecobaby.com.au/pages/privacy']",None,"['natural rubber bath mat', 'natural rubber bath toys', 'eveeco baby bath mats', 'natural rubber', 'eveeco baby bath toys', 'natural rubber teethers', 'natural products', 'eveeco baby products', 'natural rubber latex', 'info@eveecobaby.com.au eveeco baby products']",None,"['Manufacturing, Arts, entertainment and recreation', 'from_classification_model']","['2007', 'None']","['$37.9M', 'None']","['$0', 'None']","['Dandenong South Victoria, AU', 'None']","['617', 'None']",None,0.0,0.0,0.0,0.0,0.0
