title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Freeman Media,https://www.freemanmedia.co.nz/,,freemanmedia,None,None,"['+64 21 477 572', 'https://www.freemanmedia.co.nz/publication/energy-news']","['new zealand energy sector organisations', 'new zealand energy sector news', 'new zealand energy', 'new zealand', 'new zealand organisations', 'new zealand energy infrastructure map', 'new zealand mining', 'new zealand energy excellence awards', 'energy sector information', 'new zealand judo']","[['Matt Freeman ', 'Managing Director_Freeman'], 'from linkedin search google']","['Mining, oil and gas, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Energy Solution Providers (ESP) - The Energy Efficiency Experts,https://www.espnz.co.nz/,We implement energy management across large portfolios &amp; sites. Delivering real  significant  long term cost and energy reductions._We implement energy management across large portfolios & sites. Delivering real  significant  long term cost and energy reductions.,espnz,"['7 -11 Dixon Street Wellington 6011', 'https://www.espnz.co.nz/news/webinar-data-to-action-monday-21st-oct-4/']","['jeremy.allen@espnz.co.nz', 'https://www.espnz.co.nz/news/webinar-key-issues-getting-commercial-buildings/']","['+64 27 4301547', 'https://www.espnz.co.nz/news/strategic-partnership-by-two-kiwi-family/']","['energy data', 'auckland energy data company', 'energy reduction company esp', 'energy data management company esp chief executive', 'esp energy cost reduction service', 'reduced energy use', 'amps data esp', 'new zealand energy management', 'energy cost savings', 'energy cost']",None,"[['Fantasy SportsJournalismMedia and EntertainmentSportsTVVideo Streaming'], 'https://www.crunchbase.com/organization/espn']","['Sep 7, 1979', 'https://www.crunchbase.com/organization/espn']","['$10.3B', 'None']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/espn']",0.25,0.25,0.0,0.0,0.125
ERM Power: Energy Management & Business Energy Services,https://ermpower.com.au/,Australia’s leading dedicated energy retailer to business. Helping business Australia with their energy supply and management solutions.,ermpower,"['L 52 111 EAGLE STREET BRISBANE CITY, QUEENSLAND, 4000 Australia', 'https://www.dnb.com/business-directory/company-profiles.erm_power_retail_pty_ltd.ff6e530e1aa2c7b0.html']",None,"['+61 409 004 298', 'https://ermpower.com.au/media/erm-power-and-shell-energy-australia/']","['energy retailer erm power', 'energy expert erm power', 'erm erm power', 'business energy solutions', 'energy customers', 'business energy experts', 'business energy productivity', 'business energy providers', 'energy prices', 'business energy efficiency projects']","[['Jon Stretch', 'CEO'], 'https://www.areteexecutive.com.au/jon-stretch-managing-director-ceo-of-erm-power/']","[['Energy'], 'https://www.crunchbase.com/organization/erm-power']","['1980', 'https://www.crunchbase.com/organization/erm-power']","['$1.00 billion USD', 'https://www.dnb.com/business-directory/company-profiles.erm_power_retail_pty_ltd.ff6e530e1aa2c7b0.html']",None,"['Australia', 'https://opencorporates.com/companies/au/122259223']",None,"['Public', 'https://www.crunchbase.com/organization/erm-power']",0.25,0.25,0.0,0.0,0.125
MCS Rental Software,https://www.mcsrentalsoftware.com/en/,MCS Rental Software built to help your business grow and thrive. Find out how MCS hire software can transform your business using digital solutions.,mcsrentalsoftware,"['Suite  4 , 151-153 Pacific Highway, Hornsby, NSW 2077 Australia', 'https://www.mcsrentalsoftware.com/za/contact']","['stevej@corelli.org.uk', 'https://www.mcsrentalsoftware.com/za/terms-of-use-za']","['+61 (2) 9477 1355', 'https://www.mcsrentalsoftware.com/au/']","['contact mcs mcs', 'mcs rental software', 'mcs rental software solutions', 'mcs software solutions', 'mcs software', 'mcs hire software', 'mcs hire management software', 'mcs solutions', 'mcs rental software gmbh contact mcs vermietsoftware steigert', 'nixon hire mcs hire software']",None,"['Finance and insurance, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
The CyberWire - Your cybersecurity news connection,https://thecyberwire.com/,The CyberWire is an independent voice delivering concise  accessible  and relevant cybersecurity news to people all across the globe. We separate the signal from the noise.,thecyberwire,None,"['support@thecyberwire.com', 'https://thecyberwire.com/pages/privacy-policy.html']",None,"['other information', 'information security', 'other personal information', 'such payment information', 'other google services', 'such information', 'renowned information security experts', 'payment information', 'services provided', 'other online service']",None,"['IT - Software, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
ABB Group. Leading digital technologies for industry,https://new.abb.com/,ABB is a pioneering technology leader that works closely with utility  industry  transportation and infrastructure customers to write the future of industrial digitalization and realize value.,new.abb,"['1 Bapaume Rd Moorebank, NEW SOUTH WALES, 2170 Australia', 'https://www.dnb.com/business-directory/company-profiles.abb_australia_pty_limited.6392fc079f3bca060c1de65421e0fe93.html']","['contact.center@pl.abb.com', 'https://new.abb.com/contact-centers']","['+64 7 850 2721', 'https://new.abb.com/contact-centers']","['abb power technology', 'abb systems', 'abb technology', 'information abb', 'digital abb solutions', 'personal data abb', 'abb ups solutions', 'abb power protection abb channel partner network', 'abb products', 'abb azipod']","[['Slavko Planinic', 'Managing_Director'], 'https://new.abb.com/news/detail/29232/slavko-planinic-appointed-country-managing-director-and-head-of-industrial-automation-for-abb-in-australia']","[['AutomotiveChemicalEnergyIndustrial EngineeringOil and GasRoboticsTransportation'], 'https://www.crunchbase.com/organization/abb']","['Jan 5, 1988', 'https://www.crunchbase.com/organization/abb']","['$390M', 'None']","['$0', 'None']","['Richmond Victoria, AU', 'None']","['800', 'None']","['Public', 'https://www.crunchbase.com/organization/abb']",0.0,0.25,0.25,0.0,0.125
Microsoft Events,https://events.microsoft.com/,,events.microsoft,None,"['mdcc@microsoft.com', 'https://www.crunchbase.com/organization/microsoft']",None,None,"['Bill Gates', 'founder(s)', 'https://www.crunchbase.com/organization/microsoft']","[['Cloud ComputingCollaborationConsumer ElectronicsDeveloper ToolsEnterprise SoftwareOperating SystemsSoftware'], 'https://www.crunchbase.com/organization/microsoft']","['Apr 4, 1975', 'https://www.crunchbase.com/organization/microsoft']",None,None,None,None,"['Public', 'https://www.crunchbase.com/organization/microsoft']",0.0,0.0,0.0,0.0,0.0
Nova Systems – Home,https://novasystems.com/,Nova Systems is a Professional Service Provider  specialising in the provision of engineering and management services  providing industry and government with world class independent expertise in delivering complex projects and solving technologically challenging problems,novasystems,"['27 -31 London Road, Mile End South SA 5031', 'https://novasystems.com/privacy-and-disclaimer/']","['tim.anderson@novasystems.com', 'https://novasystems.com/news/nova-systems-insights-digital-twin-energy-resources-sectors/']",None,"['nova systems utilities downloads nova systems', 'project nova systems', 'nova systems australia', 'nova systems companies', 'support nova systems', 'nova systems transport', 'nova systems expertise', 'nova systems satcom', 'nova systems personnel', 'training nova systems']","[['Jim Whalley', 'CEO'], 'https://novasystems.com/about-us/']","['IT - Software, Construction', 'from_classification_model']","['10 February 2003', 'https://opencorporates.com/companies/nz/1273054']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/1273054']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/1273054']",0.25,0.0,0.0,0.0,0.0625
ExxonMobil Australia,https://www.exxonmobil.com.au/,The ExxonMobil Australia group has been operating in Australia since 1895.,exxonmobil,"['61 3 9261 0000 or writing to GPO Box 400 Melbourne VIC 3001', 'https://www.exxonmobil.com.au/Company/Contact-us/Local-contacts']",None,"['+61 3 9261 0022', 'https://www.exxonmobil.com.au/Company/Contact-us/Local-contacts']",None,"[['Nathan Fay', 'Chairman'], 'https://www.exxonmobil.com.au/News/Newsroom/News-releases-and-alerts/2019/0315_ExxonMobil-Australia-Group-of-Companies-appoints-new-Chairman']","[['ChemicalEnergyOil and Gas'], 'https://www.crunchbase.com/organization/exxonmobil']","['1870', 'https://www.crunchbase.com/organization/exxonmobil']",None,None,None,None,"['Public', 'https://www.crunchbase.com/organization/exxonmobil']",0.25,0.25,0.0,0.0,0.125
Miller Heiman Group: Welcome to the Future of Selling,https://www.millerheimangroup.com/,Miller Heiman Group provides the sales training  consulting  technology and research sellers need to stay one step ahead of disruption. We’re embraced by the world’s most successful sales and service organizations because we deliver results – no matter what comes next. The future of selling is here. Are you ready to join us?,millerheimangroup,"['SE 7.02 L 7 130 PITT ST SYDNEY, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.miller_heiman_group_(anz)_pty_ltd.c356f98afbe1e7c97184245ef64751d3.html']","['info@millerheimangroup.com', 'https://www.crunchbase.com/organization/miller-heiman-pty-limited']","['+61 3 9631 0300', 'https://www.millerheimangroup.com/about/contact-us/']","['sales organization', 'sales ensure sales managers leverage plans', 'sales strategies', 'sales teams', 'organizations sales methodology', 'sales training', 'sales process', 'leading sales organizations', 'sales enablement services', 'sales organization assessments']","[['WILLIAM CHRISTOPHER ALLINGHAM', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.miller_heiman_group_(anz)_pty_ltd.c356f98afbe1e7c97184245ef64751d3.html']","[['Management ConsultingSalesTraining'], 'https://www.crunchbase.com/organization/miller-heiman-pty-limited']","['1978', 'https://www.crunchbase.com/organization/miller-heiman-pty-limited']","['$13.86 million USD', 'https://www.dnb.com/business-directory/company-profiles.miller_heiman_group_(anz)_pty_ltd.c356f98afbe1e7c97184245ef64751d3.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/miller-heiman-pty-limited']",0.375,0.25,0.0,0.0,0.15625
