title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
ConstructionOnline Australia — Index,https://au.constructiononline.com/,UDA ConstructionOnline™ is the #1 rated platform for both residential and commercial construction professionals - featuring powerful estimating  the world's fastest scheduling  dynamic project tracking  image galleries and so much more. Join over 550 000+ leading pros using ConstructionOnline™,au.constructiononline,"['25 North Tce Hackney, SOUTH AUSTRALIA, 5069 Australia', 'https://www.dnb.com/business-directory/company-profiles.construction_services_australia_pty_ltd.ef1087ff6db5c925a3fc30d0b31de069.html']","['support@uda1.com', 'https://au.constructiononline.com/training-and-support']","['None', 'https://www.dnb.com/business-directory/company-profiles.construction_services_australia_pty_ltd.ef1087ff6db5c925a3fc30d0b31de069.html']",None,"['constructiononline project messages', 'constructiononline constructiononline drive', 'constructiononline implementing constructiononline', 'constructiononline constructiononline lead tracking', 'dedicated constructiononline project email addresses', 'constructiononline constructiononline punch list management', 'construction projects', 'entire project team', 'constructiononline make', 'construction project management software']","['Sean Senvirtne', 'founder(s)', 'https://www.crunchbase.com/organization/mydeal-com-au']","[['E-CommerceMarketplaceRetailShopping'], 'https://www.crunchbase.com/organization/mydeal-com-au']","['Mar 28, 2011', 'https://www.crunchbase.com/organization/mydeal-com-au']","['$25.51 million USD', 'https://www.dnb.com/business-directory/company-profiles.construction_services_australia_pty_ltd.ef1087ff6db5c925a3fc30d0b31de069.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/mydeal-com-au']",None,"['Private', 'https://www.crunchbase.com/organization/mydeal-com-au']",0.0,0.0,0.0,0.0
BIS Oxford Economics,https://www.bisoxfordeconomics.com.au/,,bisoxfordeconomics,"['Level  6 7 Macquarie Place Sydney, NSW 2000', 'https://www.bisoxfordeconomics.com.au/contact']","['media@alex.com.au', 'https://www.crunchbase.com/organization/bene']","['+61 (02) 8458 4234', 'https://www.bisoxfordeconomics.com.au/about-us/leadership-team']","['bis oxford economics conferences', 'oxford economics ltd', 'senior bis oxford economics personnel', 'us oxford economics', 'oxford economics ltd.', 'bis oxford economics online conference', 'market analysis', 'accurate residential property market analysis', 'residential land oxford economics group global', 'economic impact analysis']","[['David Walker ', 'Managing Director_BIS Oxford ...'], 'None']","[['Financial ServicesInformation Technology'], 'https://www.crunchbase.com/organization/bene']","['2018', 'https://www.crunchbase.com/organization/bene']","['$6.29 million USD', 'https://www.dnb.com/business-directory/company-profiles.bis_oxford_economics_pty_ltd.7a8894a55b5b430db747fbb5dcdc1c28.html']",None,"[' Brisbane, Queensland, Australia', 'https://www.crunchbase.com/organization/bene']",None,"['Private', 'https://www.crunchbase.com/organization/bene']",1.0,0.25,0.375,0.0,0.40625
Mosaic Projects - Project Management Training_ Resources ...,https://www.mosaicprojects.com.au/,,mosaicprojects,"['PO Box 5150 , South Melbourne, Victoria 3205 Australia', 'https://www.mosaicprojects.com.au/index.php']","['bh@hotdoc.com.au', 'https://www.crunchbase.com/organization/hotdoc']","['+61 (0)3 9696 8684', 'https://www.mosaicprojects.com.au/contact.php']","['project management stakeholders', 'project management processes', 'effective project management', 'project time management', 'project management tools', 'other project management stakeholders', 'project management systems', 'project management software', 'construction project management', 'project management workshops']","['Simon Holland', 'founder(s)', 'https://www.crunchbase.com/organization/hotdoc']","[['Health CareMedicalSaaSSchedulingSoftware'], 'https://www.crunchbase.com/organization/hotdoc']","['Jul 27, 2012', 'https://www.crunchbase.com/organization/hotdoc']","['$333,764 USD', 'https://www.dnb.com/business-directory/company-profiles.mosaic_project_services_pty_ltd.f06622bfaad4582d.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/hotdoc']",None,"['Private', 'https://www.crunchbase.com/organization/hotdoc']",1.0,0.25,0.0,0.0,0.3125
Conqa - Construction QA Software,https://www.conqahq.com/,Conqa is Quality Assurance (QA) software for the construction industry. Our simple  cloud-based platform offers our customers the flexibility and customisation they need to run their QA processes.,conqahq,"['Flat 1, 69 Hapua Street, Remuera, Auckland1050NZ', 'https://opencorporates.com/companies/nz/4117838']","['contact@conqahq.com', 'https://www.crunchbase.com/organization/conqa']","['+64 9 886 4642', 'https://www.crunchbase.com/organization/conqa']","['construction qa software', 'construction projects', 'saas service', 'other third party systems', 'construction sites', 'real time data', 'large construction projects', 'other information', 'project teams', 'construction industry']","['Barney Chunn', 'founder(s)', 'https://www.crunchbase.com/organization/conqa']","[['ConstructionInformation TechnologyQuality AssuranceSoftware'], 'https://www.crunchbase.com/organization/conqa']","['Jan 1, 2015', 'https://www.crunchbase.com/organization/conqa']",None,None,"[' Auckland, Auckland, New Zealand', 'https://www.crunchbase.com/organization/conqa']",None,"['Private', 'https://www.crunchbase.com/organization/conqa']",0.0,0.375,0.375,0.0,0.1875
SUEZ: Waste Management & Water Solutions - SUEZ ...,https://www.suez.com.au/en-au,SUEZ delivers Smart & Environmental Solutions in the water and waste sectors. We help cities and industries in the circular economy to optimise and secure resources essential to our future.,suez,"['145 Wicks Road, North Ryde NSW 2113', 'https://www.suez.com.au/en-au/who-we-are/suez-in-australia-and-new-zealand/our-facilities/holiday-operating-hours']","['cs.gosford.anz@suez.com', 'https://www.suez.com.au/en-au/who-we-are/suez-in-australia-and-new-zealand/our-facilities/holiday-operating-hours']","['+617 3212 8055', 'https://www.suez.com.au/en-au/proskips']","['suez global website suez', 'suez australia', 'waste collection suez welshpool resource recovery centre', 'suez', 'suez facilities', '©suez australia', 'suez service centres', 'suez technology', 'suez hunter', 'other suez facilities']","[['Mark Venhoek ', 'SUEZ Australia & New Zealand_LinkedIn'], 'from linkedin search google']","[['Recycling'], 'https://www.crunchbase.com/organization/suez-recycling-recovery-pty-ltd']","['1971', 'https://www.crunchbase.com/organization/suez-recycling-recovery-pty-ltd']",None,None,"[' Rhodes, New South Wales, Australia', 'https://www.crunchbase.com/organization/suez-recycling-recovery-pty-ltd']",None,"['Private', 'https://www.crunchbase.com/organization/suez-recycling-recovery-pty-ltd']",0.25,0.25,0.0,0.0,0.125
ABC (Australian Broadcasting Corporation),https://www.abc.net.au/,,abc.net.au,None,None,"['+61028) 333-1500', 'https://www.crunchbase.com/organization/abc-television']",None,None,"[['Identity ManagementNews'], 'https://www.crunchbase.com/organization/abc-television']","['1956', 'https://www.crunchbase.com/organization/abc-television']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/abc-television']",None,"['Private', 'https://www.crunchbase.com/organization/abc-television']",0.0,0.0,0.0,0.0,0.0
SafetyCulture: Easy Inspection Solution - Get Started for Free,https://safetyculture.com/,Raise your game with an easy to use mobile app and software inspection solution. iAuditor by Safety Culture is available on iOS  Android and Windows.,safetyculture,"['PO Box 7175 , Garbutt QLD 4814 Australia', 'https://safetyculture.com/legal/terms-and-conditions']","['info@safetyculture.io', 'https://www.crunchbase.com/organization/safetyculture']","['+61 7 4408 8208', 'https://safetyculture.com/legal/privacy-policy/']","['de cette liste de contrôle de dépistage', 'de l’espace de travail', 'de cette liste de', 'manufacturers liste de vérification de la sécurité des travailleurs de santé', 'modèle de plan de continuité des', 'liste de contrôle de préparation', 'un journal de bord de', 'modelo de instrução de trabalho de manufatura os líderes', 'de contrôle de vérification préalable', 'des prestataires de soins de santé']","['Luke Anear', 'founder(s)', 'https://www.crunchbase.com/organization/safetyculture']","[['AppsPublic SafetySoftware'], 'https://www.crunchbase.com/organization/safetyculture']","['Mar 12, 2004', 'https://www.crunchbase.com/organization/safetyculture']","['$19.57 million USD', 'https://www.dnb.com/business-directory/company-profiles.safetyculture_pty_ltd.da0f22d26ece1397e9f0d60baab15780.html']",None,"[' Townsville, Queensland, Australia', 'https://www.crunchbase.com/organization/safetyculture']",None,"['Private', 'https://www.crunchbase.com/organization/safetyculture']",0.25,0.25,0.375,0.0,0.21875
Global Unmanned SystemsGlobal Unmanned Systems - GUS ...,https://www.gus-uav.com/,"GUS  based in Perth  Western Australia  uses the latest drone (UAV) 
technologies to capture datasets that are either very difficult or 
impossible to acquire using conventional methods. We then use artificial 
intelligence techniques to extract information from the datasets that lead 
to more timely and informed decisions  a safer operating environment and 
better management of risks  all at lower cost._GUS  based in Perth  Western Australia  uses the latest drone (UAV) technologies to capture datasets that are either very difficult or impossible to acquire using conventional methods. We then use artificial intelligence techniques to extract information from the datasets that lead to more timely an",gus-uav,"['Unit  4 , 5 Emplacement Cres, Hamilton Hill, WA 6163 Australia', 'https://www.gus-uav.com/']","['robert.lednor@gus-uav.com', 'https://www.crunchbase.com/organization/global-unmanned-systems']","['+61 8 6188 1226', 'https://www.gus-uav.com/']","['gus', 'gus uav remote sensing strategies', 'drone technologies', 'colored point cloud gus', 'better data', 'fauna papua new guinea gus', 'uav technologies', 'data acquisition', 'drone coverage', 'airborne remote sensing data']",None,"[['Drones'], 'https://www.crunchbase.com/organization/global-unmanned-systems']","['2012', 'https://www.crunchbase.com/organization/global-unmanned-systems']",None,None,"[' Hamilton, New South Wales, Australia', 'https://www.crunchbase.com/organization/global-unmanned-systems']",None,"['Private', 'https://www.crunchbase.com/organization/global-unmanned-systems']",0.25,0.25,0.0,0.0,0.125
Safe Ag Systems | Safety Management Software,https://www.safeagsystems.com/,"Safety management software for your agribusiness.
Stay on top of compliance requirements and change safety culture in your workplace.",safeagsystems,"['PO Box 155 Glenelg South Australia 5045', 'https://www.safeagsystems.com/contact-us']","['info@safeagsystems.com', 'https://www.crunchbase.com/organization/safe-ag-systems']","['+61 8 8490 0939', 'https://www.safeagsystems.com/privacy-policy-safe-ag-systems']","['safe ag systems inventory management safe ag systems', 'procedure safe ag systems', 'safe ag systems emergency system', 'safe ag systems template', 'safe ag systems mission', 'other businesses safety information', 'safe ag systems nidderdale show', 'chemical manifest safe ag systems', 'safe ag systems', 'safe ag']","['Caroline Graham', 'founder(s)', 'https://www.crunchbase.com/organization/safe-ag-systems']","[['AgricultureHealth CareInformation TechnologySaaSSoftware'], 'https://www.crunchbase.com/organization/safe-ag-systems']","['2016', 'https://www.crunchbase.com/organization/safe-ag-systems']",None,None,"[' Adelaide, South Australia, Australia', 'https://www.crunchbase.com/organization/safe-ag-systems']",None,"['Private', 'https://www.crunchbase.com/organization/safe-ag-systems']",0.25,0.25,0.0,0.0,0.125
School of Computer Science - The University of Auckland,https://www.auckland.ac.nz/en/science/about-the-faculty/school-of-computer-science.html,We pride ourselves on our strong teaching abilities and diverse research interests. We are committed to producing first-class graduates at all levels.,cs.auckland.ac.nz,"['301 23 Symonds Street Auckland 1010', 'https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/earth-sciences/undergraduate/bsc-earth-sciences-from-2019/geology.html']","['alumni@auckland.ac.nz', 'https://www.crunchbase.com/organization/university-of-auckland']","['+64 9 373 7513', 'https://www.crunchbase.com/organization/university-of-auckland']","['auckland university', 'auckland university college', 'auckland university press', 'research masters students', 'french university', 'auckland university press private', 'global university impact rankings contact information', 'domestic research students', 'personal information', 'university life']","[['Felix Sebastian DANZIGER', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.c_s_company_limited.dcd2aa1165f12885cb67d11a8c3019ae.html']","[['Education'], 'https://www.crunchbase.com/organization/university-of-auckland']","['1883', 'https://www.crunchbase.com/organization/university-of-auckland']","['$30.95 million USD', 'https://www.dnb.com/business-directory/company-profiles.c_s_company_limited.dcd2aa1165f12885cb67d11a8c3019ae.html']",None,"[' Auckland, Auckland, New Zealand', 'https://www.crunchbase.com/organization/university-of-auckland']",None,"['Limited\xa0Company Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.c_s_company_limited.dcd2aa1165f12885cb67d11a8c3019ae.html']",0.25,0.375,0.0,0.0,0.15625
