title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
BPD Zenith: Maximo Implementations_ Upgrades_ Support ...,https://www.bpdzenith.com/,Entry point to BPD Zenith's award winning Maximo and IoT solutions using the No.1 Enterprise Asset Management software  IBM Maximo Asset Management.,bpdzenith,"['Level  1 , 454 Toorak Road,\xa0Toorak, Victoria Australia 3142', 'https://www.bpdzenith.com/terms-and-conditions/']","['info@zenithinstruments.com.au', 'https://www.crunchbase.com/organization/zenith-sales-calibrations-pty-ltd']","['+61 438 148 663', 'https://www.bpdzenith.com/iot-for-spare-parts-tracking-and-security-in-ports/']","['maximo bpd zenith', 'maximo today existing maximo users', 'ibm maximo', 'ibm maximo asset management', 'new maximo users', 'maximo solutions', 'maximo asset management', 'other maximo users', 'maximo systems', 'many ibm maximo industry solutions']","[['Graeme Sharp ', 'CEO Asia / Pacific_BPD Zenith'], 'None']","[['Manufacturing'], 'https://www.crunchbase.com/organization/zenith-sales-calibrations-pty-ltd']","['13 March 2013', 'https://opencorporates.com/companies/nz/4345200']","['$3.17 million USD', 'https://www.dnb.com/business-directory/company-profiles.bpd_zenith_(aust)_pty_ltd.a637bc48bfd88fa7846881bef41b56ff.html']",None,"[' Castle Hill, New South Wales, Australia', 'https://www.crunchbase.com/organization/zenith-sales-calibrations-pty-ltd']",None,"['Private', 'https://www.crunchbase.com/organization/zenith-sales-calibrations-pty-ltd']",0.625,0.25,0.75,0.0,0.40625
Live Scores_ Fixtures_ News & Video | cricket.com.au,https://www.cricket.com.au/,Live cricket coverage  live streaming  cricket highlights  live scores  breaking news  video  analysis and expert opinion.,cricket,"['60 Jolimont Street Jolimont VIC 3002 Australia', 'https://www.cricket.com.au/privacy']","['sales@cricket.com.au', 'https://www.crunchbase.com/organization/cricket-australia']","['+613 9653 9999', 'https://www.cricket.com.au/privacy']","['australia australia', 'cricket australia', 'cricket australia role', 'former cricket australia head', 'australia series', 'south australia', 'australia test', 'cricket australia high performance coach chris rogers', 'australia clark', 'former australia']","[['EARL ROBERT EDDINGS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.cricket_australia.b6cbca020c25dc739540115f68460084.html']","[['FitnessGamingSportsVideo Games'], 'https://www.crunchbase.com/organization/cricket-australia']","['1892', 'https://www.crunchbase.com/organization/cricket-australia']","['$255.30 million USD', 'https://www.dnb.com/business-directory/company-profiles.cricket_australia.b6cbca020c25dc739540115f68460084.html']",None,"[' Warrnambool, Victoria, Australia', 'https://www.crunchbase.com/organization/cricket-australia']",None,"['Private', 'https://www.crunchbase.com/organization/cricket-australia']",0.25,0.25,0.0,0.0,0.125
Rosterfy: Leading Volunteer and Workforce Scheduling Software,https://www.rosterfy.com/,Rosterfy exists to connect communities to events and causes they are passionate about through our volunteer and workforce management solution.,rosterfy,"['Level  5 , 80 Market Street South Melbourne, Victoria 3205', 'https://www.rosterfy.com/about-us']","['dom@rosterfy.com', 'https://www.rosterfy.com/about-us']","['None', 'https://www.dnb.com/business-directory/company-profiles.rosterfy_pty_ltd.e1a55eddb486d33bd3eb4f096c1b5272.html']",None,"['event volunteers', 'volunteer management rosterfy', 'volunteer management solution', 'volunteer management systems', 'event workforce management', 'super bowl volunteers', 'volunteer experiences', 'volunteer training', 'event management', 'managing volunteers']","[['SHANNAN GOVE', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.rosterfy_pty_ltd.e1a55eddb486d33bd3eb4f096c1b5272.html']","[['SchedulingSoftware'], 'https://www.crunchbase.com/organization/rosterfy']","['Jan 1, 2014', 'https://www.crunchbase.com/organization/rosterfy']","['$2.74 million USD', 'https://www.dnb.com/business-directory/company-profiles.rosterfy_pty_ltd.e1a55eddb486d33bd3eb4f096c1b5272.html']",None,"[' Southbank, Victoria, Australia', 'https://www.crunchbase.com/organization/rosterfy']",None,"['Private', 'https://www.crunchbase.com/organization/rosterfy']",1.0,0.0,0.0,0.0
HMI Technologies Intelligent Transport Systems,https://www.hmi.co.nz/en-nz/,At the forefront of the transport technology revolution  HMI Technologies is an end to end provider of Intelligent Transport Systems (ITS) solutions and dynamic variable message signs._Technology Investment Network (TIN) has named HMI Technologies as the winner of this year’s TIN Rocket Award which recognises the company that has gained the most places in the TIN200 rankings for the year. _The introduction of autonomous buses in Victoria is a step closer to becoming reality  following the successful completion of the state’s first trial of the technology.,hmitechnologies,"['55 Ben Lomond Crescent Pakuranga Auckland, AUCKLAND, 2010 New Zealand', 'https://www.dnb.com/business-directory/company-profiles.hmi_technologies_limited.e992cb7c2de12a031126b07d44bb9f9d.html']",None,"['+61 426 400 940', 'https://www.hmi.co.nz/en-nz/contact/australia']","['autonomous vehicles hmi', 'hmi global hmi', 'hmi technologies', 'hmi technologies australia', 'intelligent transport systems hmi technologies', 'hmi technologies partners', 'hmi technologies nz', 'contact hmi technologies', 'hmi technologies limited', 'hmi technologies australia police']","[['Mohammed HIKMET', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.hmi_technologies_limited.e992cb7c2de12a031126b07d44bb9f9d.html']","['IT - Software, Services - professional, scientific, and technical', 'from_classification_model']","['15 September 2017', 'https://opencorporates.com/companies/nz/6447352']","['$565,200 USD', 'https://www.dnb.com/business-directory/company-profiles.hmi_technologies_limited.e992cb7c2de12a031126b07d44bb9f9d.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/6447352']",None,"['Limited\xa0Company Parent', 'https://www.dnb.com/business-directory/company-profiles.hmi_technologies_limited.e992cb7c2de12a031126b07d44bb9f9d.html']",0.75,0.25,0.75,0.0,0.4375
Spaceship — Investing_ made easy_ for everyone,https://www.spaceship.com.au/,Join thousands of Australians investing in their future with Spaceship. Grow your wealth with our investment and super accounts. Start in five minutes._Join thousands of Australians investing in their future with Spaceship. Grow your wealth with our investment and super accounts. Start in five minutes.,spaceship,"['5218 , Sydney, NSW 2001', 'https://www.spaceship.com.au/privacy-policy/']","['hello@spaceship.com.au', 'https://www.crunchbase.com/organization/spaceship-financial-services']","['+61(0) 417 170 084', 'https://www.spaceship.com.au/news/spaceship-release-06-aug-2019/']","['spaceship super customer information', 'general information spaceship universe portfolio spaceship global index option', 'spaceship investment journey', 'spaceship super fees', 'spaceship', 'spaceship voyager fees', 'spaceship capital', 'spaceship voyager', 'spaceship universe portfolio', 'spaceship earth portfolio']","[['JASON JOHN SEDAWIE', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.spaceship_capital_limited.bc1abf414440b3009c66b73f0086d659.html']","[['Financial ServicesFinTech'], 'https://www.crunchbase.com/organization/spaceship-financial-services']","['2016', 'https://www.crunchbase.com/organization/spaceship-financial-services']","['$656,122 USD', 'https://www.dnb.com/business-directory/company-profiles.spaceship_capital_limited.bc1abf414440b3009c66b73f0086d659.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/spaceship-financial-services']",None,"['Private', 'https://www.crunchbase.com/organization/spaceship-financial-services']",0.25,0.25,0.5,0.0,0.25
Training.com.au - Australia's no. 1 TAFE & University courses ...,https://www.training.com.au/,Browse hundreds of nationally recognised and accredited TAFE courses - University and IT  Diploma  Certificate  Short and Online Courses at Training.com.au.,training,"['145 .1242532}];   Campus Locations    400 Queen St, Melbourne VIC 3000 Australia', 'https://www.training.com.au/course-listing/certificate-iv-in-ageing-support-vic-only-tmg-college-australia/']","['enquiries@oaic.gov.au', 'https://www.training.com.au/privacy/']",None,None,"[['Gerard Green ', 'Training Manager_Australia & New Zealand'], 'from linkedin search google']","[['EducationHigher EducationHuman ResourcesVocational Education'], 'https://www.crunchbase.com/organization/education-training-australia']","[' 5 February 2020', 'https://opencorporates.com/companies/au/638915910']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/education-training-australia']",None,"['Private', 'https://www.crunchbase.com/organization/education-training-australia']",0.25,0.0,0.0,0.0,0.0625
Agrison | Home | Tractors | Generators | Wheel loaders ...,https://www.agrison.com.au/,"Agrison is an Australian company offering a wide range of agricultural machinery. Our products list includes tractors  wheel loaders  diesel generators  excavators  forklifts  dozers  implements  cabins._Australia's #1 leading retailer of ""Quality & Value"" agricultural tractors  diesel generators  wheel loaders  portable buildings and farming implements.",agrison,"['2098 Hume Highway, Campbellfield VIC 3061', 'https://www.agrison.com.au/terms-of-use/']","['contact@agrison.com.au', 'https://www.agrison.com.au/privacy-policy/']","['1300 651 830', 'https://www.agrison.com.au/mechanical/']","['personal information', 'generator agrison wheel loaders', 'information', 'anonymous information', 'false information', 'commercial information', 'more information', 'agrison me850 mini excavator', 'agrison', 'wheel loader machine']","['Ben Reid', 'founder(s)', 'https://www.crunchbase.com/organization/agridigital']","[['AgricultureAgTechInformation ServicesInformation TechnologySoftware Engineering'], 'https://www.crunchbase.com/organization/agridigital']","['2015', 'https://www.crunchbase.com/organization/agridigital']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/agridigital']",None,"['Private', 'https://www.crunchbase.com/organization/agridigital']",0.25,0.75,0.0,0.0,0.25
Australian Flying - Australian Flying,https://www.australianflying.com.au/,,australianflying,"['606 Sydney NSW 2001', 'https://www.australianflying.com.au/footer/privacy-policy']","['marketing@aviationaustralia.aero', 'https://www.crunchbase.com/organization/aviation-australia']","['+64 7 8295940', 'https://www.australianflying.com.au/news/pipersport-lsa-flight-test-a-new-beginning']","['aircraft fuel', 'flying light aircraft', 'new aircraft', 'other new aircraft', 'other aircraft', 'new aircraft designs', 'larger aircraft', 'display aircraft', 'many new aircraft', 'aircraft performance']",None,"[['Education'], 'https://www.crunchbase.com/organization/aviation-australia']","['Jan 1, 2001', 'https://www.crunchbase.com/organization/aviation-australia']",None,None,"[' Brisbane, Queensland, Australia', 'https://www.crunchbase.com/organization/aviation-australia']",None,"['Private', 'https://www.crunchbase.com/organization/aviation-australia']",0.25,0.25,0.0,0.0,0.125
BigWarehouse Spare,https://spares.bigwarehouse.com.au/, BigWarehouse Appliance Parts  Search over 2 Million Applinace Spare Parts from LG | Samsung | Electrolux| Bosch | Aristion and many more. Free Delivery - Same Day distpatch ,spares.bigwarehouse,"['8 RUDDOCK STREET CORRIMAL, NEW SOUTH WALES, 2518 Australia', 'https://www.dnb.com/business-directory/company-profiles.bigwarehouse_pty_ltd.6667ccc7811e60822f643517ffede4bd.html']","['info@sparesbox.com.au', 'https://www.crunchbase.com/organization/spares-box']","['1(300)117-587', 'https://www.crunchbase.com/organization/spares-box']","['availability', 'customer enquiry', 'guide button price', 'power button price', 'lamp assy supporter door gasket', 'remote control price', 'remote control rc-6182 price', 'teac price', 'lg price', 'knob price']","['Andrew Palmer', 'founder(s)', 'https://www.crunchbase.com/organization/spares-box']","[['AutomotiveE-Commerce'], 'https://www.crunchbase.com/organization/spares-box']","['2014', 'https://www.crunchbase.com/organization/spares-box']","['$6.77 million USD', 'https://www.dnb.com/business-directory/company-profiles.bigwarehouse_pty_ltd.6667ccc7811e60822f643517ffede4bd.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/spares-box']",None,"['Private', 'https://www.crunchbase.com/organization/spares-box']",0.75,0.0,0.0,0.0,0.1875
Welcome to ISS - ISS Australia and New Zealand,https://www.au.issworld.com/,Welcome to ISS,au.issworld,"['98 Carlton Gore Road, Newmarket, Auckland1023NZ', 'https://opencorporates.com/companies/nz/70236']","['dpm@group.issworld.com', 'https://www.au.issworld.com/en-au/privacy-statement']","['+61 2 8644 9700', 'https://www.au.issworld.com/en-au/about/contact/global-presence']","['iss people', 'service provider iss', 'iss employees', 'iss teams', 'iss', 'iss group', 'iss career', 'customer service', 'iss australia', 'iss management trainee']","[['Ian Scanlon ', 'CFO_ISS'], 'None']","[['E-CommerceMarketplaceRetailShopping'], 'https://www.crunchbase.com/organization/mydeal-com-au']","['Mar 28, 2011', 'https://www.crunchbase.com/organization/mydeal-com-au']","['$543.89 million USD', 'https://www.dnb.com/business-directory/company-profiles.iss_facility_services_australia_limited.da4b3907991e29f1dd0130ffbe8c68a3.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/mydeal-com-au']",None,"['Private', 'https://www.crunchbase.com/organization/mydeal-com-au']",0.375,0.25,0.25,0.0,0.21875
