title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Microsoft Docs: Technical documentation_ API_ and code ...,https://docs.microsoft.com/en-us/,docs.microsoft.com is the home for Microsoft documentation for end users  developers  and IT professionals. Check out our quickstarts  tutorials  API reference  ...,docs.microsoft,"['51 Moana Avenue, Onehunga, Auckland1061NZ', 'https://opencorporates.com/companies/nz/1291332']","['opencode@microsoft.com', 'https://docs.microsoft.com/en-us/contribute/']",None,"['using windows', 'microsoft azure cloud services', 'microsoft azure', 'message block type', 'microsoft azure start', 'different message types', 'azure arc create', 'microsoft azure c', 'wpf data binding supports data', 'microsoft azure fundamentals']","[['Steven Worrall', 'Managing_Director'], 'https://news.microsoft.com/en-au/exec/steven-worrall/']","['IT - Software, Finance and insurance', 'from_classification_model']","[' 9 April 2003', 'https://opencorporates.com/companies/nz/1291332']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/1291332']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/1291332']",0.0,0.0,0.0,0.0,0.0
Nature,https://www.nature.com/,First published in 1869  Nature is the world’s leading multidisciplinary science journal. Nature publishes the finest peer-reviewed research that drives ground-breaking discovery  and is read by thought-leaders and decision-makers around the world._Nature is the world’s foremost international weekly scientific journal and is the flagship journal for Nature Research. It publishes the finest peer-reviewed ...,go.nature,"['239/171 Mann St, Gosford NSW 2250', ['Go Nature Acupuncture & Massage, address', 'knowledge_panel']]","['support@hipages.com.au', 'https://www.crunchbase.com/organization/hipages-group']","['+617335 2015', 'https://www.nature.com/articles/nmicrobiol201627']",None,"[['David Worth', 'Managing_Director'], 'https://au.linkedin.com/in/david-worth-b8788718']","[['AdvertisingHome and GardenHome ImprovementHome RenovationHome ServicesLead Generation'], 'https://www.crunchbase.com/organization/hipages-group']","['2006', 'https://www.crunchbase.com/organization/hipages-group']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/hipages-group']",0.0,0.25,0.375,0.0,0.15625
Manaaki Whenua – Landcare Research is the Crown ...,https://www.landcareresearch.co.nz/,We want to ensure all New Zealanders have the knowledge  understanding and tools to live in harmony with our land by enjoying its many gifts.,landcareresearch,"['54 Gerald Street Lincoln, Canterbury 7608', 'https://www.landcareresearch.co.nz/partner-with-us/laboratories-and-diagnostics/toxicology-laboratory/sampling-protocols/protocol-for-sampling-and-testing-blood-plasma-for-1080/']","['info@landcareresearch.co.nz', 'https://www.landcareresearch.co.nz/']","['+64 3 321 9999', 'https://www.landcareresearch.co.nz/']","['new zealand soils', 'new zealand', 'new zealand forests', 'new zealand fungi', 'new zealand water supplies', 'new zealand society', 'aotearoa new zealand', 'analyse new zealand', 'new zealand scientific research', 'new zealand farmers']","[['Hugh Smith ', 'Research Priority Area Leader ..._LinkedIn'], 'None']","['Manufacturing, Education', 'from_classification_model']",None,"['$14.38 million USD', 'https://www.dnb.com/business-directory/company-profiles.landcare_research_new_zealand_limited.025fc0b792ad68ec1f3b48dbafeb64ee.html']",None,None,None,"['Limited\xa0Company Parent', 'https://www.dnb.com/business-directory/company-profiles.landcare_research_new_zealand_limited.025fc0b792ad68ec1f3b48dbafeb64ee.html']",1.0,0.25,0.375,0.0,0.40625
Fletcher Building: Home,https://fletcherbuilding.com/,Fletcher Building is a significant employer  manufacturer  home builder  and partner on major construction and infrastructure projects  operating through seven divisions – Building Products  Distribution  Steel  Concrete  Residential and Development  Construction  and Australia. In New Zealand  we employ over 10 000 people across almost every region. In Australia  we have significant operations in the manufacture and distribution of building products  employing over 5 500 people across the country. We also have operations spanning Europe  the USA  and Asia. ,fletcherbuilding,"['810 Great South Road Penrose Auckland 1061 New Zealand', 'https://fletcherbuilding.com/about-us/contact-us/']","['media@fbu.com', 'https://www.crunchbase.com/organization/fletcher-building']","['+61 2 8986 0900', 'https://fletcherbuilding.com/about-us/contact-us/']","['new zealand fletcher building', 'new zealand fletcher building trading', 'fletcher building holdings new zealand limited', 'fletcher building shares', 'fletcher building management', 'fletcher building date', 'fletcher building industries', 'fletcher building adrs', 'fletcher building trading', 'fletcher building director']","[['Dean Fradgley', 'CEO'], 'https://fletcherbuilding.com/about-us/board-and-management/']","[['Building MaterialConstruction'], 'https://www.crunchbase.com/organization/fletcher-building']","['2001', 'https://www.crunchbase.com/organization/fletcher-building']","['$1.70 billion USD', 'https://www.dnb.com/business-directory/company-profiles.fletcher_building_(australia)_pty_ltd.c8f8052d354555d8cf21aa0f8f48a70d.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1104175']",None,"['Public', 'https://www.crunchbase.com/organization/fletcher-building']",0.5,0.25,0.0,0.0,0.1875
3D Design & Engineering Software - Dassault Systèmes®,https://www.3ds.com/,World Leader in 3D Design & Engineering Software  Dassault Systèmes® provides PLM & 3D Modeling Software  Simulation Apps and Industry Solutions.,3ds,"['Level  1 , 123 Camberwell Road East Hawthorn, VIC 3123 Australia', 'https://www.3ds.com/products-services/simulia/services-support/locations/']",None,"['+61 (8) 9226 0213', 'https://www.3ds.com/products-services/simulia/services-support/locations/']","['product design processes', 'product designs', 'complex products design', 'dassault systèmes catia community', 'electrical product design', 'design process', 'design better products', 'great product designs', 'catia solution', 'catia user community create']","[['Sylvain Laurent', 'Chairman'], 'https://events.3ds.com/australia-civil-engineering-executive-rendezvous']","[['3D TechnologyEnterprise SoftwareManufacturingProduct DesignSoftware'], 'https://www.crunchbase.com/organization/dassault']","['1981', 'https://www.crunchbase.com/organization/dassault']",None,None,None,None,"['Public', 'https://www.crunchbase.com/organization/dassault']",0.25,0.25,0.0,0.0,0.125
Safety Consulting Companies_ EHS & Injury Management ...,https://misafesolutions.com.au/,Contact Us · Blog · Health & Safety Consulting Services Australia ... Phone: 07 5641 2101 or 0400 977 769; or. Email: contact@misafesolutions.com.au · Follow ...,misafesolutions,None,"['contact@misafesolutions.com.au', 'https://misafesolutions.com.au/']","['+61 (0) 400 977 769', 'https://misafesolutions.com.au/']","['business risk management', 'risk management software solutions', 'bespoke risk management software', 'enterprise risk management software solutions', 'compliance management software', 'management software', 'full enterprise risk management software', 'software systems', 'customised enterprise risk management software', 'risk compliance software solutions']",None,"['Construction, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Emerson Global | Emerson,https://www.emerson.com/,Helping address the world's most critical needs through our core business platforms - Automation Solutions and Commercial & Residential Solutions. Please ...,emerson,"['Level 8, 15 Talavera Road North Ryde, New South Wales, 2113 Australia', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']",None,"['+61-299191100', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']",None,"[['Boris Gabin', 'Director'], 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']","['Electromedical and Control Instruments Manufacturing', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']","['26 March 1970', 'https://opencorporates.com/companies/au/008478699']","['176M', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']",None,"['Australia', 'https://opencorporates.com/companies/au/008478699']","['489', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']","['Private Subsidiary, Headquarters', 'https://app.avention.com/company/c9c514a8-2d14-3fac-8201-e19678d3a712#report/company_summary']",0.0,0.0,0.0,0.0,0.0
re:Jerusalem,https://rejerusalem.com/,,rejerusalem,"['1001 4th Ave, #3200 Seattle, WA 9815', 'https://rejerusalem.com/99180/after-covid-19-processed-superfruits-market-2020-key-players-swot-analysis-key-indicators-forecast-to-2026/']","['sales@fiormarkets.com', 'https://rejerusalem.com/328942/global-edge-ai-hardware-market-2020-scenario-on-trends-growth-factors-opportunities-and-forecast-to-2026/']","['1300 922 923', 'https://www.crunchbase.com/organization/sense-of-security']","['absolute addressable market global smart security market report', 'clinical market report', 'rich market reports', 'clinical market research report', 'market growth', 'market verified industry reports', 'market research analysis', 'global market trends', 'global pipeline security market research report', 'product market research']","[['Robert Schneider', 'CEO'], 'https://au.linkedin.com/in/robert-schneider-2a170028']","[['Information TechnologySecurity'], 'https://www.crunchbase.com/organization/sense-of-security']","['2002', 'https://www.crunchbase.com/organization/sense-of-security']","['$3.2M', 'None']",None,None,"['77', 'None']","['Private', 'https://www.crunchbase.com/organization/sense-of-security']",0.25,0.0,0.0,0.0,0.0625
Working at Lockheed Martin Corporation,https://www.lockheedmartinjobs.com/,When you work for Lockheed Martin  you pursue innovation with a purpose. Browse our available career opportunities. Lockheed Martin. Your Mission is Ours.,lockheedmartinjobs,None,"['community.relations@lmco.com', 'https://www.crunchbase.com/organization/lockheed-martin']",None,"['lockheed martin', 'lockheed martin heroes', 'lockheed martin engineers', 'lockheed martin aeronautics', 'lockheed martin rotary', 'lockheed martin space', 'lockheed martin syracuse', 'lockheed martin energy', 'lockheed martin company', 'lockheed martin missiles']",None,"[['Cyber SecurityNational SecuritySecurity'], 'https://www.crunchbase.com/organization/lockheed-martin']","['Mar 15, 1995', 'https://www.crunchbase.com/organization/lockheed-martin']",None,None,None,None,"['Public', 'https://www.crunchbase.com/organization/lockheed-martin']",0.0,0.0,0.0,0.0,0.0
Chemwatch: Chemical Safety and SDS Management Systems,https://www.chemwatch.net/,World's leader in Chemical Authoring  Chemical Regulatory Information and SDS Management Systems.,chemwatch.net,"['1227 GLEN HUNTLY RD GLEN HUNTLY, VICTORIA, 3163 Australia', 'https://www.dnb.com/business-directory/company-profiles.chemwatch_training_services_pty_ltd.4a29205150335beaa676157c130b8044.html']","['ales@chemwatch.net', 'https://www.chemwatch.net/contact/']","['+64 211 946 740', 'https://www.chemwatch.net/contact/']","['new chemical substances', 'new chemical assessments', 'other chemicals', 'new chemical substance notification', 'many other chemicals', 'chemical use', 'chemical substances', 'chemical formula', 'certain chemical compounds', 'many chemicals']","[['BIALKOWER BERNARD', 'Chief Executive Officer'], 'https://www.dnb.com/business-directory/company-profiles.chemwatch_training_services_pty_ltd.4a29205150335beaa676157c130b8044.html']","[['ChemicalHealth CareInformation Technology'], 'https://www.crunchbase.com/organization/chemwatch']","['Jan 1, 1983', 'https://www.crunchbase.com/organization/chemwatch']","['$723,000 USD', 'https://www.dnb.com/business-directory/company-profiles.chemwatch_training_services_pty_ltd.4a29205150335beaa676157c130b8044.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/chemwatch']",0.75,0.25,0.0,0.0,0.25
