title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Slack: Welcome to your new HQ,https://slack.com/,Slack is a new way to communicate with your team. It’s faster  better organised and more secure than email.,slack,None,"['feedback@slack.com', 'https://www.crunchbase.com/organization/slack']",None,None,"[['Melanie Slack', 'CEO'], 'https://www.insurancebusinessmag.com/au/special-reports/hot-list-2018/melanie-slack-ceo-australia-and-new-zealand-swiss-re-corporate-solutions-93073.aspx']","[['CollaborationEnterprise SoftwareMessagingReal TimeSaaSSoftware'], 'https://www.crunchbase.com/organization/slack']","['Jan 1, 2009', 'https://www.crunchbase.com/organization/slack']",None,None,None,None,"['Public', 'https://www.crunchbase.com/organization/slack']",0.5,0.0,0.375,0.0,0.21875
Science Industry Australia: Home,http://www.scienceindustry.com.au/,,scienceindustry,"['13 /62 Ramset Drive, Chirnside Park, Victoria 3116 Australia', 'http://www.scienceindustry.com.au/index.php/members-1/member-list/ezzivision']","['resources@industry.gov.au', 'https://www.crunchbase.com/organization/department-of-industry-innovation-and-science']","['+61 3 9872 5111', 'http://www.scienceindustry.com.au/index.php/about/privacy']","['science industry australia ltd', 'laboratory safety science industry australia', 'science industry australia', 'australasian laboratory managers association science industry australia', 'science industry australia members', 'australia pty ltd', 'privacy science industry australia', 'science industry australia ltd.', 'biomelbourne network science industry australia ltd', 'labware australia pty ltd']","[['Matthew Cossey', 'CEO'], 'https://www.croplife.org.au/media/media-releases/experts-to-continue-to-lead-australias-plant-science-industry/']","[['GovernmentOffice Administration'], 'https://www.crunchbase.com/organization/department-of-industry-innovation-and-science']",None,"['$145,811 USD', 'https://www.dnb.com/business-directory/company-profiles.science_industry_australia_incorporated.09504b42f232dc64412a2961bfbb8367.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/department-of-industry-innovation-and-science']",0.25,0.25,0.0,0.0,0.125
Interdisciplinary Maternal Perinatal Australasian ... - PSANZ,https://impact.psanz.com.au/,,impact.psanz,"['374 Bagot Road Subiaco WA 6008 Australia', 'https://impact.psanz.com.au/clinical-trials/clinical-trials-2/?Sort=Topic&Dir=ASC&start=0&Filter=All&action_download=true']","['makeaDIF@socialventures.com.au', 'https://www.crunchbase.com/organization/social-ventures-australia']","['+64 9 923 7720', 'https://impact.psanz.com.au/clinical-trials/clinical-trials-2/?Sort=StatusRecruitment&Dir=ASC&start=0&Filter=Current']","['randomised controlled trial', 'canberra hospital logan hospital', 'townsville hospital dandenong hospital', 'randomised trials', 'controlled trial', 'randomised clinical trials', 'hospital', 'royal hospital', 'mercy hospital women', 'children hospital']","['Michael Traill', 'founder(s)', 'https://www.crunchbase.com/organization/social-ventures-australia']","[['ConsultingImpact InvestingVenture Capital'], 'https://www.crunchbase.com/organization/social-ventures-australia']","['2002', 'https://www.crunchbase.com/organization/social-ventures-australia']",None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Transparency Market Research: Market Research Reports ...,https://www.transparencymarketresearch.com/,Transparency Market Research offers meticulously researched market studies backed by 4 million hours of research experience. Currently handling over 350 ...,transparencymarketresearch,None,"['hr@transparencymarketresearch.com', 'https://www.transparencymarketresearch.com/career/home']",None,"['market injection molded plastics market', 'market report', 'global construction market', 'markets', 'market research', 'global antibacterial drugs market', 'global atrial fibrillation market asia pacific endocrine testing market', 'market players', 'market trends', 'oil market report']","[['Community Acquired Pneumonia Market ', 'Global ..._LinkedIn'], 'from linkedin search google']","['Finance and insurance, Manufacturing', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Welcome to the LabWare LIMS Solutions web site,https://www.labware.com/,,labware,"['1101 Whitehorse Road Box Hill Victoria 3128 Australia', 'https://www.labware.com/lwwebdev3.nsf/child4_1.xsp?OpenXpage&p1=Contact-Us&p2=Asia-Pacific&p3=Australia-and-New-Zealand&p4=']","['info@labware.com', 'https://www.crunchbase.com/organization/labware']","['+61 (0) 3 9898 7814', 'https://www.labware.com/lwwebdev3.nsf/child4_1.xsp?OpenXpage&p1=Contact-Us&p2=Asia-Pacific&p3=Australia-and-New-Zealand&p4=']","['labware saas lims', 'ready labware saas lims', 'labware', 'labware system', 'labware mobile', 'labware services', 'labware lims', 'labware development', 'labware verification', 'labware table']","[['Karl Mandekic', 'CEO'], 'https://au.linkedin.com/in/karl-mandekic-1407a5110']","[['Information TechnologyManufacturing'], 'https://www.crunchbase.com/organization/labware']","['1987', 'https://www.crunchbase.com/organization/labware']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/labware']",1.0,0.25,0.0,0.0,0.3125
MedRecruit: Locum and Permanent Doctor Jobs,https://www.medrecruit.com/,MedRecruit is a medical recruitment agency offering locum and permanent doctor jobs throughout Australia & New Zealand. Our team of recruitment specialists ...,medrecruit,"['Remarkables House L 2 26 Hawthorne Drive , Frankton Queenstown, 9300 New Zealand ', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']","['tina.barclay@medrecruit.com', 'https://www.medrecruit.com/blog/day-life-general-practitioner-jobs/']","['+64 3 4412470', 'https://www.medrecruit.com/privacy-policy/']","['new doctor jobs', 'medical doctors', 'more doctor jobs', 'permanent doctor jobs', 'available doctor jobs', 'good doctors', 'locum doctors', 'new doctors', 'doctor recruitment agency', 'permanent doctor job opportunities']","[['Sam Bolton Hazledine', 'Director'], 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']","['Employment Services', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']","['22 June 2015', 'https://opencorporates.com/companies/nz/5732610']","['4M', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/5732610']","['57', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']","['Private Independent', 'https://app.avention.com/company/76461bed-afaa-3df3-8749-826b8f48eb83#report/company_summary']",0.0,0.25,0.375,0.0,0.15625
InterSystems: Database Management & Healthcare ...,https://www.intersystems.com/,Discover InterSystems  an industry-leading vendor for database management  rapid application development and integration  and healthcare information ...,intersystems,"['Level  12 , 383 Kent Street Sydney NSW 2000 Australia', 'https://www.intersystems.com/who-we-are/worldwide-offices/']","['ap.sales@inter-systems.com', 'https://www.crunchbase.com/organization/intersystems-c6f3']","['+61 403 352 232', 'https://www.intersystems.com/news-events/news/news-item/rxmx-builds-chameleon-technology-platform-on-intersystems-iris-for-health-to-accelerate-the-safe-use-of-medicines-globally/']","['intersystems iris intersystems', 'intersystems healthshare intersystems', 'intersystems caché', 'intersystems iris data platform intersystems', 'caché 5.0.x intersystems', 'uses intersystems caché database system', 'intersystems data platform', 'intersystems data platform technology', 'intersystems data management technology', 'aix intersystems bv caché']","[['Alexandre Thomas WOLFORD', ' director'], 'https://opencorporates.com/companies/nz/7159313']","[['Information TechnologyProfessional Services'], 'https://www.crunchbase.com/organization/intersystems-c6f3']","['1976', 'https://www.crunchbase.com/organization/intersystems-c6f3']","['39M', 'https://app.avention.com/company/0e9227d2-aa0e-3db2-a9f2-8145d0b5c8c9#report/company_summary']",None,"[' Brisbane, Queensland, Australia', 'https://www.crunchbase.com/organization/intersystems-c6f3']","['162', 'https://app.avention.com/company/0e9227d2-aa0e-3db2-a9f2-8145d0b5c8c9#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/intersystems-c6f3']",0.25,0.25,0.25,0.0,0.1875
SGS New Zealand | When You Need To Be Sure,https://www.sgs.co.nz/,SGS is the world's leading inspection  verification  testing and certification company. We are recognized as the global benchmark for quality and integrity._,sgs,"['Level  4 , 8 Rockridge Avenue, Penrose Onehunga Auckland 1061 New Zealand', 'https://www.sgs.co.nz/en/our-company/compliance-and-integrity/integrity-at-sgs']",None,"['+64 9 634 3637', 'https://www.sgs.co.nz/en/our-company/compliance-and-integrity/integrity-at-sgs']","['organismo de certificação de que não', 'o organismo de certificação de que não deseja renovar', 'organismo de certificação que', 'ao organismo de certificação', 'pelo organismo de certificação', 'conditions sgs', 'organismo de certificação e fechada', 'contra o organismo de certificação', 'sgs documents', 'sgs société générale de surveillance sa']","[['Frankie Ng', 'CEO'], 'https://www.sgs.com.au/en-gb/our-company/about-sgs/operations-council']","[['CommercialProfessional Services'], 'https://www.crunchbase.com/organization/australian-radiation-services']","['1986', 'https://www.crunchbase.com/organization/australian-radiation-services']","['$194.13 million USD', 'https://www.dnb.com/business-directory/company-profiles.sgs_australia_pty_ltd.4b96d76019d188f1d7bd538b1d0acb5c.html']",None,"['Australia', 'https://opencorporates.com/companies/au/632513412']",None,"['Private', 'https://www.crunchbase.com/organization/australian-radiation-services']",0.25,0.25,0.0,0.0,0.125
Biopharma Dealmakers - Nature,https://www.nature.com/biopharmdeal,Biopharma Dealmakers brings together life sciences companies and individuals looking to identify and attract partners and dealmaking opportunities. ,biopharmadealmakers.nature,"['9 CHILVERS ROAD THORNLEIGH, NEW SOUTH WALES, 2120 Australia', 'https://www.dnb.com/business-directory/company-profiles.rainbow_and_nature_pty_ltd.0638050d75b04ce1.html']","['support@hipages.com.au', 'https://www.crunchbase.com/organization/hipages-group']","['+649-2013-0052', 'https://www.nature.com/articles/s41599-019-0272-3']","['other nature research journals', 'springer nature research journals', 'published nature journal authors', 'nature research authors', 'relevant nature research journals', 'new nature journals', 'springer nature journals', 'nature research errata webcasts author information', 'university college london', 'nature research policies']","['David Vitek', 'founder(s)', 'https://www.crunchbase.com/organization/hipages-group']","[['AdvertisingHome and GardenHome ImprovementHome RenovationHome ServicesLead Generation'], 'https://www.crunchbase.com/organization/hipages-group']","['2006', 'https://www.crunchbase.com/organization/hipages-group']","['$5.06 million USD', 'https://www.dnb.com/business-directory/company-profiles.rainbow_and_nature_pty_ltd.0638050d75b04ce1.html']",None,None,None,"['Private', 'https://www.crunchbase.com/organization/hipages-group']",0.0,0.25,0.0,0.0,0.0625
MinterEllison - Legal and Consulting - MinterEllison,https://www.minterellison.com/,Discover our legal and consulting services for your industry. Our people are ready whenever you need us.,minterellison,"['L 40 Governor Macquarie Tower 1 Farrer Pl Sydney, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.minter_ellison.432f53c568d111f4.html']","['enquiries@oaic.gov.au', 'https://www.minterellison.com/privacypolicy']","['+61 419 585 488', 'https://www.minterellison.com/people/kathy_reid']","['commercial legal services', 'legal services', 'financial services businesses', 'legal teams', 'commercial legal counsel', 'major financial services client', 'legal risk', 'legal issues', 'innovative legal teams', 'financial services organisations']","[['Annette Kimmitt', 'CEO'], 'https://www.minterellison.com/people/annette-kimmitt']","[['Law EnforcementLegalProfessional Services'], 'https://www.crunchbase.com/organization/minter-ellison']","['1827', 'https://www.crunchbase.com/organization/minter-ellison']","['$35.69 million USD', 'https://www.dnb.com/business-directory/company-profiles.minter_ellison.432f53c568d111f4.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/1151899']",None,"['Private', 'https://www.crunchbase.com/organization/minter-ellison']",0.25,0.25,0.0,0.0,0.125
