title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Australia's leading consumer advocacy group | CHOICE,https://www.choice.com.au/,Read independent and unbiased reviews  product tests  articles  information and buying guides from the experts at CHOICE. Includes appliances  electronics  technology  food and drink  babies and kids  outdoor  health and body and home improvement.,choice,"['57 Carrington Road Marrickville, NSW, 2204 Australia', 'https://www.choice.com.au/policies-terms-and-conditions/privacy-policy']","['ausconsumer@choice.com.au', 'https://www.crunchbase.com/organization/choice']","['1800 806 380', 'https://www.choice.com.au/health-and-body/health-practitioners/doctors/articles/doctor-patient-relationships']","['free test models', 'other models', 'other product review sites', 'other products', 'audio score noise test products', 'many other vacuums', 'many other health problems', 'tested models', 'other dyson models', 'other batteries']","[['CEO Alan Kirkland', 'CEO'], 'https://www.choice.com.au/about-us/from-our-ceo']","[['AssociationConsumerConsumer ResearchNon Profit'], 'https://www.crunchbase.com/organization/choice']","['1959', 'https://www.crunchbase.com/organization/choice']","['$296,469 USD', 'https://www.dnb.com/business-directory/company-profiles.choice_connect_pty_ltd.2a05df53307513ca42f28c747b7db660.html']",None,"['Australia', 'https://opencorporates.com/companies/au/634038332']",None,"['Private', 'https://www.crunchbase.com/organization/choice']",0.5,0.25,0.0,0.0,0.1875
Raising Children Network,https://raisingchildren.net.au/,raisingchildren.net.au provides ad-free parenting videos  articles and apps backed by Australian experts. Read more · Pregnancy · Newborns.,raisingchildren.net.au,"['Level  5 , 232 Victoria Parade East Melbourne, Victoria 3002 Australia', 'https://raisingchildren.net.au/legal/privacy']",None,"['+61-407839298', 'https://app.avention.com/company/1c939b09-902d-3760-aa51-b5115ed7780b#report/company_summary']","['autistic children', 'children', 'children professionals', 'child development', 'support children', 'other interventions', 'intervention programs', 'individual children', 'young autistic children', 'typical children']","['Alexander Badran', 'founder(s)', 'https://www.crunchbase.com/organization/spriggy']","[['AppsE-LearningMobile'], 'https://www.crunchbase.com/organization/spriggy']","['2015', 'https://www.crunchbase.com/organization/spriggy']","['402k', 'https://app.avention.com/company/1c939b09-902d-3760-aa51-b5115ed7780b#report/company_summary']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/spriggy']","['4', 'https://app.avention.com/company/1c939b09-902d-3760-aa51-b5115ed7780b#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/spriggy']",1.0,0.0,0.0,0.0,0.25
Royal Caribbean,https://www.royalcaribbean.com/,Cruise to unforgettable destinations with Royal Caribbean. Save with the best cruise deals and packages to the Caribbean and the Bahamas. Start your dream vacation with a cruise to Alaska  the Mediterranean  Mexico  or the South Pacific.,royalcaribbean,"['130 Argyle St The Rocks NSW 2000 Australia', 'https://www.royalcaribbean.com/faq/topics/directions-cruise-port']","['royalguestrelations@rccl.com', 'https://www.royalcaribbean.com/faq/topics/post-cruise-inquiries']","['1300173769', 'http://www.royalcaribbean.com.au/customersupport/travelagentLocate.do?wuc=AUS']","['cruise terminal', 'shekou cruise terminal royal caribbean international', 'alaska cruise terminal', 'wusongkou international cruise terminal', 'denmark cruise port terminal', 'spain cruise terminal', 'cruise guests', 'england cruise terminal', 'florida cruise terminal', 'italy cruise terminal']","[['Richard D. Fain', 'Chairman'], 'https://www.royalcaribbean.com/aus/en/about-us/richard-d-fain']","[['Adventure TravelFood and BeverageLeisureLifestyleTravelTravel Agency'], 'https://www.crunchbase.com/organization/royal-caribbean-international']","['1968', 'https://www.crunchbase.com/organization/royal-caribbean-international']",None,None,None,None,"['Public', 'https://www.crunchbase.com/organization/royal-caribbean-international']",0.25,0.25,0.0,0.0,0.125
Mooloolah River Fisheries: Home,https://mooloolahfish.com.au/,,mooloolahfish,"['201 Parkyn Parade,  Mooloolaba QLD 4557', 'https://mooloolahfish.com.au/']","['tamworth@superiorfs.com.au', 'https://mooloolahfish.com.au/']","['+613 9538 0800', 'https://mooloolahfish.com.au/terms-and-conditions']","['australian meat products', 'lamb supply', 'lamb products', 'australian lamb production', 'lamb prices', 'other food allergies', 'record lamb prices', 'many food outlets', 'many pre-marinated meat products', 'australian lamb exports']","[['CRAIG RAYMOND PHILLIPS', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.mooloolah_river_fisheries_pty_ltd.d60297d463849448455a3d2d75f6069f.html']","['Manufacturing, Agriculture', 'from_classification_model']",None,"['$505.11 million USD', 'https://www.dnb.com/business-directory/company-profiles.mooloolah_river_fisheries_pty_ltd.d60297d463849448455a3d2d75f6069f.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.mooloolah_river_fisheries_pty_ltd.d60297d463849448455a3d2d75f6069f.html']",1.0,0.25,0.0,0.0,0.3125
The Hills Clinic,https://thehillsclinic.com.au/,The Hills Clinic is a specialist practice  providing private psychiatric and psychological treatment for a range of mental health issues inc. depression,thehillsclinic,"['26 HUME AVENUE CASTLE HILL, NEW SOUTH WALES, 2154 Australia', 'https://www.dnb.com/business-directory/company-profiles.dr_vesna_pashu_pty_ltd.106cff9ddc7da348822e6fbd24c2ecf4.html']","['customersupport@hills.com.au', 'https://www.crunchbase.com/organization/hills-limited']","['+612 9659 5899', 'https://thehillsclinic.com.au/visitors-and-carers/visitor-faqs']","['mental health disorders', 'mental health treatment', 'other mental health disorders', 'general mental health information', 'mental health services', 'complex mental health disorders', 'private mental health care', 'mental health conditions', 'mental health issues', 'mental health problems']","[['Dr Ted Cassidy', 'founder'], 'https://thehillsclinic.com.au/specialists/dr-ted-cassidy']","[['Business Information SystemsSoftware'], 'https://www.crunchbase.com/organization/hills-limited']","['1945', 'https://www.crunchbase.com/organization/hills-limited']","['$273,440 USD', 'https://www.dnb.com/business-directory/company-profiles.dr_vesna_pashu_pty_ltd.106cff9ddc7da348822e6fbd24c2ecf4.html']",None,"['Australia', 'https://opencorporates.com/companies/au/161801734']",None,"['Public', 'https://www.crunchbase.com/organization/hills-limited']",0.375,0.25,0.25,0.0,0.21875
EthicalJobs.com.au :: Not-For-Profit & Community Jobs around ...,https://www.ethicaljobs.com.au/,Find community jobs  environmental jobs  not-for-profit jobs and social work jobs in Melbourne  Sydney  Brisbane  Perth & Adelaide.,ethicaljobs,"['Level  1 , 14-24 Easey St Collingwood, Melbourne, VIC 3066', 'https://www.ethicaljobs.com.au/organic-farming-gardening-jobs?modal=contact']","['info@ethicaljobs.com.au', 'https://www.crunchbase.com/organization/ethical-jobs']","['+613 9419 5979', 'https://www.ethicaljobs.com.au/privacypolicy']","['organiser support coordinator support worker', 'support support', 'community service experience', 'migration support program project officer therapeutic support worker nursing', 'casual community support worker', 'support team', 'support service', 'disability support worker', 'community support program', 'support officer']","[['MICHAEL CEBON', 'Owner'], 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_two_trees_trust.97baad747ed887cc7754d233bd43d30a.html']","[['Online PortalsRecruitingStaffing Agency'], 'https://www.crunchbase.com/organization/ethical-jobs']","['Jan 1, 2009', 'https://www.crunchbase.com/organization/ethical-jobs']","['$145,811 USD', 'https://www.dnb.com/business-directory/company-profiles.the_trustee_for_two_trees_trust.97baad747ed887cc7754d233bd43d30a.html']",None,"[' Collingwood, Victoria, Australia', 'https://www.crunchbase.com/organization/ethical-jobs']",None,"['Private', 'https://www.crunchbase.com/organization/ethical-jobs']",0.25,0.25,0.25,0.0,0.1875
Sydney Moving Guide: Everything You Need for Your Move to ...,https://www.sydneymovingguide.com/,You're moving to Australia! Are you excited? Overwhelmed? Or maybe a bit of both? My Australia Moving Checklist will help you get started.,sydneymovingguide,"['1 Foundation Place, Pemulwuy, NSW 2145', 'https://www.sydneymovingguide.com/expat-directory/listing/allied-pickfords/']",None,"['+61 2 4914 1131', 'https://www.sydneymovingguide.com/expat-directory/listing/iman-australian-health-plans/']","['australia australia', 'australia moving checklist homeaway australia', 'visa australia', 'australia visa policies', 'international moving services', 'australia posts', 'cpa australia', 'south australia', 'gumtree australia', 'australia question']",None,"['Finance and insurance, Real estate', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Isabella Plains Medical Centre | Health Care Centre Canberra ...,https://www.isabellamedical.com.au/, Experienced specialists atin Canberra  ACT offer comprehensive treatment for all age groups including men  women and children..,isabellamedical,"['9 Arakoon Crescent Isabella Plains ACT 2905', 'https://www.isabellamedical.com.au/']","['human.rights@act.gov.au', 'https://www.isabellamedical.com.au/contact-us-family-practice-canberra-act.html']","['+61-262928899', 'https://www.dnb.com/business-directory/company-profiles.janaki_pty_ltd__d_sharma.6a28290444a0821f138448c696fb4cfb.html']","['usa', 'usa hypertension', 'usa kath', 'usa sandra', 'usa https://www', 'usa divya', 'usa arthritis', 'usa usha', 'usa brendon', 'usa orange']","[['DIVYA SHARMA', 'Partner'], 'https://www.dnb.com/business-directory/company-profiles.janaki_pty_ltd__d_sharma.6a28290444a0821f138448c696fb4cfb.html']","['Healthcare, Education', 'from_classification_model']",None,"['$1.67 million USD', 'https://www.dnb.com/business-directory/company-profiles.janaki_pty_ltd__d_sharma.6a28290444a0821f138448c696fb4cfb.html']",None,None,None,"['Partnership Independent', 'https://www.dnb.com/business-directory/company-profiles.janaki_pty_ltd__d_sharma.6a28290444a0821f138448c696fb4cfb.html']",1.0,0.0,0.0,0.0,0.25
Careers - Snedden Hall & Gallop Lawyers,https://www.shglawyers.com.au/about/careers/,Canberra law firm career opportunities: Find out if there are any positions vacant for lawyers or other law firm staff at Snedden Hall & Gallop Lawyers.,shglawyers,"['43 -49 Geils Court,\xa0Deakin ACT 2600', 'https://www.shglawyers.com.au/contact/']","['info@shglawyers.com.au', 'https://www.shglawyers.com.au/about/careers/']","['+61262858000', 'https://www.shglawyers.com.au/search/tel:0262858000']","['canberra sports law event', 'other legal information', 'canberra businesses', 'snedden hall', 'other laws', 'personal injury claims', 'personal deakin master builders act competition law', 'employment law issues', 'court proceedings snedden hall', 'act government work']",None,"['Finance and insurance, Education', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Healthpages: Home,https://healthpages.co.nz/,"Healthpages is a leading online reference resource for all New Zealanders. The site features a comprehensive directory of health and well-being services._Healthpages is a leading online reference resource for all New Zealanders. The site features a comprehensive directory of health and well-being services._Mental health  counselling  migrane  nerve injuries  neurology  neurosurgery  spinal surgery  brain injury & neurological support... 
Includes pacemaker insertion  ECG  arrhythmia  angiography  angioplasty  cardiac surgery ",healthpages,"['209 Shakespeare Rd Milford, Auckland New Zealand', 'https://healthpages.co.nz/directory/listing/shoulder-surgery-peter-poon']","['enquiries@cervinmedia.co.nz', 'https://healthpages.co.nz/contact-us/']","['+64 9 360 8700', 'https://healthpages.co.nz/book-orders/']","['orthopaedic surgery services', 'physiotherapy treatment services', 'contact mr', 'auckland dr', 'gynaecological laparoscopic surgery contact christchurch resettlement services', 'contact mr peter poon contact', 'contact dr', 'mr andrew bowker neurologist general surgery', 'mohs micrographic surgery general surgery', 'contact contact boulcott hospital specialist centre']","[['ISMAIL JABOUR HUSSEIN ALHEJAJ', 'Owner'], 'https://www.dnb.com/business-directory/company-profiles.jerilderie_medical_centre.f7cb4d7a9605bea44f193e25cf58b218.html']","['Healthcare, Arts, entertainment and recreation', 'from_classification_model']",None,"['$187,298 USD', 'https://www.dnb.com/business-directory/company-profiles.jerilderie_medical_centre.f7cb4d7a9605bea44f193e25cf58b218.html']",None,None,None,"['Sole\xa0Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.jerilderie_medical_centre.f7cb4d7a9605bea44f193e25cf58b218.html']",0.25,0.25,0.0,0.0,0.125
