title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Road Science: Innovative Roading & Pavement Solutions,https://www.roadscience.co.nz/,Road Science roading and pavement technology is created and supported by science  with access to a large supply chain network for the complete roading solution.,roadscience,None,"['ross.godkin@roadscience.co.nz', 'https://www.roadscience.co.nz/ross-godkin']","['0800 180 200', 'https://www.roadscience.co.nz/']","['science road science', 'road science products', 'road science laboratory', 'road science pmb', 'https://lnkd.in/gwsbd7c new road science product names', 'road science clients', 'road science general manager', 'sabine chambon road science', 'science', 'new zealand']","[['Stuart McFadyen ', 'Transport Logistics Manager ..._LinkedIn'], 'from linkedin search google']","['Manufacturing, Construction', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Comtest Labs,https://comtestlabs.com.au/,"Electronics compliance for the Australian market. Electrical product 
testing  certification & compliance folder management for ACMA standards_Electronics compliance for the Australian market. Electrical product testing  certification & compliance folder management for ACMA standards",comtestlabs,"['61 3 9645 5933 1/570 City Rd South Melbourne VIC 3205 Australia', 'https://comtestlabs.com.au/contact-us']","['comtest@comtest.com.au', 'https://comtestlabs.com.au/cart']","['+61 3 9645 5933', 'https://comtestlabs.com.au/cart']","['product testing', 'electrical safety testing services', 'australian compliance standards', 'australian compliance', 'electrical compliance', 'testing equipment', 'australian requirements', 'australian compliance legislation', 'other products', 'products']",None,"['Manufacturing, Services - professional, scientific, and technical', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Vetplus || Veterinary Business Support Program,https://www.localvet.com.au/,,localvet,"['71 Ijong St, Braddon ACT 2612', ['Inner North Veterinary Hospital-Davies Peter, address', 'knowledge_panel']]",None,"['+61-894571008', 'https://www.dnb.com/business-directory/company-profiles.local_vet_pty_ltd.23d96d89e94257981357af5e69c733ba.html']","['© boehringer ingelheim', 'boehringer ingelheim animal health australia pty.', 'ltd. click', 'vetplus', 'boehringer ingelheim 2020', 'login', 'username/password', 'a registered trademark', 'you']","[['PAUL CHRISTOPHER BURNIE DAVEY', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.local_vet_pty_ltd.23d96d89e94257981357af5e69c733ba.html']","['Finance and insurance, IT - Software', 'from_classification_model']",None,"['$1.57 million USD', 'https://www.dnb.com/business-directory/company-profiles.local_vet_pty_ltd.23d96d89e94257981357af5e69c733ba.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.local_vet_pty_ltd.23d96d89e94257981357af5e69c733ba.html']",0.0,0.0,0.0,0.0,0.0
Clinical Genomics AUS - Home,https://www.colovantage.com.au/,ColoVantage Home is based on the latest technology to detect hidden bleeding  which may indicate colorectal disease.,colovantage,"['2 Eden Park Drive North Ryde, NSW 2113 Australia', 'https://www.colovantage.com.au/contact.html']","['info@clinicalgenomics.com', 'https://www.colovantage.com.au/colovantage.html']","['+612 9887 5300', 'https://www.colovantage.com.au/contact.html']","['test kit shipments', 'clinical genomics us', 'robert bruce clinical genomics', 'clinical genomics', 'director colovantage', 'completed tests', 'colovantage home test kit', 'director robert max mawhinney', 'test instructions', 'us betsy hanna clinical genomics australia katherine kalin']","[['Kimberly Duque ', 'Quality Control Scientist ..._LinkedIn'], 'from linkedin search google']","['Healthcare, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Home - IDEXX Australia,https://www.idexx.com.au/en-au/,,idexx,"['Unit  6 , 38-46 South Street Rydalmere, NSW 2116 AUSTRALIA', 'https://www.idexx.com.au/en-au/water/water-products-services/idexx-qc/']","['contactdirectors@idexx.com', 'https://www.crunchbase.com/organization/idexx-laboratories']","['+64-7-839-1471', 'https://www.idexx.com/en/about-idexx/locations/']","['idexx snap', 'catalyst tests idexx', 'test product insert idexx', 'idexx catalyst', 'idexx snap t step', 'idexx laboratories', 'idexx customers', 'call idexx', 'idexx water', 'idexx cbc']","[['Carl Eden ', 'General Manager (Commercial) NZ_IDEXX ...'], 'from linkedin search google']","[['Health CareLivestockVeterinary'], 'https://www.crunchbase.com/organization/idexx-laboratories']","['1983', 'https://www.crunchbase.com/organization/idexx-laboratories']","['$5M', 'None']","['$0', 'None']",None,"['92', 'None']","['Public', 'https://www.crunchbase.com/organization/idexx-laboratories']",1.0,0.25,0.0,0.0,0.3125
Yumpu - Publishing digital magazines worldwide,https://www.yumpu.com/en,,yumpu,None,"['revista@supervarejo.com.br', 'https://www.yumpu.com/pt/document/view/25438243/capa-dinheiro-que-faz-bem-apas']","['+64 6600 78 78', 'https://www.yumpu.com/en/document/view/52770944/herren-c-01-02-03-04-05-06-07-08-09-10-11-12-13-14-15-16-17-18']","['de lunivers de la', 'de consumo de conteúdo', 'la ligue de football de', 'de la', 'protocolos y medidas de seguridad de', 'de final de ano contam', 'ligue de football de martiniique', 'de visibilidade empresarial de ilhéus', 'deposito de minério de ferro', 'plataformas de consumo de conteúdo']","[['Jim Ruddy ', 'National Technical Specialist ..._LinkedIn'], 'from linkedin search google']","['Healthcare, Agriculture', 'from_classification_model']",None,None,None,None,None,None,0.0,0.25,0.0,0.0,0.0625
Geostats Pty Ltd | Certified Reference Materials | Laboratory ...,http://www.geostats.com.au/,,geostats,"[""20 Hines Road O'Connor 6163 WA Australia"", 'http://www.geostats.com.au/']","['vikas@xpean.com.au', 'https://www.crunchbase.com/organization/xpean-pty-ltd']","['+61 8 9314 2566', 'http://www.geostats.com.au/']","['laboratory quality control', 'geostats pty ltd geostats pty ltd', 'certified reference material', 'certified reference material search certified reference material safety data sheet search example', 'exploration quality control data', 'standard materials', 'individual reference materials', 'matched certified reference materials online search as', 'geostats geostats', 'blank material']","[['Peter Hayes', 'Managing_Director'], 'https://au.linkedin.com/in/peter-hayes-340a201a']","[['SoftwareWeb DesignWeb Development'], 'https://www.crunchbase.com/organization/xpean-pty-ltd']","['Sep 1, 2008', 'https://www.crunchbase.com/organization/xpean-pty-ltd']",None,None,None,None,"['Private', 'https://www.crunchbase.com/organization/xpean-pty-ltd']",0.25,0.25,0.0,0.0,0.125
Compliance Gate: Product Safety & Labeling for Importers ...,https://www.compliancegate.com/,We help Importers  Exporters and Amazon sellers with product lab testing  product labeling  certification and more.,compliancegate,None,None,None,None,None,"['Manufacturing, Utilities', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Electronics Online: industry news_ comment_ feature articles ...,https://www.electronicsonline.net.au/,What’s New in Electronics magazine and the Electronics Online website providing The latest industry news  articles  Case studies  products  directory  Events_,electronicsonline.net.au,"['2226 North Ryde BC NSW 1670 Australia', 'https://www.electronicsonline.net.au/privacy']","['privacy@westwick-farrow.com.au', 'https://www.electronicsonline.net.au/terms']","['+612 4722 3388', 'https://www.electronicsonline.net.au/directories/rolec-okw-australia-new-zealand-pty-ltd-978832855']","['power system design', 'high power', 'high power requirements', 'uninterruptible power system', 'dc power supplies', 'high power handling', 'dc power', 'power supplies', 'ac power supplies', 'low power']","['Sean Senvirtne', 'founder(s)', 'https://www.crunchbase.com/organization/mydeal-com-au']","[['E-CommerceMarketplaceRetailShopping'], 'https://www.crunchbase.com/organization/mydeal-com-au']","['Mar 28, 2011', 'https://www.crunchbase.com/organization/mydeal-com-au']","['$3.67 million USD', 'https://wwAventri | Event & Meeting Management Technology,https://www.aventri.com/,Aventri's event management technology has helped thousands of brands globally transform the way they plan and execute meetings and events whCertification Body Australia (CBA) | BE REWARDED FOR ...,http://certificationbody.com.au/,,certificationbody,"['1 , 169 Mona Vale Road, St Ives NSW 2075 Australia', 'http://certificationbody.com.au/']","['info.americas@saiglobal.com', 'https://www.crunchbase.com/organization/sai-global']","['+61 2 9099 1557', 'http://certificationbody.com.au/contacts/']","['product safety risks', 'product safety', 'stronger product safety laws', 'product compliance', 'product safety australia regulatory marking requirement', 'consumer products', 'products', 'unsafe products', 'acoustic safety requirement', 'product industry']","[['Günther Theisz', 'Managing_Director'], 'https://au.linkedin.com/in/g%C3%BCnther-theisz-0a2b3223']","[['Information ServicesRisk ManagementSoftwareSupply Chain Management'], 'https://www.crunchbase.com/organization/sai-global']","['2003', 'https://www.crunchbase.com/organization/sai-global']",None,None,"['Australia', 'https://opencorporates.com/companies/au/604007472']",None,"['Private', 'https://www.crunchbase.com/organization/sai-global']",0.25,0.25,0.75,0.0,0.3125
Electrical Test & Tag Services | Jim's Test and Tag Company,https://www.jimstestandtag.com.au/,Looking for test and tag services? Jim's Test and Tag provides affordable tagging services. ✓ Leading experts ✓ FREE quote ✓ Friendly service,jimstestandtag,"['22 MELVILLE ST CLARENCE GARDENS, SOUTH AUSTRALIA, 5039 Australia', 'https://www.dnb.com/business-directory/company-profiles.davros_management_services_pty_ltd.2dc44295d19cd35ce72b249723853923.html']","['hello@jimstestandtag.com.au', 'https://www.jimstestandtag.com.au/jim-s-test-tag-participated-in-the-perth-franchising-expo/']","['1800 214 795', 'https://www.jimstestandtag.com.au/faqs/']","['electrical testing electrical appliances', 'fire safety testing services', 'fire equipment testing fire protection', 'fire safety equipment', 'electrical testing services', 'electrical safety inspection services', 'fire safety equipment professional test', 'electrical equipment service', 'safety testing services', 'electrical safety standards']","[['DAVID JOHN HAMMOND', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.davros_management_services_pty_ltd.2dc44295d19cd35ce72b249723853923.html']","['IT - Software, Manufacturing', 'from_classification_model']","[' 9 November 2010', 'https://opencorporates.com/companies/nz/3182171']","['$535,000 USD', 'https://www.dnb.com/business-directory/company-profiles.davros_management_services_pty_ltd.2dc44295d19cd35ce72b249723853923.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/3182171']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.davros_management_services_pty_ltd.2dc44295d19cd35ce72b249723853923.html']",0.0,0.25,0.0,0.0,0.0625
