search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Dental management software in australia or newzealand,Best Practice Software – An Evolution In Practice Management,https://bpsoftware.net/,Welcome to Best Practice Software. Our commitment to the medical  specialist and healthcare practitioners of Australasia is that Best Practice Software will continue to evolve to meet your particular needs. Lorraine & Frank Pyefinch Why More Healthcare Practitioners Choose Best Practice Software Best Practice Software programs are written and supported by Australasia’s most experienced health and ... Read more,bpsoftware.net,"['PO Box 1911 ,\xa0Bundaberg Queensland 4670 Australia', 'https://bpsoftware.net/locations/']","['help@doctorscontrolpanel.com.au', 'https://bpsoftware.net/partner-doctors-control-panel/']","['+61 7 3223 7700', 'https://bpsoftware.net/contact-us-3/']","['bp premier bp', 'bp team bp', 'bp premier users', 'bp software', 'best practice software users', 'bp allied users', 'bp premier user', 'best practice users', 'many best practice software users', 'messaging software best practice software']","[['Dr Frank Pyefinch', 'CEO'], 'https://bpsoftware.net/leadership/']","[['AccountingCloud ComputingSoftware'], 'https://www.crunchbase.com/organization/best-practice-solutions']","['2001', 'https://www.crunchbase.com/organization/best-practice-solutions']",None,None,"[' Ivanhoe East, Victoria, Australia', 'https://www.crunchbase.com/organization/best-practice-solutions']",None,"['Private', 'https://www.crunchbase.com/organization/best-practice-solutions']",0.25,0.25,0.0,0.0,0.125
Home care software in australia or newzealand,siemens.com Global Website,https://new.siemens.com/global/en.html,Electrification  automation and digitalization require innovative solutions: Discover Siemens as a strong partner  technological pioneer and responsible employer._Discover Siemens as a strong partner  technological pioneer and responsible employer.,new.siemens,None,None,None,None,"[['Raphaelle Guerineau', 'CEO'], 'https://new.siemens.com/au/en/company/press-centre/2019/raphaelle-guerineau.html']","['Manufacturing, Mining, oil and gas', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Care management software in australia or newzealand,Objective Corporation: Content_ collaboration and process ...,https://www.objective.com.au/,We invite you to join the family. Logo glasgow city council. WC Logo. Logo government western australia.,objective,"['L 30 177 Pacific Hwy North Sydney, New South Wales, 2060 Australia', 'https://app.avention.com/company/85f00e3e-73a8-315a-9f34-b620a1588b3f#report/company_summary']","['info@objective.co.uk', 'https://www.crunchbase.com/organization/objective-corporation']","['+61 2 9955 2288', 'https://www.crunchbase.com/organization/objective-corporation']","['objective objective', 'objective connect objective corporation', 'objective chris britton objective connect', 'use objective connect', 'objective connect workspace', 'objective ecm', 'objective connect webinar', 'design objective connect', 'objective connect share', 'workspace objective']","[['Tony Walls', 'CEO'], 'https://idm.net.au/article/009997-objective-ceo-driver-s-seat']","[['Business DevelopmentManagement Consulting'], 'https://www.crunchbase.com/organization/objective-corporation']","['1987', 'https://www.crunchbase.com/organization/objective-corporation']","['44M', 'https://app.avention.com/company/85f00e3e-73a8-315a-9f34-b620a1588b3f#report/company_summary']",None,"[' North Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/objective-corporation']","['170', 'https://app.avention.com/company/85f00e3e-73a8-315a-9f34-b620a1588b3f#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/objective-corporation']",0.25,0.25,0.375,0.0,0.21875
NDIS claim payment software in australia or newzealand,Brevity Care Software,https://www.brevity.com.au/,Leading software for disability  community and aged care organisations  to make your job easier  your client’s lives better and your business more efficient,brevity,"['9 Lyn Pde, Prestons NSW 2170', 'https://www.brevity.com.au/blog/brevity-product-launch/']","['info@brevity.com.au', 'https://www.brevity.com.au/']","['1300 58 58 87', 'https://www.brevity.com.au/']","['ndis service providers', 'ndis services', 'completed ndis services', 'other ndis providers', 'registered ndis providers', 'many ndis providers', 'most ndis providers', 'ndis providers download brevity', 'ndis support', 'other service providers']","[['Bilal Mafawalla', 'CEO'], 'https://au.linkedin.com/in/bilal-mafawalla-mba-1b90466']","['Healthcare, IT - Software', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
NDIS software in australia or newzealand,Eventbrite - Discover Great Events or Create Your Own & Sell ...,https://www.eventbrite.com/,Eventbrite brings people together through live experiences. Discover events that match your passions  or create your own with online ticketing tools._<function head_title at 0x7f59bd823cf8>,eventbrite,"['Quigg Partners, Level 7, 36 Brandon Street, Wellington Central, Wellington6011NZ', 'https://opencorporates.com/companies/nz/6258090']","['info@gramercybooksbexley.com', 'https://www.eventbrite.com/e/gramercy-book-club-alex-george-and-the-paris-hours-tickets-115207843762?aff=ebdssbonlinesearch']",None,"['event tickets', 'event attendees', 'other event', 'event', 'event emails', 'more events', 'new events', 'event marketing', '#booktube event marketing eventbrite', 'event pages']","[['David John COWPER', ' director'], 'https://opencorporates.com/companies/nz/6258090']","['IT - Software, Education', 'from_classification_model']","['27 March 2017', 'https://opencorporates.com/companies/nz/6258090']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/6258090']",None,"['NZ Unlimited Company', 'https://opencorporates.com/companies/nz/6258090']",0.0,0.0,0.0,0.0,0.0
Hazard management companies in australia or newzealand,Nexia Australia,https://www.nexia.com.au/,This is the site description for the homepage,nexia,"['L 12 31 QUEEN ST MELBOURNE, VICTORIA, 3000 Australia', 'https://www.dnb.com/business-directory/company-profiles.nexia_corporate_melbourne_pty_ltd.9d9e94a962691cb6.html']","['tencia@nexiasydney.com.au', 'https://www.nexia.com.au/sites/default/files/2017-01/Christine%20Atencia_0.vcf']","['+61 2 9251 7138', 'https://www.nexia.com.au/nextregistries']","['nexia tax update', 'uk tax advice', 'income tax', 'tax advice', 'uk tax', 'tax year', 'business clients', 'uk tax experience', 'australian tax advice', 'income tax laws']","[['Ian Stone', 'Chairman'], 'https://www.nexia.com.au/taxonomy/term/22']","['Finance and insurance, Real estate', 'from_classification_model']",None,"['$1.73 million USD', 'https://www.dnb.com/business-directory/company-profiles.nexia_corporate_melbourne_pty_ltd.9d9e94a962691cb6.html']",None,None,None,"['Proprietorship Subsidiary', 'https://www.dnb.com/business-directory/company-profiles.nexia_corporate_melbourne_pty_ltd.9d9e94a962691cb6.html']",0.375,0.25,0.0,0.0,0.15625
Software for NDIS service providers in australia or newzealand,Findojobs Australia. Free Job offers. Employment in Australia,https://au.findojobs.com/,Free job offers in Australia. Publish job offers for free. Employment offers._Find thousands of job opportunities in Findojobs Australia,au.findojobs,"['Level  1 Pier 8/9, 23 Hickson Road Walsh Bay, Sydney, NSW Australia', 'https://au.findojobs.com/jobs/tc5rd2/jobs-of-manager-director-in-new-south-wales']","['info.corp@buscojobs.com', 'https://au.findojobs.com/paginas/terminos']","['+617 3231 1200', 'https://au.findojobs.com/jobs/ts29/jobs-of-trade-representative-sales/10']","['y oferentes de', 'un evento de contratacin y fecha de inicio', 'de empresas y candidatos', 'de la impronta del núcleo de nuestro equipo', 'y al dominio interno de la tecnología', 'de la tecnología', 'y oferentes de oportunidades laborales', 'agregando funcionalidades que enriquecen y facilitan la utilización de empresas y candidatos', 'sales teams', 'y nuestra gran base de']","['Andrew Bassat', 'founder(s)', 'https://www.crunchbase.com/organization/seek-ltd']","[['ConsultingEmploymentInternetRecruiting'], 'https://www.crunchbase.com/organization/seek-ltd']","['1997', 'https://www.crunchbase.com/organization/seek-ltd']",None,None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/seek-ltd']",None,"['Public', 'https://www.crunchbase.com/organization/seek-ltd']",0.25,0.25,0.0,0.0,0.125
NDIS claim payment software in australia or newzealand,MYP,https://www.mypcorp.com/login/clientLogin.aspx,MYP,home.mypcorp,None,None,"['+6107) 3393 2833', ['MYP Corporation, phone', 'knowledge_panel']]","['privacy policy change password', 'privacy policy change', 'unauthorised access', 'cookies', '© myyardstick holdings pty ltd', 'myyardstick holdings pty ltd', 'our web content', 'a personalised experience', 'a password', 'this website']",None,"['Manufacturing, IT - Software', 'from_classification_model']",None,None,"['$0', 'None']",None,"['122', 'None']",None,0.0,0.0,0.0,0.0,0.0
Care management software in australia or newzealand,Ezitracker,https://www.ezitracker.com.au/,Ezitracker workforce management software for FM  cleaning companies  time and attendance monitoring software.,ezitracker,"['Suite  308 685 Burke Road Camberwell VIC 3124', 'https://www.ezitracker.com.au/privacy-policy']","['enquiries@hastl.com', 'https://www.ezitracker.com.au/contact']","['1800 148 778', 'https://www.ezitracker.com.au/contact']","['personal data', 'data', 'data security', 'relevant personal data', 'data protection laws', 'other has technology ltd websites', 'has technology ltd', 'our own personal data', 'the personal data processing activities', 'has technology group']","[['Christian JACKSON', ' director'], 'https://opencorporates.com/companies/nz/1012176']","['IT - Software, Real estate', 'from_classification_model']","[' 1 February 2000', 'https://opencorporates.com/companies/nz/1012176']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/1012176']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/1012176']",0.25,0.25,0.75,0.0,0.3125
Software for dentists in australia or newzealand,NZRelo -The Home of Kiwis in Australia & Relocating to ...,https://www.nzrelo.com/,NZRelo The Home of Kiwis in Australia & Moving to Australia is the greatest website specifically built for New Zealanders relocating - Citizenship Advice  Employment Search  Study Online  Rent A Car  Transfer Your Kiwisaver & much more_NZRelo Kiwis in Australia  Moving to Australia all in one massive helpful  easy to find place. We help our kiwis find work  houses  gigs & entertainment  resumes  buy & sell & much more,nzrelo,"['89 SOVEREIGN DR TWO ROCKS, WESTERN AUSTRALIA, 6037 Australia', 'https://www.dnb.com/business-directory/company-profiles.nzrelocomau_pty_ltd.2b3f910ed2d11e527d9b6ef0dbb10869.html']","['renei@nzrelo.com.au', 'https://www.nzrelo.com/reece-adams-fund/']","['+61407505997', 'https://www.nzrelo.com/forums/reply/1041487/']","['new zealand roads', 'new zealand driving times', 'forums new zealand', 'new zealand driving holidays', 'amazing scenery new zealand', 'new south', 'new south wales', 'drivers', 'victoria new zealand rental cars reply', 'primary school australia rental cars driving restrictions australia toyota rav4']","[['Mark Berger', 'founder'], 'https://www.nzrelo.com/nzrelo-brings-on-kiwi-finance-specialist-budget-advisor-for-their-members/']","['Utilities, Services - professional, scientific, and technical', 'from_classification_model']","['22 February 2017', 'https://opencorporates.com/companies/nz/6241687']","['$2.47 million USD', 'https://www.dnb.com/business-directory/company-profiles.nzrelocomau_pty_ltd.2b3f910ed2d11e527d9b6ef0dbb10869.html']",None,"['New Zealand', 'https://opencorporates.com/companies/nz/6241687']",None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.nzrelocomau_pty_ltd.2b3f910ed2d11e527d9b6ef0dbb10869.html']",0.0,0.25,0.25,0.0,0.125
